Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Jun '16Jun 30, 2016"
Cash & Equivalents,439.52,274.61,338.47,783.11,530.09,827.15,223.9,187.76,163.16,104.68,74.03
Short-Term Investments,59.06,311.28,521.57,241.12,167.73,203.78,96.86,128.55,77.26,74.47,59.16
Cash & Short-Term Investments,498.58,585.89,860.04,"1,024",697.82,"1,031",320.76,316.31,240.43,179.15,133.2
Cash Growth,-26.55%,-31.88%,-16.03%,46.78%,-32.31%,221.41%,1.40%,31.56%,34.21%,34.50%,-7.98%
Accounts Receivable,286.26,160.42,622.43,905.15,456.34,218.71,298.38,173.58,109.53,71.04,72.74
Other Receivables,351.43,395.24,270.21,209.5,134.48,106.66,100.35,34.04,37.14,17.79,18.1
Receivables,637.69,555.67,948.06,"1,115",590.82,325.36,398.73,207.61,146.67,88.84,90.84
Inventory,530.8,645.9,"1,443",729.2,380.14,331.7,170.8,141.52,82.99,67.36,81.55
Prepaid Expenses,36.77,25.29,29.58,31.58,42.51,31.35,14.92,11.04,5.08,3.55,2.76
Restricted Cash,47.48,135.33,-,-,-,-,-,-,1.52,0.9,0.93
Other Current Assets,16.2,86.24,23.19,-,-,-,27.56,0.82,-,-,0.48
Total Current Assets,"1,768","2,034","3,304","2,900","1,711","1,719",932.76,677.31,476.69,339.8,309.75
"Property, Plant & Equipment",360.17,384.83,678.75,606.72,457.52,345.01,212.82,119.33,51.18,36.12,27.83
Long-Term Investments,6.38,63.57,415.48,647.35,498.87,147.43,119.18,74.26,103.12,44.26,52.45
Goodwill,50.52,48.38,43,31.19,129.63,140.48,129.65,34.87,-,-,-
Other Intangible Assets,7.75,9.67,35.35,19.93,58.86,67.82,74.01,38.5,1.12,1.26,0.72
Long-Term Deferred Tax Assets,-,-,80.91,44.15,27.57,11.68,16.3,14.7,8.34,2.82,6.3
Long-Term Deferred Charges,38.76,29.37,13.67,3.46,-,-,-,-,-,-,-
Other Long-Term Assets,1.21,14.39,13.85,13.49,17.21,5.35,9.9,5.5,0.86,0.49,0.4
Total Assets,"2,232","2,630","4,588","4,266","2,901","2,437","1,495",964.47,641.31,424.74,397.44
Accounts Payable,283.51,93.49,386.47,459.83,252.07,162.05,157.15,107.08,69.49,34,48.48
Accrued Expenses,301.43,300.78,256.01,277.1,157.3,137.71,114.42,55.26,39.31,18.8,17.11
Current Portion of Long-Term Debt,-,346.31,-,-,-,16.89,15.67,16.64,-,-,-
Current Portion of Leases,13.72,15.24,20.96,19.45,14.6,12.68,9.82,-,-,-,-
Current Unearned Revenue,45.87,140.87,40.84,26.64,17.79,24.65,70.82,14.35,2.56,1.2,3.86
Other Current Liabilities,130.26,144.39,188.95,106.7,83.42,82.11,68.84,32.39,18.4,16.49,17.82
Total Current Liabilities,774.79,"1,041",893.23,889.72,525.18,436.1,436.71,225.72,129.75,70.49,87.27
Long-Term Debt,331.17,330.01,627.38,624.45,621.54,573.35,-,3.51,-,-,-
Long-Term Leases,70.92,69.18,86.96,91.64,79.42,61.37,32.61,-,-,-,-
Long-Term Unearned Revenue,277.13,231.05,214.61,186.94,151.56,115.37,89.98,60.67,31.45,18.66,14.68
Long-Term Deferred Tax Liabilities,-,-,-,-,-,8.59,4.46,1.5,-,-,-
Other Long-Term Liabilities,298.54,300.54,353.64,296.84,213.22,156.57,119.19,102.35,82.63,46.82,39.38
Total Liabilities,"1,753","1,972","2,176","2,090","1,591","1,351",682.95,393.75,243.84,135.97,141.33
Common Stock,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0
Additional Paid-In Capital,"1,861","1,813","1,681","1,506",687.3,603.89,475.79,371.79,331.9,307.1,299.21
Retained Earnings,"-1,302","-1,028",778.17,743.84,650.06,478,337.68,191.13,66.17,-18,-43.38
Treasury Stock,-16.02,-50.19,-,-,-,-,-,-,-,-,-
Comprehensive Income & Other,-64.04,-76.48,-46.89,-73.11,-27.32,3.86,-1.81,-0.52,-0.61,-0.32,0.27
Total Common Equity,479.76,658.34,"2,412","2,176","1,310","1,086",811.67,562.41,397.47,288.78,256.11
Minority Interest,-,-,-,-,-,-,-,8.32,-,-,-
Shareholders' Equity,479.76,658.34,"2,412","2,176","1,310","1,086",811.67,570.73,397.47,288.78,256.11
Total Liabilities & Equity,"2,232","2,630","4,588","4,266","2,901","2,437","1,495",964.47,641.31,424.74,397.44
Total Debt,415.81,760.73,735.3,735.54,715.56,664.29,58.11,20.15,-,-,-
Net Cash (Debt),82.77,-132.24,532.56,934.18,464.49,514.07,381.83,370.42,343.55,223.41,185.64
Net Cash Growth,-,-,-42.99%,101.12%,-9.65%,34.63%,3.08%,7.82%,53.77%,20.34%,28.25%
Net Cash Per Share,1.42,-2.32,9.30,16.08,8.30,9.74,7.61,7.72,7.56,5.06,4.18
Filing Date Shares Outstanding,59.8,58.03,57.13,56.15,52.82,51.58,49.24,47.26,43.89,41.26,40.9
Total Common Shares Outstanding,59.56,58.03,57.12,56.13,52.82,51.56,48.9,46.05,43.81,41.26,40.89
Working Capital,992.73,993.23,"2,411","2,010","1,186","1,283",496.05,451.59,346.93,269.31,222.48
Book Value Per Share,8.06,11.35,42.22,38.77,24.80,21.06,16.60,12.21,9.07,7.00,6.26
Tangible Book Value,421.49,600.3,"2,334","2,125","1,122",877.46,608.01,489.03,396.35,287.52,255.39
Tangible Book Value Per Share,7.08,10.35,40.85,37.86,21.24,17.02,12.43,10.62,9.05,6.97,6.25
Land,-,1.09,12.82,13.07,13.83,17.94,6.94,6.59,-,-,-
Buildings,-,60.5,153.81,152.22,62.52,49.86,23.67,18.2,-,-,-
Machinery,-,326.78,498.13,430.9,298.5,259.24,166.24,131.72,55.07,32.75,28
Construction In Progress,-,34.95,88.08,47.17,112.04,48.34,59.06,22.89,8.78,10.7,5.52
Leasehold Improvements,-,110.38,96.73,85.15,73.99,48.61,12.75,11.74,7.54,5.9,5.45
