Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"11,695","6,730","4,568","5,179","1,449","1,719","1,406","1,735","1,285",172,-
Market Cap Growth,148.21%,47.33%,-11.79%,257.45%,-15.74%,22.31%,-18.98%,35.01%,645.51%,-,-
Enterprise Value,"10,931","5,851","4,452","5,075","1,151","1,384",953,"1,247","1,223",133,-
Last Close Price,528.94,308.57,231.38,290.25,84.74,111.17,91.11,112.72,91.79,14.90,-
PS Ratio,15.84,37.36,-,-,-,-,-,-,-,-,-
PB Ratio,19.19,8.92,11.27,26.24,7.39,7.17,3.38,3.64,7.05,4.74,-
P/TBV Ratio,18.92,8.98,11.27,26.24,7.39,7.17,3.38,3.64,7.05,4.74,-
EV/Sales Ratio,14.76,32.48,-,-,-,-,-,-,-,-,-
Debt / Equity Ratio,0.55,0.16,0.29,0.25,0.00,0.00,0.00,-,-,-,-1.00
Asset Turnover,0.61,0.21,-,-,-,-,-,-,-,-,-
Quick Ratio,3.13,5.79,5.35,3.10,3.52,6.10,17.47,57.29,19.05,8.44,0.01
Current Ratio,3.44,6.10,5.38,3.12,3.54,6.13,17.52,57.46,19.10,8.59,0.01
Return on Equity (ROE),-41.22%,-80.35%,-123.98%,-150.12%,-110.92%,-61.61%,-18.79%,-9.95%,-28.49%,-,-
Return on Assets (ROA),-15.78%,-36.98%,-47.41%,-57.71%,-54.09%,-35.44%,-12.80%,-7.50%,-17.16%,-67.72%,-724.48%
Return on Capital (ROIC),-20.57%,-44.56%,-61.78%,-82.62%,-69.25%,-39.26%,-13.28%,-7.71%,-18.33%,-76.94%,-1321.43%
Earnings Yield,-2.47%,-6.92%,-8.18%,-5.70%,-16.69%,-11.76%,-5.97%,-1.89%,-2.42%,-15.31%,-
FCF Yield,-1.38%,-6.79%,-7.13%,-4.35%,-12.71%,-9.18%,-2.97%,-1.47%,-1.75%,-10.21%,-
Buyback Yield / Dilution,-6.98%,-13.83%,-9.05%,-3.64%,-7.05%,-0.34%,-4.04%,-20.84%,-135.27%,-2943.44%,83.64%
