Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,840.27,527.36,437.08,693.48,706.28,473.47,745.49,475.06,433.01,404.07,510.21
Short-Term Investments,422.87,430.85,569.28,508.3,235.35,453.17,179.2,470.72,724.98,548.69,423.5
Cash & Short-Term Investments,"1,263",958.21,"1,006","1,202",941.63,926.65,924.7,945.78,"1,158",952.76,933.71
Cash Growth,47.93%,-4.78%,-16.26%,27.63%,1.62%,0.21%,-2.23%,-18.33%,21.54%,2.04%,32.64%
Accounts Receivable,160.64,188.3,117.29,53.18,31.11,16.01,28.27,35.03,216.29,228.46,53.87
Other Receivables,24.96,16.69,19.84,64.12,57.13,45.26,38.02,-,-,-,-
Receivables,185.61,204.99,137.13,117.3,88.24,61.27,66.29,35.03,216.29,228.46,53.87
Prepaid Expenses,18.89,38.95,9.35,9.04,5.48,10.9,16.81,29.76,21.51,39.71,23.15
Restricted Cash,8.36,24.19,5.89,9.68,5.86,-,-,13.68,-,-,-
Other Current Assets,4.72,4.48,8.9,6.87,9.08,3.73,8.53,-,-,0.19,0.25
Total Current Assets,"1,481","1,231","1,168","1,345","1,050","1,003","1,016","1,024","1,396","1,221","1,011"
"Property, Plant & Equipment",39.19,33.76,27.31,29.37,31.23,39.09,34.73,9.75,10.17,11.63,10.95
Long-Term Investments,12.7,19.85,31.9,19.59,21.28,15.49,14.2,17.4,19.2,-,-
Goodwill,22.42,22.42,22.42,22.42,22.42,22.42,22.42,22.42,16.03,16.2,-
Other Intangible Assets,313.98,308.63,313,354,363.59,418.34,436.34,456.69,327.97,314.07,278.78
Long-Term Accounts Receivable,15,-,-,2.5,8.3,8.9,10.2,5.5,-,-,-
Long-Term Deferred Tax Assets,154.73,128.13,128.97,94.37,98.41,80.38,73.17,77.23,84.58,149.53,160.57
