Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"8,905","4,910","2,790","1,468","2,197","1,869","1,696","2,248","2,643","3,132","1,736"
Market Cap Growth,143.52%,75.98%,90.08%,-33.21%,17.55%,10.19%,-24.54%,-14.95%,-15.60%,80.36%,-11.68%
Enterprise Value,"8,129","4,545","2,339","1,216","1,729","1,333","1,229","1,518","1,970","2,628","1,355"
Last Close Price,345.88,191.74,105.90,47.35,66.92,55.54,48.60,57.93,65.26,77.09,40.75
PE Ratio,23.45,13.69,13.03,15.67,39.74,41.73,81.06,34.57,15.00,10.14,14.57
Forward PE,37.43,18.53,21.54,14.90,20.94,27.42,28.98,54.60,28.26,14.12,17.17
PS Ratio,9.58,5.65,5.08,3.21,5.17,5.21,5.32,7.31,4.96,4.70,3.93
PB Ratio,8.11,5.73,4.80,2.01,2.92,2.35,2.16,2.40,3.03,4.15,3.33
P/TBV Ratio,11.66,9.33,11.34,4.21,6.12,5.62,5.60,4.91,5.17,7.65,7.49
P/FCF Ratio,13.63,18.48,13.32,5.19,17.18,12.33,19.98,15.59,8.43,7.31,14.39
P/OCF Ratio,13.23,18.08,13.05,5.13,16.85,11.44,18.97,15.32,8.37,7.21,13.97
PEG Ratio,3.69,1.58,1.04,0.66,1.00,1.31,1.45,4.02,1.28,0.64,-
EV/Sales Ratio,8.75,5.23,4.26,2.66,4.07,3.71,3.85,4.94,3.70,3.95,3.07
EV/EBITDA Ratio,12.65,9.00,7.62,5.23,9.75,9.79,10.69,11.79,5.50,5.37,5.32
EV/EBIT Ratio,14.33,10.45,10.21,7.91,17.45,24.16,32.48,24.25,6.53,6.01,6.50
EV/FCF Ratio,12.44,17.11,11.17,4.30,13.52,8.79,14.47,10.52,6.28,6.14,11.23
Debt / Equity Ratio,0.44,0.57,1.08,0.86,0.59,0.50,0.60,0.34,0.33,0.36,0.93
Debt / EBITDA Ratio,0.75,0.96,2.01,2.62,2.41,2.73,3.87,2.47,0.80,0.56,1.91
Debt / FCF Ratio,0.75,1.85,3.00,2.23,3.48,2.60,5.56,2.20,0.91,0.64,4.04
Asset Turnover,0.48,0.48,0.30,0.26,0.26,0.22,0.20,0.18,0.30,0.42,0.33
Quick Ratio,1.85,1.60,1.30,4.86,2.77,3.34,3.24,5.47,3.65,2.78,2.47
Current Ratio,1.89,1.70,1.33,4.96,2.83,3.39,3.33,5.71,3.71,2.87,2.53
Return on Equity (ROE),54.52%,49.85%,32.17%,12.41%,5.45%,4.79%,1.73%,6.57%,20.98%,47.87%,23.34%
Return on Assets (ROA),18.35%,15.08%,7.80%,5.45%,3.82%,2.14%,1.46%,2.25%,10.52%,17.07%,9.77%
Return on Capital (ROIC),25.33%,21.26%,11.14%,7.52%,5.19%,2.81%,1.88%,3.24%,17.25%,26.86%,15.33%
Return on Capital Employed (ROCE),41.90%,39.20%,25.80%,9.40%,7.90%,4.20%,2.90%,4.30%,20.40%,33.60%,19.40%
Earnings Yield,5.58%,7.30%,7.67%,6.38%,2.52%,2.40%,1.23%,2.89%,6.67%,9.87%,6.87%
FCF Yield,7.34%,5.41%,7.51%,19.27%,5.82%,8.11%,5.01%,6.42%,11.87%,13.68%,6.95%
Dividend Yield,0.79%,0.89%,1.42%,2.96%,2.09%,2.52%,2.88%,2.42%,1.99%,1.30%,1.96%
Payout Ratio,15.93%,11.66%,18.43%,45.15%,77.87%,96.14%,213.02%,74.53%,24.55%,10.08%,24.27%
Buyback Yield / Dilution,-18.28%,-5.73%,7.82%,2.46%,-0.63%,2.29%,9.98%,1.32%,-1.68%,3.49%,8.57%
Total Shareholder Return,-17.47%,-4.84%,9.23%,5.41%,1.46%,4.81%,12.86%,3.74%,0.32%,4.79%,10.53%
