Period Ending,"Nov '25Nov 18, 2025","Jun '25Jun 28, 2025","Jun '24Jun 29, 2024","Jun '23Jun 24, 2023","Jun '22Jun 25, 2022","Jun '21Jun 26, 2021","Jun '20Jun 27, 2020","Jun '19Jun 29, 2019","Jun '18Jun 30, 2018","Jun '17Jun 24, 2017","Jun '16Jun 25, 2016"
Market Capitalization,"2,334","2,497","3,484","3,208","5,101","5,195","1,915","1,005","1,744","2,072","1,924"
Market Cap Growth,-18.84%,-28.32%,8.60%,-37.11%,-1.82%,171.31%,90.48%,-42.34%,-15.87%,7.72%,-39.48%
Enterprise Value,"2,756","2,957","3,678","3,306","5,392","5,371","1,949","1,145","1,907","1,965","1,753"
Last Close Price,61.89,64.78,88.20,81.16,128.78,147.58,56.26,29.14,50.37,59.99,52.22
PE Ratio,-,-,27.74,43.58,19.81,65.27,16.12,-,-,42.47,26.65
Forward PE,13.35,15.44,27.44,26.05,9.27,17.30,11.85,10.69,11.09,11.62,12.16
PS Ratio,2.18,2.32,3.63,2.37,2.93,3.88,1.44,0.68,1.07,1.21,1.15
PB Ratio,1.73,1.79,2.38,2.58,4.03,5.37,2.34,1.53,2.39,2.80,2.73
P/TBV Ratio,9.03,9.59,9.62,24.96,73.08,54.29,5.25,7.20,12.70,4.79,5.69
P/FCF Ratio,15.10,21.49,34.12,10.79,11.82,17.43,9.32,7.70,15.72,17.06,8.44
P/OCF Ratio,12.72,17.58,25.63,9.68,11.02,16.27,8.63,6.52,12.02,13.55,7.50
PEG Ratio,0.65,1.10,10.98,2.08,0.60,1.12,0.95,0.86,0.89,1.03,0.81
EV/Sales Ratio,2.49,2.75,3.83,2.44,3.10,4.01,1.46,0.78,1.17,1.14,1.05
EV/EBITDA Ratio,32.77,37.10,107.85,10.59,10.45,21.32,10.83,9.43,26.15,11.26,9.03
EV/EBIT Ratio,-,-,-,21.43,14.62,44.68,19.12,100.46,-,23.96,19.48
EV/FCF Ratio,17.82,25.45,36.02,11.12,12.49,18.02,9.48,8.78,17.19,16.17,7.69
Debt / Equity Ratio,0.63,0.63,0.70,0.83,0.82,0.95,0.74,0.71,0.62,0.29,0.33
Debt / EBITDA Ratio,9.09,9.54,22.30,3.18,1.97,3.49,3.19,3.86,6.18,1.24,1.21
Debt / FCF Ratio,5.69,7.60,10.01,3.46,2.41,3.07,2.96,3.59,4.06,1.79,1.03
Asset Turnover,0.41,0.40,0.35,0.50,0.68,0.68,0.86,1.01,1.18,1.34,1.18
Inventory Turnover,4.76,4.69,4.14,4.17,6.33,7.92,6.07,6.73,8.76,8.60,7.57
Quick Ratio,2.21,2.15,3.68,4.23,2.59,1.36,3.93,2.20,2.08,2.01,1.72
Current Ratio,2.86,2.78,4.19,4.89,3.03,1.50,4.42,2.88,2.61,2.55,2.22
Return on Equity (ROE),-3.16%,-3.34%,9.27%,5.87%,23.06%,8.91%,16.09%,-3.30%,-16.89%,6.75%,9.64%
Return on Assets (ROA),-1.63%,-1.47%,-1.73%,3.53%,9.06%,3.83%,4.10%,0.49%,-2.25%,3.99%,3.99%
Return on Capital (ROIC),-1.83%,-1.66%,-1.97%,4.21%,11.00%,4.54%,4.99%,0.62%,-2.92%,5.40%,5.69%
Return on Capital Employed (ROCE),-3.00%,-2.70%,-2.90%,6.60%,15.40%,8.30%,7.00%,1.00%,-4.10%,8.60%,9.50%
Earnings Yield,-1.94%,-1.91%,3.60%,2.29%,5.05%,1.53%,6.20%,-2.28%,-7.12%,2.35%,3.75%
FCF Yield,6.62%,4.65%,2.93%,9.27%,8.46%,5.74%,10.73%,12.98%,6.36%,5.86%,11.85%
Buyback Yield / Dilution,2.25%,1.01%,1.24%,1.23%,-6.27%,-10.06%,-0.58%,-1.17%,3.93%,6.07%,2.57%
