Period Ending,"Sep '25Sep 27, 2025","Jun '25Jun 28, 2025","Jun '24Jun 29, 2024","Jun '23Jun 24, 2023","Jun '22Jun 25, 2022","Jun '21Jun 26, 2021","Jun '20Jun 27, 2020","Jun '19Jun 29, 2019","Jun '18Jun 30, 2018","Jun '17Jun 24, 2017","Jun '16Jun 25, 2016"
Cash & Equivalents,459.9,391.5,876.9,924.7,824,836.3,763.4,327.8,301,367.8,352.2
Short-Term Investments,-,61,-,9.6,52,-,-,-,-,-,-
Cash & Short-Term Investments,459.9,452.5,876.9,934.3,876,836.3,763.4,327.8,301,367.8,352.2
Cash Growth,-46.12%,-48.40%,-6.14%,6.65%,4.75%,9.55%,132.89%,8.90%,-18.16%,4.43%,-11.93%
Receivables,119.5,130.3,142.4,165.2,323.3,230.2,195.7,230.9,289.1,255.2,252.6
Inventory,143.1,139.5,114,137.2,169.7,82,102,158.7,131.2,131.4,146.4
Prepaid Expenses,26.5,29.6,29,35.3,34.4,31.2,16.5,13.7,18.2,37.6,28.9
Total Current Assets,749,751.9,"1,162","1,272","1,403","1,180","1,078",731.1,739.5,792,780.1
"Property, Plant & Equipment",119.8,117.3,122.3,115.4,124.1,122.9,105.3,103,117.8,113.8,112.7
Long-Term Investments,-,-,-,-,-,-,-,-,1.5,1.5,8.6
Goodwill,872.3,872.3,816.4,816.4,806.6,570,360.8,372.8,372.8,206.8,206.8
Other Intangible Assets,269.5,262.2,288.4,298.5,390,301.5,93.4,144.8,219.2,101,160.3
Long-Term Deferred Tax Assets,412.5,408.8,345.6,68,4.2,1.2,28.7,31.1,15.9,23.1,14.7
Other Long-Term Assets,154,171.9,90,41.1,129.8,51.5,28,27,33.1,28.5,17
Total Assets,"2,577","2,584","2,825","2,611","2,858","2,227","1,694","1,410","1,500","1,267","1,300"
Accounts Payable,92.5,98.5,87.5,45.8,141.8,97.6,60.6,98.3,156.9,135.8,172.8
Accrued Expenses,89.6,92,71.8,86.8,139.7,120.2,111.1,80.5,73.2,94.5,83.9
Current Portion of Long-Term Debt,-,-,6,6,6,487.1,-,-,-,15,18.8
Current Portion of Leases,11.3,12.3,11.5,9,7.6,9.3,6.5,-,-,-,-
Current Income Taxes Payable,-,0.9,42.2,54,79.7,29.4,33,19.1,13.1,17.2,11.5
Current Unearned Revenue,22.8,-,-,18.7,27.3,7,3.2,4.5,-,-,-
Other Current Liabilities,45.8,67.2,58.2,39.8,61.3,36.1,29.7,51.5,40.6,47.9,63.8
Total Current Liabilities,262,270.9,277.2,260.1,463.4,786.7,244.1,253.9,283.8,310.4,350.8
Long-Term Debt,835.4,834.8,966.9,972,975.7,394.4,586.6,468.3,450.7,202,216.7
Long-Term Leases,33.5,35.8,37.9,42.4,51.5,24,14.6,-,-,-,-
Long-Term Deferred Tax Liabilities,-,-,-,39.1,52.6,27.1,-,-,-,-,9
Other Long-Term Liabilities,45.6,48,76.2,54.4,48.5,27.4,29.4,30.3,36,14.1,18.7
Total Liabilities,"1,177","1,190","1,358","1,368","1,592","1,260",874.7,752.5,770.5,526.5,595.2
Common Stock,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Additional Paid-In Capital,"1,245","1,212","1,107","1,009",924.1,"1,392","1,340","1,266","1,195","1,005",928.6
Retained Earnings,"1,169","1,190","1,238","1,112","1,039",781,701.4,583.5,606.4,714.1,665.3
Treasury Stock,"-1,014","-1,007",-878,-878,-694.5,"-1,205","-1,223","-1,192","-1,074",-980.3,-892.3
Comprehensive Income & Other,-,-,-,-,-1.8,-,-,-,1.5,1.5,3.3
Shareholders' Equity,"1,401","1,395","1,467","1,243","1,266",967.2,819.1,657.3,729.3,740.2,705
Total Liabilities & Equity,"2,577","2,584","2,825","2,611","2,858","2,227","1,694","1,410","1,500","1,267","1,300"
Total Debt,880.2,882.9,"1,022","1,029","1,041",914.8,607.7,468.3,450.7,217,235.5
Net Cash (Debt),-420.3,-430.4,-145.4,-95.1,-164.8,-78.5,155.7,-140.5,-149.7,150.8,116.7
Net Cash Growth,-,-,-,-,-,-,-,-,-,29.22%,-25.91%
Net Cash Per Share,-10.76,-10.95,-3.66,-2.37,-4.05,-2.05,4.47,-4.06,-4.38,4.24,3.08
Filing Date Shares Outstanding,38.99,38.66,39.58,38.58,39.63,38.85,34.23,32.91,35.36,33.7,34.81
Total Common Shares Outstanding,39.1,38.64,39.57,38.57,39.62,35.33,34.12,33.35,35.25,34.64,35.21
Working Capital,487,481,885.1,"1,012",940,393,833.5,477.2,455.7,481.6,429.3
Book Value Per Share,35.83,36.10,37.07,32.24,31.96,27.37,24.00,19.71,20.69,21.37,20.02
Tangible Book Value,258.8,260.4,362,128.5,69.8,95.7,364.9,139.7,137.3,432.4,337.9
Tangible Book Value Per Share,6.62,6.74,9.15,3.33,1.76,2.71,10.69,4.19,3.90,12.48,9.60
Land,-,-,-,-,-,13.3,13.3,13.3,13.3,13.3,13.3
Buildings,-,-,-,-,-,52.7,52.7,52.7,51.8,47.9,44.5
Machinery,-,174.9,166.1,169.4,152.2,122,118.7,136.3,145.1,126.9,112.2
Construction In Progress,-,16.8,20,7,9.2,6.1,-,-,-,-,-
