Period Ending,"Sep '25Sep 27, 2025","Jun '25Jun 28, 2025","Jun '24Jun 29, 2024","Jun '23Jun 24, 2023","Jun '22Jun 25, 2022","Jun '21Jun 26, 2021","Jun '20Jun 27, 2020","Jun '19Jun 29, 2019","Jun '18Jun 30, 2018","Jun '17Jun 24, 2017","Jun '16Jun 25, 2016"
Revenue,"1,109","1,074",959.4,"1,355","1,740","1,340","1,334","1,472","1,630","1,718","1,667"
Revenue Growth (YoY),13.24%,11.98%,-29.20%,-22.11%,29.87%,0.43%,-9.39%,-9.70%,-5.12%,3.08%,-2.12%
Cost of Revenue,625,593.9,519.6,639.2,796.6,728.4,790.8,975.1,"1,150","1,195","1,085"
Gross Profit,484.1,480.4,439.8,715.9,943.1,611.2,543.1,497.1,480.1,523.6,581.5
"Selling, General & Admin",176.5,180.3,161.3,175,168.4,144.9,127,131.3,154,137.6,161.7
Research & Development,359.9,346.8,336.3,351.2,367.3,313.4,302.5,342.7,363.2,292.3,311.2
Amortization of Goodwill & Intangibles,17.6,16.7,17.3,35.4,38.7,32.7,11.7,11.7,12.8,11.7,18.6
Operating Expenses,554,543.8,514.9,561.6,574.4,491,441.2,485.7,530,441.6,491.5
Operating Income,-69.9,-63.4,-75.1,154.3,368.7,120.2,101.9,11.4,-49.9,82,90
Interest Expense,-33.9,-39.8,-65.3,-55.5,-30.2,-29.5,-22.5,-21.2,-22.2,-6,-4.8
Interest & Investment Income,27.4,26.9,42.3,27.2,3,2.9,7.9,3.9,2.3,0.7,3.1
Earnings From Equity Investments,-,-,-,-,1.6,-9.1,-2,-1.8,-1.8,-0.3,-
EBT Excluding Unusual Items,-76.4,-76.3,-98.1,126,343.1,84.5,85.3,-7.7,-71.6,76.4,88.3
Merger & Restructuring Charges,-5.2,-16.9,-10.5,-,-18.3,-7.4,-33,-17.7,-12,-7.3,-8.6
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,2.8,-,1.9,2.1
Gain (Loss) on Sale of Assets,-,-,-,-,5.4,34.2,105.1,-,-,-,-
Asset Writedown,-13.8,-13.8,-16,-,-,-,-,-,-,-,-6.7
Legal Settlements,-,-,-,-,-,-,-,-,-,-10,-
Other Unusual Items,-6.5,-6.5,-,-,-8.1,-0.3,-,-,-,-,0.5
Pretax Income,-101.9,-113.5,-124.6,126,322.1,111,157.4,-22.6,-83.6,61,75.6
Income Tax Expense,-56.6,-65.7,-250.2,52.4,64.6,31.4,38.6,0.3,40.5,12.2,3.4
Net Income,-45.3,-47.8,125.6,73.6,257.5,79.6,118.8,-22.9,-124.1,48.8,72.2
Net Income to Common,-45.3,-47.8,125.6,73.6,257.5,79.6,118.8,-22.9,-124.1,48.8,72.2
Net Income Growth,-,-,70.65%,-71.42%,223.49%,-33.00%,-,-,-,-32.41%,-34.60%
Shares Outstanding (Basic),39,39,39,40,39,35,34,35,34,35,37
Shares Outstanding (Diluted),39,39,40,40,41,38,35,35,34,36,38
Shares Change (YoY),-2.25%,-1.01%,-1.24%,-1.23%,6.27%,10.06%,0.58%,1.17%,-3.93%,-6.07%,-2.57%
EPS (Basic),-1.16,-1.22,3.20,1.86,6.60,2.29,3.54,-0.66,-3.63,1.40,1.97
EPS (Diluted),-1.16,-1.22,3.16,1.83,6.33,2.08,3.41,-0.66,-3.63,1.37,1.91
EPS Growth,-,-,72.68%,-71.09%,204.33%,-39.00%,-,-,-,-28.27%,-32.75%
Free Cash Flow,154.7,116.2,102.1,297.3,431.6,298.1,205.5,130.5,110.9,121.5,228
Free Cash Flow Per Share,3.96,2.96,2.57,7.40,10.60,7.78,5.91,3.77,3.24,3.41,6.02
Gross Margin,43.65%,44.72%,45.84%,52.83%,54.21%,45.63%,40.72%,33.77%,29.45%,30.47%,34.88%
Operating Margin,-6.30%,-5.90%,-7.83%,11.39%,21.19%,8.97%,7.64%,0.77%,-3.06%,4.77%,5.40%
Profit Margin,-4.08%,-4.45%,13.09%,5.43%,14.80%,5.94%,8.91%,-1.55%,-7.61%,2.84%,4.33%
Free Cash Flow Margin,13.95%,10.82%,10.64%,21.94%,24.81%,22.25%,15.41%,8.86%,6.80%,7.07%,13.68%
EBITDA,84.1,79.7,34.1,312.1,516.2,251.9,180,121.4,72.9,174.5,194.2
EBITDA Margin,7.58%,7.42%,3.55%,23.03%,29.67%,18.80%,13.49%,8.25%,4.47%,10.16%,11.65%
D&A For EBITDA,154,143.1,109.2,157.8,147.5,131.7,78.1,110,122.8,92.5,104.2
EBIT,-69.9,-63.4,-75.1,154.3,368.7,120.2,101.9,11.4,-49.9,82,90
EBIT Margin,-6.30%,-5.90%,-7.83%,11.39%,21.19%,8.97%,7.64%,0.77%,-3.06%,4.77%,5.40%
Effective Tax Rate,-,-,-,41.59%,20.06%,28.29%,24.52%,-,-,20.00%,4.50%
