Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Cash & Equivalents,392.6,344.87,358.33,161.9,341.25,268.27,187.51,103.67,49.59,1.92
Short-Term Investments,338.47,252.65,173.85,217.27,96.85,2.99,6.17,8.09,-,-
Cash & Short-Term Investments,731.07,597.52,532.18,379.17,438.1,271.26,193.69,111.76,49.59,1.92
Cash Growth,24.26%,12.28%,40.35%,-13.45%,61.50%,40.05%,73.30%,125.36%,2478.84%,-
Receivables,129.63,104.75,42.04,-,-,-,-,-,-,-
Inventory,37.63,26.51,6.99,-,-,-,-,-,-,-
Prepaid Expenses,27.32,13.27,6.71,4.61,4.17,3.8,2.2,0.89,0.32,0.25
Total Current Assets,925.65,742.05,587.91,383.78,442.27,275.06,195.88,112.65,49.91,2.17
"Property, Plant & Equipment",156.32,161.45,168.23,169.73,119.58,34.17,11.18,3.01,0.2,0.01
Long-Term Investments,133.11,152.11,61.95,4.62,64.37,-,0.5,-,-,-
Other Long-Term Assets,0.33,0.23,0.26,0.32,0.07,1.61,1.46,0.45,-,-
Total Assets,"1,240","1,056",818.36,558.45,626.3,310.84,209.02,116.12,50.11,2.18
Accounts Payable,2.1,4.99,4.13,3.98,8.4,2.11,1.02,0.89,0.19,0.04
Accrued Expenses,74.08,52.78,18.15,11.54,6.52,3.99,1.51,0.93,0.34,-
Current Portion of Leases,1.7,1.22,1.47,1.56,1.04,0.64,0.48,-,-,-
Current Income Taxes Payable,9.54,4.29,1.96,0.04,0.08,0.04,0.04,0.15,0.1,0
Other Current Liabilities,3.85,38.73,7.38,11.72,9.69,8.68,0.28,0.63,-,-
Total Current Liabilities,91.27,102,33.09,28.85,25.74,15.45,3.33,2.6,0.64,0.04
Long-Term Debt,-,-,-,-,-,-,-,-,-,1.84
Long-Term Leases,7.81,6.04,6.62,7.37,6.98,3.31,2.78,-,-,-
Other Long-Term Liabilities,3.14,1.42,-,-,-,-,-,0.29,-,0.01
Total Liabilities,102.22,109.46,39.71,36.22,32.72,18.76,6.11,2.89,0.64,1.89
Additional Paid-In Capital,"1,164","1,127","1,048",803.72,734.52,363.29,241.95,133.18,58.54,0.03
Retained Earnings,-27.24,-180.67,-269.83,-280.76,-140.78,-71.21,-39.05,-19.96,-9.07,-1.15
Comprehensive Income & Other,1.1,-0.19,0.64,-0.73,-0.16,0.01,0.01,0,-,-
Total Common Equity,"1,138",946.38,778.64,522.23,593.58,292.08,202.91,113.23,49.47,-1.12
Shareholders' Equity,"1,138",946.38,778.64,522.23,593.58,292.08,202.91,113.23,49.47,0.29
Total Liabilities & Equity,"1,240","1,056",818.36,558.45,626.3,310.84,209.02,116.12,50.11,2.18
Total Debt,9.51,7.26,8.09,8.93,8.02,3.95,3.26,-,-,1.84
Net Cash (Debt),854.67,742.37,586.04,374.86,494.44,267.32,190.42,111.76,49.59,0.08
Net Cash Growth,24.45%,26.68%,56.34%,-24.19%,84.97%,40.38%,70.38%,125.36%,61888.75%,-
Net Cash Per Share,28.62,24.96,21.12,14.70,22.28,14.23,11.98,9.98,9.25,0.09
Filing Date Shares Outstanding,29,28.81,28.29,25.76,25.21,22.19,17.36,14.43,10.31,3.49
Total Common Shares Outstanding,28.98,28.79,28.24,25.76,25.21,19.71,17.35,14.43,10.31,3.49
Working Capital,834.38,640.05,554.82,354.93,416.53,259.61,192.55,110.05,49.27,2.13
Book Value Per Share,39.26,32.87,27.58,20.27,23.55,14.82,11.69,7.85,4.80,-0.32
Tangible Book Value,"1,138",946.38,778.64,522.23,593.58,292.08,202.91,113.23,49.47,-1.12
Tangible Book Value Per Share,39.26,32.87,27.58,20.27,23.55,14.82,11.69,7.85,4.80,-0.32
Buildings,109.24,111.44,111.18,-,-,-,-,-,-,-
Machinery,37.79,34.19,30.49,12.93,6.51,5.58,3.72,0.92,0.23,0.02
Construction In Progress,3.51,5.78,7.29,131.33,104.34,23.03,2.43,2.26,-,-
Leasehold Improvements,27.51,25.67,25.07,24.22,5.72,4.63,3.18,0,-,-
