Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Market Capitalization,"5,978","4,506","3,499","2,040","1,742","1,182",959,300,108,-
Market Cap Growth,18.54%,28.76%,71.56%,17.08%,47.34%,23.36%,219.69%,176.52%,-,-
Enterprise Value,"5,123","3,819","2,909","1,642","1,388",899,759,248,56,-
Last Close Price,206.16,156.66,124.06,79.22,69.95,60.00,55.38,20.78,10.52,-
PE Ratio,30.95,50.54,320.10,-,-,-,-,-,-,-
Forward PE,29.71,33.31,-,-,-,-,-,-,-,-
PS Ratio,15.94,15.51,69.02,-,-,-,-,-,-,-
PB Ratio,5.25,4.76,4.49,3.91,2.94,4.05,4.72,2.65,2.19,-
P/TBV Ratio,5.25,4.76,4.49,3.91,2.94,4.05,4.72,2.65,2.19,-
P/FCF Ratio,36.10,37.81,-,-,-,-,-,-,-,-
P/OCF Ratio,33.93,36.51,-,-,-,-,-,-,-,-
EV/Sales Ratio,13.73,13.15,57.38,-,-,-,-,-,-,-
EV/EBITDA Ratio,32.09,36.14,-,-,-,-,-,-,-,-
EV/EBIT Ratio,32.36,37.01,-,-,-,-,-,-,-,-
EV/FCF Ratio,30.94,32.04,-,-,-,-,-,-,-,-
Debt / Equity Ratio,0.01,0.01,0.01,0.02,0.01,0.01,0.02,-,-,6.38
Debt / EBITDA Ratio,0.06,0.07,-,-,-,-,-,-,-,-
Debt / FCF Ratio,0.06,0.06,-,-,-,-,-,-,-,-
Asset Turnover,0.34,0.31,0.07,-,-,-,-,-,-,-
Inventory Turnover,0.76,1.20,-,-,-,-,-,-,-,-
Quick Ratio,9.43,6.89,17.35,13.14,17.02,17.56,58.22,43.05,77.49,44.72
Current Ratio,10.14,7.28,17.77,13.30,17.18,17.80,58.88,43.39,77.99,50.44
Return on Equity (ROE),19.66%,10.34%,1.68%,-25.09%,-15.71%,-13.00%,-12.08%,-13.38%,-31.83%,-
Return on Assets (ROA),8.91%,6.88%,-8.83%,-12.80%,-9.32%,-7.93%,-8.49%,-8.96%,-11.41%,-
Return on Capital (ROIC),9.70%,7.41%,-9.22%,-13.38%,-9.73%,-8.21%,-8.64%,-9.16%,-11.56%,-
Return on Capital Employed (ROCE),13.80%,10.80%,-12.40%,-22.90%,-11.60%,-11.20%,-10.70%,-10.50%,-9.60%,-53.40%
Earnings Yield,3.33%,1.98%,0.31%,-6.86%,-3.99%,-2.72%,-1.99%,-3.63%,-7.30%,-
FCF Yield,2.77%,2.65%,-2.88%,-7.53%,-6.67%,-3.46%,-2.62%,-3.90%,-3.78%,-
Buyback Yield / Dilution,-1.34%,-7.16%,-8.87%,-14.85%,-18.15%,-18.15%,-41.94%,-108.99%,-510.89%,-
