Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Revenue,373.16,290.52,50.7,-,-,-,-,-,-,-
Revenue Growth (YoY),54.51%,473.02%,-,-,-,-,-,-,-,-
Cost of Revenue,21.41,20.06,3.09,-,-,-,-,-,-,-
Gross Profit,351.76,270.45,47.61,-,-,-,-,-,-,-
"Selling, General & Admin",136.64,113.69,98.4,78.84,41.99,15.06,6.47,4.16,1.56,0.4
Research & Development,56.77,53.57,46.43,42.46,27.88,17.94,15.62,7.76,3.21,0.74
Operating Expenses,193.41,167.26,144.83,121.3,69.88,33,22.08,11.92,4.77,1.14
Operating Income,158.35,103.2,-97.23,-121.3,-69.88,-33,-22.08,-11.92,-4.77,-1.14
Interest Expense,-,-,-,-,-1.49,-,-,-,-3.2,-0.01
Interest & Investment Income,28.6,29.66,22.62,5.22,0.2,0.83,2.99,1.03,0.05,-
EBT Excluding Unusual Items,186.95,132.86,-74.6,-116.08,-71.17,-32.17,-19.09,-10.89,-7.92,-1.15
Gain (Loss) on Sale of Assets,-,-,100,-,-,-,-,-,-,-
Legal Settlements,-,-37.5,-12.5,-25,-,-,-,-,-,-
Pretax Income,186.95,95.36,12.9,-139.98,-69.57,-32.17,-19.09,-10.89,-7.92,-1.15
Income Tax Expense,-11.96,6.2,1.97,-,-,-,-,-,-,-
Net Income,198.91,89.16,10.93,-139.98,-69.57,-32.17,-19.09,-10.89,-7.92,-1.15
Net Income to Common,198.91,89.16,10.93,-139.98,-69.57,-32.17,-19.09,-10.89,-7.92,-1.15
Net Income Growth,279.80%,715.58%,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),29,29,27,25,22,19,16,11,5,1
Shares Outstanding (Diluted),30,30,28,25,22,19,16,11,5,1
Shares Change (YoY),1.34%,7.16%,8.87%,14.85%,18.15%,18.15%,41.94%,108.99%,510.89%,-
EPS (Basic),6.89,3.12,0.40,-5.49,-3.13,-1.71,-1.20,-0.97,-1.48,-1.31
EPS (Diluted),6.66,3.00,0.39,-5.49,-3.13,-1.71,-1.20,-0.97,-1.48,-1.31
EPS Growth,275.72%,669.23%,-,-,-,-,-,-,-,-
Free Cash Flow,165.59,119.18,-100.6,-153.55,-116.27,-40.93,-25.09,-11.68,-4.1,-1.33
Free Cash Flow Per Share,5.54,4.01,-3.63,-6.02,-5.24,-2.18,-1.58,-1.04,-0.77,-1.51
Gross Margin,94.26%,93.09%,93.90%,-,-,-,-,-,-,-
Operating Margin,42.43%,35.52%,-191.77%,-,-,-,-,-,-,-
Profit Margin,53.30%,30.69%,21.56%,-,-,-,-,-,-,-
Free Cash Flow Margin,44.37%,41.02%,-198.43%,-,-,-,-,-,-,-
EBITDA,159.67,105.66,-93.32,-118.65,-67.11,-31.15,-20.99,-11.78,-4.75,-1.14
EBITDA Margin,42.79%,36.37%,-184.07%,-,-,-,-,-,-,-
D&A For EBITDA,1.33,2.47,3.91,2.64,2.77,1.85,1.09,0.14,0.02,0
EBIT,158.35,103.2,-97.23,-121.3,-69.88,-33,-22.08,-11.92,-4.77,-1.14
EBIT Margin,42.43%,35.52%,-191.77%,-,-,-,-,-,-,-
Effective Tax Rate,-,6.50%,15.24%,-,-,-,-,-,-,-
