Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,825","3,614","3,104","3,009","3,049","3,002","2,857","2,564","4,412","3,842","2,266"
Market Cap Growth,7.56%,16.44%,3.13%,-1.30%,1.56%,5.10%,11.43%,-41.89%,14.82%,69.59%,-8.77%
Last Close Price,82.64,78.20,64.63,60.31,60.25,59.50,56.77,51.09,88.90,78.40,49.42
PE Ratio,13.59,59.97,18.06,9.55,12.96,53.10,9.45,9.04,23.55,26.43,16.77
PS Ratio,3.30,4.18,3.09,2.60,3.25,3.77,2.87,2.83,5.57,6.16,4.11
PB Ratio,1.13,1.07,0.97,0.99,0.95,1.05,1.02,1.02,2.00,1.91,1.40
P/FCF Ratio,16.50,8.68,8.69,22.02,4.67,1.14,-,-,36.80,-,35.45
P/OCF Ratio,15.15,7.51,8.30,20.34,4.64,1.14,-,-,33.38,-,32.86
Debt / Equity Ratio,0.25,0.54,0.79,0.76,1.01,1.29,1.10,1.99,1.62,1.26,1.28
Debt / FCF Ratio,3.92,4.39,7.11,17.05,4.96,1.40,-,-,29.84,-,32.43
Return on Equity (ROE),8.60%,2.36%,6.05%,10.61%,8.35%,2.34%,11.77%,12.48%,9.36%,8.54%,9.32%
Return on Assets (ROA),0.94%,0.26%,0.67%,1.05%,0.70%,0.19%,1.03%,1.10%,0.84%,0.76%,0.83%
Earnings Yield,7.51%,2.15%,6.09%,11.05%,8.33%,2.21%,10.92%,11.44%,4.47%,4.04%,6.39%
FCF Yield,6.06%,11.52%,11.51%,4.54%,21.42%,87.83%,-8.99%,-26.81%,2.72%,-18.96%,2.82%
Payout Ratio,-,22.26%,9.12%,5.19%,7.37%,14.71%,3.13%,3.32%,4.95%,6.29%,6.73%
Buyback Yield / Dilution,1.90%,3.33%,4.77%,0.18%,-1.10%,-0.33%,-0.29%,-0.03%,-7.47%,-0.71%,-5.53%
