Period Ending,"Nov '25Nov 20, 2025","Oct '25Oct 4, 2025","Sep '24Sep 28, 2024","Sep '23Sep 30, 2023","Oct '22Oct 1, 2022","Oct '21Oct 2, 2021","Oct '20Oct 3, 2020","Sep '19Sep 28, 2019","Sep '18Sep 29, 2018","Sep '17Sep 30, 2017","Oct '16Oct 1, 2016"
Market Capitalization,"2,035","2,104","2,440","2,746","2,237","3,636","1,354","1,481","1,611","1,534",910
Market Cap Growth,-18.08%,-13.80%,-11.14%,22.75%,-38.46%,168.58%,-8.61%,-8.05%,5.04%,68.47%,35.16%
Enterprise Value,"1,567","1,583","1,878","2,082","1,533","3,022",861,924,"1,006",984,411
Last Close Price,35.29,40.34,43.85,46.84,36.55,54.89,20.24,21.14,21.10,18.90,11.33
PE Ratio,9757.50,9875.82,-,48.06,5.16,9.90,25.88,127.11,28.42,12.16,18.79
Forward PE,28.87,36.94,27.51,26.26,10.30,8.85,17.71,23.40,11.41,12.94,16.61
PS Ratio,2.86,3.22,3.46,3.70,1.49,2.40,2.17,2.74,1.81,1.90,1.45
PB Ratio,2.24,2.56,2.59,2.34,1.87,3.32,1.79,1.93,1.83,1.67,1.14
P/TBV Ratio,2.73,2.82,2.94,2.60,2.04,3.71,2.04,2.21,2.09,1.91,1.36
P/FCF Ratio,17.96,18.52,163.91,21.29,6.09,13.11,16.37,27.32,15.64,13.85,14.64
P/OCF Ratio,17.96,18.52,78.63,15.84,5.73,12.12,14.34,22.45,13.04,11.25,13.31
PEG Ratio,-,1.26,1.38,1.31,0.52,0.44,0.89,1.17,0.95,0.96,1.23
EV/Sales Ratio,2.40,2.42,2.66,2.81,1.02,1.99,1.38,1.71,1.13,1.22,0.66
EV/EBITDA Ratio,-,-,44.64,23.05,3.11,6.99,11.01,22.04,5.42,5.98,5.22
EV/EBIT Ratio,-,-,108.31,33.88,3.25,7.33,14.72,42.74,6.04,6.64,6.57
EV/FCF Ratio,13.80,13.94,126.14,16.14,4.18,10.90,10.42,17.03,9.76,8.89,6.61
Debt / Equity Ratio,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.10,0.02,0.02,0.02
Debt / EBITDA Ratio,-,-,0.79,0.48,0.08,0.10,0.28,1.79,0.08,0.10,0.21
Debt / FCF Ratio,0.34,0.34,2.75,0.38,0.11,0.16,0.29,1.39,0.15,0.14,0.27
Asset Turnover,0.56,0.56,0.52,0.48,0.94,1.14,0.58,0.48,0.76,0.75,0.67
Inventory Turnover,2.23,2.23,1.91,1.91,4.29,5.88,3.23,2.79,4.04,4.08,4.16
Quick Ratio,3.69,3.69,4.20,5.11,4.47,3.30,4.62,4.52,4.92,4.18,5.39
Current Ratio,4.79,4.79,5.41,6.55,5.36,3.84,5.45,5.12,5.67,4.94,6.20
Return on Equity (ROE),0.02%,0.02%,-6.51%,4.82%,37.87%,39.62%,6.85%,1.41%,6.30%,14.67%,6.18%
Return on Assets (ROA),-2.10%,-2.10%,0.79%,2.49%,18.47%,19.41%,3.43%,1.19%,8.84%,8.61%,4.15%
Return on Capital (ROIC),-2.67%,-2.67%,0.98%,3.12%,24.82%,26.85%,4.50%,1.55%,11.37%,10.58%,4.88%
Return on Capital Employed (ROCE),-4.30%,-4.30%,1.60%,4.70%,35.20%,33.00%,6.50%,2.40%,16.50%,15.20%,7.30%
Earnings Yield,0.01%,0.01%,-2.83%,2.08%,19.38%,10.10%,3.86%,0.79%,3.52%,8.22%,5.32%
FCF Yield,5.57%,5.40%,0.61%,4.70%,16.41%,7.63%,6.11%,3.66%,6.39%,7.22%,6.83%
Dividend Yield,2.10%,2.03%,1.82%,1.62%,1.86%,1.02%,2.37%,2.27%,1.14%,-,-
Payout Ratio,745.56%,-,-,73.56%,9.08%,9.11%,57.81%,270.88%,14.43%,-,-
Buyback Yield / Dilution,4.35%,4.35%,3.36%,5.94%,3.67%,-0.25%,3.93%,6.35%,2.28%,-1.73%,6.37%
Total Shareholder Return,6.45%,6.39%,5.19%,7.56%,5.53%,0.77%,6.30%,8.62%,3.42%,-1.73%,6.37%
