Period Ending,"Oct '25Oct 4, 2025","Sep '24Sep 28, 2024","Sep '23Sep 30, 2023","Oct '22Oct 1, 2022","Oct '21Oct 2, 2021","Oct '20Oct 3, 2020","Sep '19Sep 28, 2019","Sep '18Sep 29, 2018","Sep '17Sep 30, 2017","Oct '16Oct 1, 2016"
Revenue,654.08,706.23,742.49,"1,504","1,518",623.18,540.05,889.12,809.04,627.19
Revenue Growth (YoY),-7.38%,-4.88%,-50.62%,-0.92%,143.54%,15.39%,-39.26%,9.90%,28.99%,16.91%
Cost of Revenue,376.16,377.21,383.84,755.3,820.68,325.2,285.46,479.68,426.95,346.16
Gross Profit,277.92,329.02,358.66,748.32,696.99,297.98,254.59,409.44,382.09,281.04
"Selling, General & Admin",167.7,160.46,152.48,140.05,147.06,116.01,116.81,123.19,133.6,126.07
Research & Development,149.62,151.21,144.7,136.85,137.48,123.46,116.17,119.62,100.2,92.37
Operating Expenses,317.32,311.68,297.18,276.9,284.54,239.47,232.98,242.81,233.8,218.44
Operating Income,-39.39,17.34,61.47,471.42,412.45,58.51,21.61,166.63,148.29,62.6
Interest Expense,-0.13,-0.09,-0.14,-0.21,-0.22,-1.72,-2.06,-1.05,-1.06,-1.11
Interest & Investment Income,23.83,34.23,32.91,7.12,2.32,7.54,15.13,11.97,6.49,3.32
Earnings From Equity Investments,-,-,-,-,-0.09,-0.04,-0.12,-0.13,0.19,-
EBT Excluding Unusual Items,-15.69,51.48,94.24,478.33,414.46,64.3,34.56,177.42,153.91,64.81
Merger & Restructuring Charges,-,-109.84,-0.5,-,-,-,-,-,-,-8.64
Impairment of Goodwill,-,-,-9.8,-,-,-,-,-,-35.21,-
Gain (Loss) on Sale of Assets,75.99,-,-,-,-,-,-,-,-,-
Asset Writedown,-39.82,-,-11.74,-1.35,-,-,-,-,-,-
Pretax Income,20.48,-58.36,72.2,476.99,414.46,64.3,34.56,177.42,118.71,56.16
Income Tax Expense,20.26,10.65,15.05,43.44,47.3,12,22.91,120.74,-7.39,7.71
Net Income,0.21,-69.01,57.15,433.55,367.16,52.3,11.65,56.68,126.1,48.46
Net Income to Common,0.21,-69.01,57.15,433.55,367.16,52.3,11.65,56.68,126.1,48.46
Net Income Growth,-,-,-86.82%,18.08%,602.03%,348.81%,-79.44%,-55.05%,160.24%,-6.66%
Shares Outstanding (Basic),53,56,57,60,62,63,65,69,71,70
Shares Outstanding (Diluted),53,56,58,61,64,63,66,70,72,71
Shares Change (YoY),-4.35%,-3.36%,-5.94%,-3.67%,0.25%,-3.93%,-6.35%,-2.28%,1.73%,-6.37%
EPS (Basic),0.00,-1.24,1.01,7.21,5.92,0.83,0.18,0.82,1.78,0.69
EPS (Diluted),0.00,-1.24,0.99,7.09,5.78,0.83,0.18,0.80,1.75,0.68
EPS Growth,-,-,-86.04%,22.66%,596.39%,365.01%,-77.69%,-54.29%,157.35%,-1.21%
Free Cash Flow,113.57,14.89,129,367.2,277.26,82.69,54.23,103,110.72,62.19
Free Cash Flow Per Share,2.13,0.27,2.24,6.00,4.37,1.30,0.82,1.46,1.54,0.88
Dividend Per Share,0.820,0.800,0.760,0.680,0.560,0.480,0.480,0.240,-,-
Dividend Growth,2.50%,5.26%,11.77%,21.43%,16.67%,-,100.00%,-,-,-
Gross Margin,42.49%,46.59%,48.30%,49.77%,45.92%,47.82%,47.14%,46.05%,47.23%,44.81%
Operating Margin,-6.02%,2.46%,8.28%,31.35%,27.18%,9.39%,4.00%,18.74%,18.33%,9.98%
Profit Margin,0.03%,-9.77%,7.70%,28.83%,24.19%,8.39%,2.16%,6.37%,15.59%,7.73%
Free Cash Flow Margin,17.36%,2.11%,17.37%,24.42%,18.27%,13.27%,10.04%,11.58%,13.69%,9.92%
EBITDA,-20.81,42.08,90.33,492.71,432.26,78.25,41.91,185.65,164.55,78.83
EBITDA Margin,-3.18%,5.96%,12.17%,32.77%,28.48%,12.56%,7.76%,20.88%,20.34%,12.57%
D&A For EBITDA,18.59,24.74,28.86,21.29,19.81,19.74,20.3,19.02,16.26,16.23
EBIT,-39.39,17.34,61.47,471.42,412.45,58.51,21.61,166.63,148.29,62.6
EBIT Margin,-6.02%,2.46%,8.28%,31.35%,27.18%,9.39%,4.00%,18.74%,18.33%,9.98%
Effective Tax Rate,98.96%,-,20.85%,9.11%,11.41%,18.66%,66.29%,68.05%,-,13.73%
