Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,643.62,687.38,614.09,682.12,"1,651","3,472",996.62,833.46,598.04,285.66,252.26
Investment Securities,"1,070","3,703","3,777","3,880","4,126","2,391","1,580",909.63,757.44,735.92,868.69
Trading Asset Securities,78.02,103.37,102.64,104.83,10.52,-,-,-,-,0.04,4.42
Mortgage-Backed Securities,"2,250","2,463","3,102","3,734","4,519","1,417","1,754","1,536","1,203",888.1,672.2
Total Investments,"3,397","6,270","6,981","7,718","8,655","3,808","3,334","2,446","1,961","1,624","1,545"
Gross Loans,"17,197","17,016","16,852","16,169","12,034","12,958","14,517","11,723","10,780","5,634","4,920"
Allowance for Loan Losses,-258.01,-235.02,-225.23,-196.96,-205.33,-238.05,-68.24,-56.69,-42.09,-37.24,-32.31
Other Adjustments to Gross Loans,-8.1,-9.6,-6.5,-26.4,-21.5,-57.3,-91.6,-,-,-,-
Net Loans,"16,931","16,771","16,620","15,945","11,807","12,663","14,357","11,667","10,738","5,597","4,888"
"Property, Plant & Equipment",568.34,585.43,570.68,548.74,483.47,441.69,492.38,295.06,287.25,199.36,193.62
Goodwill,"1,321","1,321","1,321","1,320","1,146","1,075","1,056",845.69,842.65,348.51,327.69
Other Intangible Assets,87.52,97.24,112.65,128.95,106.24,111.11,127.34,91.33,106.07,52.96,53.24
Loans Held for Sale,15.51,11.42,9.37,3.49,36.46,137.38,58.1,26.8,24.04,27.79,30.27
Accrued Interest Receivable,104.38,123.24,122.43,102.89,72.99,72.6,62.71,49.94,43.53,27.79,25.79
Other Current Assets,-,-,-,-,-,15.11,260.33,1.79,165.78,6.05,0.92
Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,13.53,18.63,27.58,29.68
Other Real Estate Owned & Foreclosed,6.78,10.47,5.8,3.53,7.7,20.41,21.09,26.12,32.79,27.37,45.03
Other Long-Term Assets,"1,133",999.62,988.23,"1,008",758.91,542.95,493.77,247.17,238.11,176.35,167.85
Total Assets,"24,208","26,876","27,346","27,461","24,725","22,360","21,259","16,543","15,056","8,400","7,560"
Interest Bearing Deposits,"14,241","15,875","15,714","15,451","13,256","11,615","10,214","8,284","7,336","4,643","4,180"
Institutional Deposits,"1,220","1,550","1,730","1,080",784.9,889.8,"2,153","1,443","1,092",600.28,625.76
Non-Interest Bearing Deposits,"4,377","4,461","4,801","6,017","5,325","4,482","3,741","2,672","2,665","1,492","1,280"
Total Deposits,"19,838","21,886","22,245","22,548","19,367","16,987","16,109","12,399","11,093","6,735","6,086"
Short-Term Borrowings,24.62,37.11,67.97,160.4,185.4,299.11,"1,400",95.79,197.44,115.03,99.4
Current Portion of Leases,-,13.75,-,-,-,-,-,-,-,-,-
Accrued Interest Payable,47.42,243.33,198.94,16.4,6.76,8.89,12.9,9.9,4.56,1.67,1.8
Other Current Liabilities,-,-,-,-,-,154.62,159.85,0.16,157.37,-,-
Long-Term Debt,665.08,383.72,385.29,386.8,360.27,360.75,367.83,326.63,43.38,47.93,52.3
"Federal Home Loan Bank Debt, Long-Term",2.73,727.95,953.22,838.49,"1,306","1,309",12.69,"1,345","1,262",225.23,109.99
