Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,513","2,785","2,483","2,740","3,397","2,350","2,588","2,233","2,625","1,944","1,538"
Market Cap Growth,-15.33%,12.16%,-9.37%,-19.33%,44.54%,-9.21%,15.92%,-14.94%,35.04%,26.41%,109.90%
Last Close Price,17.26,21.48,18.40,19.16,25.42,18.11,21.59,18.96,21.98,23.50,19.05
PE Ratio,-,18.24,14.19,10.69,12.53,9.22,10.88,10.35,28.24,20.08,20.75
PS Ratio,-1916.32,3.82,3.27,3.15,4.16,2.92,3.42,3.39,5.62,4.88,4.14
PB Ratio,0.74,0.79,0.73,0.84,1.05,0.79,0.87,0.99,1.26,1.69,1.43
P/FCF Ratio,6.65,7.32,4.89,9.55,35.47,12.42,13.75,15.72,32.67,26.91,22.12
P/OCF Ratio,6.03,6.54,4.59,8.50,12.23,11.60,10.11,9.84,22.91,21.33,18.23
Debt / Equity Ratio,0.23,0.35,0.43,0.44,0.60,0.69,0.63,0.80,0.79,0.39,0.30
Debt / FCF Ratio,2.00,3.20,2.91,5.00,20.44,10.86,9.97,12.64,20.45,6.21,4.64
Return on Equity (ROE),-12.42%,4.39%,5.23%,7.87%,8.71%,8.55%,9.10%,9.96%,5.75%,8.69%,9.47%
Return on Assets (ROA),-1.66%,0.56%,0.64%,0.98%,1.15%,1.17%,1.26%,1.36%,0.79%,1.21%,1.22%
Earnings Yield,-17.01%,5.48%,7.05%,9.36%,7.98%,10.85%,9.20%,9.66%,3.54%,4.98%,4.84%
FCF Yield,15.04%,13.66%,20.45%,10.47%,2.82%,8.05%,7.27%,6.36%,3.06%,3.72%,4.52%
Dividend Yield,4.87%,3.91%,4.35%,3.97%,2.83%,3.75%,2.96%,3.16%,2.27%,2.04%,2.42%
Payout Ratio,-,69.05%,57.67%,36.70%,29.09%,29.28%,26.98%,25.80%,37.78%,29.71%,36.69%
Buyback Yield / Dilution,-2.83%,0.52%,-1.85%,-12.95%,-0.02%,-11.52%,-6.43%,-32.89%,-12.80%,-9.76%,-66.70%
Total Shareholder Return,2.10%,4.43%,2.49%,-8.98%,2.81%,-7.76%,-3.46%,-29.73%,-10.53%,-7.72%,-64.29%
