Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"4,274","4,484","1,862",721,360,411,580,547,142,24,33
Market Cap Growth,-47.13%,140.89%,158.23%,100.31%,-12.38%,-29.13%,6.02%,284.05%,493.04%,-27.27%,-
Enterprise Value,"3,549","3,555","1,487",567,144,156,292,243,136,12,17
Last Close Price,38.22,40.24,18.61,9.40,4.60,5.63,8.02,7.65,4.06,1.19,3.41
PB Ratio,6.03,5.09,5.34,4.96,1.78,1.68,2.09,1.84,10.57,2.98,3.78
P/TBV Ratio,5.98,5.09,5.34,4.96,1.78,1.68,2.09,1.84,10.57,2.98,3.78
Debt / Equity Ratio,0.00,0.00,0.00,0.01,0,0.00,0.00,-,0.26,0.41,0.25
Quick Ratio,27.41,32.93,18.92,7.09,23.02,20.48,40.67,66.27,2.38,2.03,7.14
Current Ratio,28.34,33.09,19.19,7.61,23.98,21.12,41.83,66.40,2.52,2.16,7.69
Return on Equity (ROE),-29.23%,-17.90%,-34.79%,-39.67%,-24.65%,-15.15%,-8.97%,-14.18%,-191.36%,-175.72%,-
Return on Assets (ROA),-20.48%,-14.77%,-23.47%,-23.19%,-14.90%,-9.86%,-6.97%,-10.08%,-65.03%,-57.75%,-81.14%
Return on Capital (ROIC),-21.12%,-15.32%,-25.38%,-25.21%,-15.58%,-10.21%,-7.10%,-10.39%,-84.45%,-78.01%,-
Return on Capital Employed (ROCE),-38.50%,-17.10%,-28.90%,-48.00%,-27.60%,-17.50%,-11.80%,-8.80%,-141.60%,-171.80%,-89.10%
Earnings Yield,-5.57%,-2.45%,-4.61%,-9.55%,-15.28%,-9.62%,-4.45%,-4.04%,-14.46%,-61.38%,-70.91%
Buyback Yield / Dilution,-5.48%,-15.57%,-22.79%,0.47%,-6.34%,-0.89%,-24.97%,-121.65%,-59.59%,-156.11%,-51.79%
