Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,541","2,430","3,877","5,119","4,858","8,847","11,116","8,630","15,807","7,757","9,024"
Market Cap Growth,19.77%,-37.32%,-24.26%,5.36%,-45.09%,-20.41%,28.80%,-45.40%,103.78%,-14.05%,-34.04%
Enterprise Value,"9,667","9,187","10,987","12,223","10,581","13,793","15,245","11,819","18,651","10,626","12,093"
Last Close Price,9.02,5.79,8.87,11.50,10.18,18.55,23.95,16.96,27.32,13.61,13.73
PE Ratio,35.21,55.81,-,-,-,-,29.79,25.36,45.84,44.10,85.34
Forward PE,11.60,18.12,14.45,-,-,-,20.40,14.50,27.00,39.87,51.80
PS Ratio,0.72,0.52,1.03,3.79,2.41,5.12,1.94,1.66,2.99,1.72,2.27
PB Ratio,-,-2.58,-4.61,-16.28,5.93,4.81,3.54,2.90,4.74,2.03,1.83
P/TBV Ratio,-,-,-,-,-,57.14,7.78,7.03,8.99,3.64,2.96
P/FCF Ratio,-,6.66,10.60,-,-,-,28.60,20.78,24.46,12.47,-
P/OCF Ratio,-,3.88,6.23,-,-,-,13.29,8.19,13.61,6.70,17.29
PEG Ratio,0.12,-,-,-,-,-,0.96,1.28,2.70,4.10,-
EV/Sales Ratio,1.91,1.98,2.91,9.05,5.26,7.98,2.66,2.28,3.53,2.35,3.04
EV/EBITDA Ratio,8.83,8.92,13.47,-,1752.19,-,10.82,10.01,15.96,11.57,21.05
EV/EBIT Ratio,17.44,18.83,40.31,-,-,-,20.13,19.27,29.69,29.00,116.38
EV/FCF Ratio,-,25.19,30.05,-,-,-,39.22,28.46,28.87,17.08,-
Debt / Equity Ratio,-8.00,-7.93,-9.25,-27.72,8.58,3.32,1.53,1.46,1.16,1.05,0.83
Debt / EBITDA Ratio,6.64,6.91,9.03,-,119.77,-,3.25,3.68,3.30,4.37,7.16
Debt / FCF Ratio,-,20.45,21.25,-,-,-,12.39,10.47,5.97,6.45,-
Asset Turnover,0.63,0.57,0.43,0.15,0.23,0.19,0.62,0.58,0.58,0.46,0.38
Inventory Turnover,95.85,96.05,85.37,39.28,45.43,38.50,85.81,88.39,105.37,94.88,100.79
Quick Ratio,1.00,1.09,1.27,1.56,1.67,1.69,1.13,0.88,1.00,1.45,2.15
Current Ratio,1.08,1.20,1.40,1.73,1.83,1.80,1.24,0.97,1.10,1.54,2.49
Return on Equity (ROE),-,-,-,-434.07%,-71.97%,-58.40%,12.89%,10.75%,8.72%,1.53%,-1.22%
Return on Assets (ROA),4.30%,3.74%,1.93%,-5.08%,-4.01%,-6.20%,5.09%,4.26%,4.31%,2.34%,0.63%
Return on Capital (ROIC),5.23%,4.54%,2.22%,-5.69%,-4.54%,-7.22%,6.19%,5.28%,5.22%,2.71%,0.71%
Return on Capital Employed (ROCE),8.50%,7.20%,3.80%,-9.10%,-7.30%,-11.60%,9.50%,8.80%,8.70%,4.70%,1.10%
Earnings Yield,2.96%,1.79%,-8.43%,-18.18%,-16.71%,-14.28%,3.36%,3.94%,2.18%,2.27%,1.17%
FCF Yield,-,15.01%,9.43%,-24.01%,-19.36%,-14.67%,3.50%,4.81%,4.09%,8.02%,-9.06%
Dividend Yield,-,-,-,-,-,-,2.72%,3.42%,1.48%,1.24%,0.48%
Payout Ratio,-,0.79%,-,-,-,-,80.66%,79.79%,51.07%,21.80%,59.43%
Buyback Yield / Dilution,6.76%,1.15%,5.50%,2.99%,-0.14%,0.79%,4.81%,-1.36%,1.92%,6.26%,2.01%
Total Shareholder Return,6.76%,1.15%,5.50%,2.99%,-0.14%,0.79%,7.53%,2.06%,3.40%,7.50%,2.49%
