Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,190.55,213.75,246.99,148.81,245.2,163.24,142.84,79.75,49.06,187.03,69.49
Short-Term Investments,73.29,36.19,39.21,144.78,237.3,320.03,309.9,424.4,309.5,143.33,144.55
Cash & Short-Term Investments,263.84,249.95,286.2,293.6,482.5,483.27,452.74,504.15,358.56,330.35,214.03
Cash Growth,5.64%,-12.67%,-2.52%,-39.15%,-0.16%,6.74%,-10.20%,40.60%,8.54%,54.35%,41.11%
Receivables,113.84,101.1,87.63,66.2,52.67,46.92,33.28,21.96,9.46,1.3,-
Inventory,177.93,118.78,59.7,23.82,26.82,19.56,14.04,8.39,4.62,3.42,-
Prepaid Expenses,38.46,34.91,49.53,40.21,34.85,29.72,20.01,16.59,19.32,4.99,2.57
Total Current Assets,594.07,504.74,483.06,423.82,596.83,579.47,520.07,551.1,391.97,340.06,216.6
"Property, Plant & Equipment",49.31,51.66,57.98,60.31,63.08,67.16,81.02,11.38,9.06,9.82,6.18
Goodwill,197.8,197.8,197.8,197.8,197.8,197.8,197.8,197.8,197.8,197.8,197.8
Other Intangible Assets,14.74,17.2,20.49,23,-,-,-,-,-,-,-
Long-Term Deferred Charges,-,-,-,-,23,23,23,23,23,486.7,486.7
Other Long-Term Assets,12.9,13.64,18.55,19.24,24.43,19.1,28.32,6.68,5.2,2.47,1.11
Total Assets,868.81,785.03,777.88,724.17,905.14,886.52,850.21,789.95,627.02,"1,037",908.38
Accounts Payable,19.1,12.95,15.12,15.41,21.51,17.06,21.72,6.61,7.87,12.91,16.48
Accrued Expenses,171.17,100.49,121.44,80.23,87.8,92.75,88.58,67.86,42.27,27.56,15.74
Current Portion of Leases,8.66,8.46,8.32,8.55,7.41,6.87,7.19,-,-,0.28,-
Current Income Taxes Payable,-,18.11,12.43,5.94,6.15,-,7.3,1.33,-,-,-
Current Unearned Revenue,-,-,-,-,-,-,1.25,5.5,7.75,13.85,-
Other Current Liabilities,-,8.71,10.37,28.88,23.1,12.99,2.77,4.83,12.16,56.37,41.4
Total Current Liabilities,198.93,148.7,167.69,139.02,145.98,129.68,128.81,86.13,70.04,110.96,73.62
Long-Term Debt,391.99,390.11,387.86,391.99,389.36,389.25,149.51,321.74,164.17,154.46,41.6
Long-Term Leases,42.17,45.08,48.88,51.58,43.36,45.6,53.53,-,-,-,-
Long-Term Unearned Revenue,-,-,-,-,5.91,7.41,8.91,10.16,14.16,21.91,35.76
Long-Term Deferred Tax Liabilities,-,-,-,-,4.93,4.9,5.05,6.47,6.47,173.77,176.22
Other Long-Term Liabilities,5.3,7.1,13.28,18.53,8.24,23.3,27.98,22.55,19.35,215.59,233.36
Total Liabilities,638.39,590.99,617.71,601.12,597.77,600.14,373.78,447.04,274.17,676.69,560.55
Common Stock,3.02,2.94,2.92,2.82,2.81,2.65,2.6,1.94,1.72,1.48,1.31
Additional Paid-In Capital,"2,974","2,926","2,836","2,665","2,595","2,309","2,227","1,740","1,401","1,120",917.45
Retained Earnings,"-2,769","-2,740","-2,684","-2,532","-2,296","-2,045","-1,769","-1,412","-1,064",-779.61,-579.57
Comprehensive Income & Other,22.83,5.17,5.31,-12.02,5.06,20.61,15.21,13.13,13.98,18.12,8.64
Shareholders' Equity,230.42,194.05,160.17,123.05,307.37,286.38,476.43,342.91,352.85,360.15,347.83
Total Liabilities & Equity,868.81,785.03,777.88,724.17,905.14,886.52,850.21,789.95,627.02,"1,037",908.38
Total Debt,442.82,443.64,445.06,452.12,440.13,441.73,210.23,321.74,164.17,154.75,41.6
Net Cash (Debt),-178.98,-193.7,-158.86,-158.53,42.37,41.54,242.52,182.41,194.4,175.6,172.43
Net Cash Growth,-,-,-,-,1.99%,-82.87%,32.95%,-6.16%,10.70%,1.84%,25.56%
Net Cash Per Share,-0.58,-0.64,-0.54,-0.55,0.16,0.16,1.01,0.98,1.27,1.31,1.57
Filing Date Shares Outstanding,308.53,300.12,295.38,282.71,280.03,264.32,257.24,223.71,186.89,142.74,125.21
Total Common Shares Outstanding,308.5,299.04,293.59,281.11,278.91,262.06,255.42,189.38,166.99,142.69,125.03
Working Capital,395.14,356.03,315.37,284.8,450.86,449.79,391.26,464.97,321.93,229.11,142.99
Book Value Per Share,0.75,0.65,0.55,0.44,1.10,1.09,1.87,1.81,2.11,2.52,2.78
Tangible Book Value,17.88,-20.95,-58.11,-97.75,109.57,88.58,278.63,145.12,155.05,162.35,150.04
Tangible Book Value Per Share,0.06,-0.07,-0.20,-0.35,0.39,0.34,1.09,0.77,0.93,1.14,1.20
Land,-,-,-,-,3.19,3.19,3.19,-,-,-,-
Machinery,-,25.13,24.15,23.63,25.62,23.94,26.03,18.22,13.12,13.99,14
Construction In Progress,-,0.26,3.81,4.16,8.23,5.87,4.18,0.1,0.03,-,-
Leasehold Improvements,-,32.36,28.03,24.16,24.17,24.15,30.29,7.43,7.19,6.97,4.18
