Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,959","2,815","4,161","3,430","3,218","6,017","2,482","1,813","2,393",707,"1,212"
Market Cap Growth,-13.85%,-32.36%,21.31%,6.59%,-46.51%,142.44%,36.86%,-24.21%,238.25%,-41.61%,56.39%
Enterprise Value,"3,132","3,010","4,335","3,527","3,101","5,948","2,173","1,568","2,128",561,"1,025"
Last Close Price,9.42,9.42,14.19,12.21,11.55,23.09,9.74,9.58,14.39,4.97,9.70
Forward PE,40.81,87.63,-,-,-,-,-,-,-,-,-
PS Ratio,4.84,5.33,10.42,10.42,10.53,23.06,13.62,19.87,64.79,142.67,-
PB Ratio,12.61,14.51,25.98,27.88,10.47,21.01,5.21,5.29,6.78,1.96,3.48
P/TBV Ratio,165.10,-,-,-,29.37,67.93,8.91,12.50,15.43,4.36,8.07
EV/Sales Ratio,5.23,5.70,10.86,10.71,10.15,22.80,11.92,17.18,57.61,113.15,-
EV/EBITDA Ratio,74.35,70.63,-,-,-,-,-,-,-,-,-
EV/EBIT Ratio,90.73,88.35,-,-,-,-,-,-,-,-,-
Debt / Equity Ratio,1.92,2.29,2.78,3.67,1.43,1.54,0.44,0.94,0.47,0.43,0.12
Debt / EBITDA Ratio,9.04,8.61,-,-,-,-,-,-,-,-,-
Asset Turnover,0.72,0.68,0.53,0.40,0.34,0.30,0.22,0.13,0.04,0.01,-
Inventory Turnover,0.42,0.59,0.89,1.53,1.49,1.85,1.96,2.21,1.55,-,-
Quick Ratio,1.90,2.36,2.23,2.59,3.67,4.09,3.77,6.11,5.26,2.99,2.91
Current Ratio,2.99,3.39,2.88,3.05,4.09,4.47,4.04,6.40,5.60,3.07,2.94
Return on Equity (ROE),-6.87%,-31.68%,-107.04%,-109.93%,-84.37%,-72.59%,-86.99%,-100.32%,-79.66%,-56.51%,-56.22%
Return on Assets (ROA),2.61%,2.72%,-6.12%,-15.68%,-13.95%,-17.55%,-22.92%,-28.71%,-15.20%,-11.25%,-14.09%
Return on Capital (ROIC),3.33%,3.43%,-7.78%,-19.32%,-16.93%,-21.55%,-27.82%,-34.43%,-24.52%,-24.20%,-29.96%
Return on Capital Employed (ROCE),5.20%,5.40%,-12.00%,-34.90%,-26.30%,-32.20%,-41.70%,-46.20%,-36.30%,-18.90%,-15.10%
Earnings Yield,-0.48%,-1.99%,-3.64%,-6.90%,-7.78%,-4.60%,-14.36%,-19.25%,-11.87%,-28.28%,-10.90%
FCF Yield,0.33%,-1.33%,-1.84%,-4.97%,-6.41%,-3.93%,-10.90%,-16.89%,-9.12%,-22.07%,-8.66%
Buyback Yield / Dilution,-1.52%,-3.12%,-2.11%,-6.50%,-4.85%,-7.67%,-29.40%,-21.15%,-14.10%,-22.27%,-47.66%
