Period Ending,"Sep '25Sep 28, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"3,873","3,716","3,468","4,882","4,078","2,487","2,337","2,263","1,636","1,222",920.33
Revenue Growth (YoY),6.08%,7.14%,-28.96%,19.71%,64.00%,6.40%,3.27%,38.36%,33.86%,32.77%,25.09%
Cost of Revenue,"2,985","2,880","2,686","3,822","3,277","2,028","1,914","1,847","1,357","1,019",768.05
Gross Profit,887.41,835.89,782.23,"1,060",801.19,459.02,422.87,415.87,278.92,202.47,152.28
"Selling, General & Admin",531.17,481.58,443.34,490.54,393.15,244.78,232.52,203.24,137.64,98.26,73.57
Amortization of Goodwill & Intangibles,98.07,96.28,78.69,73.23,56.33,40.87,35.91,34.21,19.37,13.37,8.79
Operating Expenses,629.24,577.85,522.03,563.77,449.48,285.64,268.43,237.45,157.02,111.63,82.36
Operating Income,258.18,258.04,260.2,496.17,351.71,173.37,154.44,178.42,121.9,90.84,69.92
Interest Expense,-75.42,-79.47,-68.94,-60.76,-57.89,-43,-36.62,-26.44,-8.79,-7.19,-4.32
Pretax Income,158.34,178.57,191.26,435.41,293.82,130.37,117.83,151.98,113.11,83.65,65.6
Income Tax Expense,37.8,40.17,48.36,107.21,68.91,33.31,28.26,32.15,27.39,28.08,23.38
Net Income,120.54,138.4,142.9,328.2,224.92,97.06,89.57,119.83,85.72,55.58,42.22
Net Income to Common,120.54,138.4,142.9,328.2,224.92,97.06,89.57,119.83,85.72,55.58,42.22
Net Income Growth,-22.07%,-3.15%,-56.46%,45.92%,131.72%,8.37%,-25.26%,39.80%,54.23%,31.64%,37.64%
Shares Outstanding (Basic),33,33,32,33,34,34,35,36,36,34,34
Shares Outstanding (Diluted),34,34,33,37,35,35,35,36,37,34,35
Shares Change (YoY),3.44%,2.00%,-9.99%,4.78%,1.16%,-0.83%,-4.26%,-1.32%,7.63%,-1.54%,-3.34%
EPS (Basic),3.70,4.25,4.43,9.88,6.58,2.85,2.59,3.33,2.36,1.65,1.22
EPS (Diluted),3.51,4.11,4.33,8.99,6.42,2.80,2.57,3.29,2.32,1.62,1.21
EPS Growth,-24.42%,-5.08%,-51.85%,40.09%,129.29%,9.09%,-21.91%,41.67%,43.21%,34.25%,42.15%
Free Cash Flow,211.06,251.16,349.69,331.86,187.33,128.05,164.75,165.53,77.4,81.74,58.9
Free Cash Flow Per Share,6.13,7.45,10.58,9.04,5.35,3.70,4.72,4.54,2.09,2.38,1.69
Dividend Per Share,1.600,1.500,1.267,0.960,0.780,0.687,0.167,-,-,-,-
Dividend Growth,9.09%,18.42%,31.95%,23.08%,13.59%,311.94%,-,-,-,-,-
Gross Margin,22.91%,22.50%,22.55%,21.71%,19.65%,18.46%,18.09%,18.38%,17.05%,16.57%,16.55%
Operating Margin,6.67%,6.94%,7.50%,10.16%,8.62%,6.97%,6.61%,7.88%,7.45%,7.43%,7.60%
Profit Margin,3.11%,3.72%,4.12%,6.72%,5.51%,3.90%,3.83%,5.29%,5.24%,4.55%,4.59%
Free Cash Flow Margin,5.45%,6.76%,10.08%,6.80%,4.59%,5.15%,7.05%,7.31%,4.73%,6.69%,6.40%
EBITDA,427.94,424.59,404.74,626.93,456.52,246.64,217.24,233.47,155.44,115.2,86.69
EBITDA Margin,11.05%,11.43%,11.67%,12.84%,11.19%,9.92%,9.29%,10.32%,9.50%,9.43%,9.42%
D&A For EBITDA,169.77,166.55,144.54,130.76,104.81,73.27,62.8,55.05,33.54,24.36,16.78
EBIT,258.18,258.04,260.2,496.17,351.71,173.37,154.44,178.42,121.9,90.84,69.92
EBIT Margin,6.67%,6.94%,7.50%,10.16%,8.62%,6.97%,6.61%,7.88%,7.45%,7.43%,7.60%
Effective Tax Rate,23.87%,22.50%,25.29%,24.62%,23.45%,25.55%,23.98%,21.15%,24.22%,33.56%,35.64%
