Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,230","2,791","2,221","1,373","1,909","1,597","1,246",711,"1,752","1,167",677
Market Cap Growth,7.59%,25.67%,61.73%,-28.05%,19.53%,28.16%,75.28%,-59.44%,50.11%,72.55%,48.18%
Enterprise Value,"4,733","4,337","3,490","2,829","3,096","2,328","1,894","1,312","2,006","1,446",900
Last Close Price,96.97,82.06,64.88,38.25,49.72,41.53,31.28,17.58,41.24,30.21,17.22
PE Ratio,27.66,20.17,15.54,4.18,8.49,16.45,13.91,5.93,20.44,21.01,16.02
Forward PE,19.14,17.53,13.09,7.23,8.19,12.37,12.63,5.93,20.53,18.93,14.57
PS Ratio,0.81,0.75,0.64,0.28,0.47,0.64,0.53,0.31,1.07,0.96,0.74
PB Ratio,2.76,2.47,2.13,1.44,2.49,2.85,2.51,1.74,4.73,6.30,5.26
P/FCF Ratio,15.26,11.11,6.35,4.14,10.19,12.47,7.56,4.29,22.64,14.28,11.49
P/OCF Ratio,10.69,8.54,5.44,3.34,7.57,9.97,6.48,3.55,17.54,12.02,10.12
PEG Ratio,1.18,1.28,50.74,2.39,0.55,0.69,0.88,0.39,1.50,1.20,0.88
EV/Sales Ratio,1.22,1.17,1.01,0.58,0.76,0.94,0.81,0.58,1.23,1.18,0.98
EV/EBITDA Ratio,11.06,10.22,8.62,4.51,6.78,9.44,8.72,5.62,12.90,12.55,10.38
EV/EBIT Ratio,18.33,16.81,13.41,5.70,8.80,13.43,12.26,7.36,16.45,15.92,12.87
EV/FCF Ratio,22.42,17.27,9.98,8.52,16.53,18.18,11.49,7.93,25.92,17.69,15.28
Debt / Equity Ratio,1.31,1.35,1.16,1.52,1.89,1.69,1.56,1.55,0.96,1.47,1.59
Debt / EBITDA Ratio,3.07,3.11,2.62,2.14,2.90,3.36,3.12,2.71,2.28,2.37,2.35
Debt / FCF Ratio,7.26,6.06,3.45,4.37,7.73,7.37,4.71,3.83,4.57,3.34,3.46
Asset Turnover,1.24,1.33,1.30,1.80,1.85,1.54,1.73,2.16,2.33,2.67,2.89
Inventory Turnover,5.21,5.43,4.56,5.96,7.07,7.16,7.27,8.24,9.19,9.73,9.57
Quick Ratio,0.73,0.63,0.60,0.57,0.70,0.81,1.30,0.66,0.59,0.52,0.66
Current Ratio,2.34,2.33,2.38,2.48,2.25,2.32,2.77,2.44,2.01,2.01,2.31
Return on Equity (ROE),10.49%,12.73%,14.29%,38.10%,33.90%,18.37%,19.77%,30.75%,30.83%,35.39%,36.50%
Return on Assets (ROA),5.15%,5.78%,6.08%,11.42%,9.98%,6.72%,7.14%,10.63%,10.87%,12.39%,13.72%
Return on Capital (ROIC),5.95%,6.58%,6.98%,13.42%,11.82%,7.81%,8.34%,12.63%,12.88%,14.36%,16.30%
Return on Capital Employed (ROCE),9.40%,9.70%,11.50%,20.50%,15.90%,11.40%,12.00%,16.60%,16.70%,20.20%,21.60%
Earnings Yield,3.74%,4.96%,6.43%,23.90%,11.78%,6.08%,7.19%,16.86%,4.89%,4.76%,6.24%
FCF Yield,6.55%,9.00%,15.74%,24.16%,9.81%,8.02%,13.22%,23.29%,4.42%,7.00%,8.71%
Dividend Yield,1.65%,1.83%,1.95%,2.51%,1.57%,1.65%,0.53%,-,-,-,-
Payout Ratio,45.61%,36.26%,29.49%,10.02%,12.02%,24.35%,6.47%,-,-,-,-
Buyback Yield / Dilution,-3.44%,-2.00%,9.99%,-4.78%,-1.16%,0.83%,4.26%,1.32%,-7.63%,1.54%,3.34%
Total Shareholder Return,-1.79%,-0.17%,11.95%,-2.27%,0.41%,2.48%,4.80%,1.32%,-7.63%,1.54%,3.34%
