Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,94.48,136.96,59.81,296.02,122.4,55.57,36.48,244.15,6.76,39.78,33.43
Cash & Short-Term Investments,94.48,136.96,59.81,296.02,122.4,55.57,36.48,244.15,6.76,39.78,33.43
Cash Growth,-51.65%,128.98%,-79.79%,141.84%,120.25%,52.33%,-85.06%,3513.82%,-83.02%,19.00%,35.89%
Accounts Receivable,169.88,166.83,282.62,241.41,129.53,104.58,161.68,174.91,181.84,152.3,123.07
Other Receivables,2.27,10.16,9.68,8.6,0.68,3.48,0.26,0.4,0.15,0.28,0.7
Receivables,172.16,176.99,292.3,250.01,130.21,108.06,161.94,175.31,181.98,152.58,123.76
Inventory,130.64,120.66,127.56,77.33,60.3,56.41,101.31,59.21,60.28,61.05,121.08
Prepaid Expenses,14.49,22.16,19.09,26.68,21.35,21.57,18.02,20.75,28.12,22.05,29.81
Other Current Assets,74.35,56.46,17.36,7.56,4.96,4.17,1.84,1.27,4.51,1.21,6.82
Total Current Assets,486.11,513.23,516.12,657.59,339.23,245.77,319.59,500.69,281.64,276.67,314.91
"Property, Plant & Equipment","2,181","2,182","2,039","1,896","1,713","1,815","2,027","1,412","1,477","1,586","1,800"
Long-Term Investments,135.32,128.07,139.04,91.37,26.33,27.27,28.53,283.4,254.36,138.82,64.51
Goodwill,-,-,-,-,-,4.37,136.4,136.4,136.4,136.4,136.4
Other Long-Term Assets,105.63,92.29,94.03,83.44,81.02,73.35,75.54,61.9,70.31,55.31,45.2
Total Assets,"2,908","2,916","2,788","2,728","2,159","2,166","2,587","2,395","2,219","2,193","2,361"
Accounts Payable,103.76,98.19,108.27,95.12,69.59,47.51,80.57,96.4,96.96,64.06,83.6
Accrued Expenses,86.36,64.66,70.36,81.69,71.89,69.36,69.18,76.03,71.82,70.06,61.65
Current Portion of Long-Term Debt,23.36,22.28,20.34,24.97,16.07,73.2,13.16,92,72.4,149.87,239.02
Current Portion of Leases,-,-,-,-,-,2.62,11.62,46.72,28.61,27.2,19.76
Other Current Liabilities,42.13,48.02,28.5,53.79,20.04,21.92,21.06,19.72,19.84,15.68,19.06
Total Current Liabilities,255.61,233.14,227.47,255.57,177.58,214.61,195.59,330.87,289.63,326.87,423.08
Long-Term Debt,433.12,450.89,316.82,397.2,418.94,519.42,768.19,564,415.94,399.45,578.49
Long-Term Leases,15.07,13.64,13.66,12.13,12.37,14.54,16.54,10.6,57.09,85.54,80.15
Pension & Post-Retirement Benefits,124.79,120.15,135.87,112.64,133.15,152.03,139.25,111.96,117.19,104.89,99.11
Long-Term Deferred Tax Liabilities,27.42,29.35,33.45,35.81,0.39,-,-,-,-,-,-
Other Long-Term Liabilities,221.28,215.03,202.56,206.63,190.91,193.15,201.7,189.63,188.03,182.87,191.09
Total Liabilities,"1,077","1,062",929.83,"1,020",933.34,"1,094","1,321","1,207","1,068","1,100","1,372"
Common Stock,"1,836","1,868","1,896","1,656","1,279","1,149","1,331","1,229","1,183","1,400","1,280"
Comprehensive Income & Other,-24.04,-35.1,-61.53,-41.05,-64.23,-87.67,-77.99,-46.87,-51.94,-38.54,-34.56
Total Common Equity,"1,812","1,833","1,835","1,615","1,215","1,061","1,253","1,182","1,131","1,362","1,246"
Minority Interest,18.7,20.79,24.1,93.06,11.12,11.38,11.94,5.29,20.21,-268.24,-256.3
Shareholders' Equity,"1,831","1,854","1,859","1,708","1,226","1,072","1,265","1,188","1,151","1,093",989.36
Total Liabilities & Equity,"2,908","2,916","2,788","2,728","2,159","2,166","2,587","2,395","2,219","2,193","2,361"
Total Debt,471.55,486.8,350.82,434.31,447.38,609.78,809.51,713.32,574.04,662.06,917.42
Net Cash (Debt),-377.07,-349.84,-291.01,-138.28,-324.98,-554.2,-773.03,-469.17,-567.29,-622.27,-883.99
Net Cash Per Share,-2.94,-2.73,-2.29,-1.09,-2.55,-4.36,-6.03,-3.59,-5.75,-8.37,-11.92
Filing Date Shares Outstanding,128.43,128.43,128.06,127.2,127.2,127.2,127.2,128.39,130.9,74.6,74.38
Total Common Shares Outstanding,128.43,128.06,127.13,127.2,127.2,127.2,126.92,128.1,130.7,74.38,74.19
Working Capital,230.5,280.09,288.65,402.02,161.65,31.17,124,169.82,-7.99,-50.2,-108.18
Book Value Per Share,14.11,14.31,14.43,12.70,9.55,8.34,9.88,9.23,8.66,18.31,16.79
Tangible Book Value,"1,812","1,833","1,835","1,615","1,215","1,057","1,117","1,046",994.88,"1,225","1,109"
Tangible Book Value Per Share,14.11,14.31,14.43,12.70,9.55,8.31,8.80,8.17,7.61,16.47,14.95
Land,-,508.89,504.74,499.95,458.44,454.31,453.24,445.41,449.15,439.24,418.67
Buildings,-,315.09,310.88,300.44,282.9,279.94,304.11,287.05,310.17,304.7,291.11
Machinery,-,"2,132","1,990","1,928","1,896","1,896","1,938","1,851","1,706","1,713","1,779"
Construction In Progress,-,213.58,184.9,99.04,44.22,25.8,86.88,71.19,47.22,26.03,94.48
