Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,187.58,167.13,131.31,196.25,241.54,163.56,120.28,251.45,141.1,108.97,71.91
Revenue Growth (YoY),40.54%,27.28%,-33.09%,-18.75%,47.68%,35.98%,-52.16%,78.21%,29.48%,51.53%,11.43%
Cost of Revenue,79.79,32.5,35.05,88.91,94.28,70.92,67.26,34.2,32.25,26.79,16.81
Gross Profit,107.79,134.63,96.27,107.34,147.26,92.64,53.03,217.25,108.85,82.18,55.1
"Selling, General & Admin",89.06,78.65,52.79,70.06,46.79,39.31,41.88,37.73,28.65,27.65,25.4
Other Operating Expenses,-,-,-,-,-,0.6,-,-,-,-,-
Operating Expenses,122.09,111.61,86.44,104.3,81.01,51.55,58.75,53.53,40.77,38.3,27.77
Operating Income,-14.3,23.02,9.82,3.04,66.25,41.09,-5.72,163.73,68.08,43.89,27.33
Interest Expense,-3.65,-3.04,-0.66,-1.8,-19.62,-27.42,-35.75,-48.28,-13.46,-12.84,-11.8
Interest & Investment Income,6.67,8.06,7.71,2.05,0.89,8.08,28.43,14,2.06,0.66,-
Earnings From Equity Investments,-8.2,-12.8,-,-,-,-,-,-,-2.05,-23.13,-5.14
Other Non Operating Income (Expenses),-33.78,-31.37,-0.78,-0.01,-0.35,2.53,-4.17,-6.5,5.18,0.27,-0.04
EBT Excluding Unusual Items,-53.25,-16.13,16.1,3.28,47.17,24.28,-17.21,122.95,59.81,8.84,10.35
Merger & Restructuring Charges,-,-,-,-,-,-20.7,-,-,-,-,-
Gain (Loss) on Sale of Investments,-27.16,49.22,46.37,28.54,-5.26,-16.93,1.05,50.38,-,2.65,2.6
Gain (Loss) on Sale of Assets,-,-,2.12,-,-,17.11,812.8,-,-,-,28.19
Asset Writedown,-4.08,-30.57,-0.92,-,-,-,-,-,-,-,-
Other Unusual Items,-,-,-,4.19,30.3,-2.47,-,-,-2.58,-3.53,-5.81
Pretax Income,-84.5,2.52,63.66,36.01,72.21,1.29,796.64,173.33,57.23,7.96,35.33
Income Tax Expense,-8.63,6.55,9.84,41.23,-4.15,-5.31,167.34,30.01,44.68,10.33,-192.12
Earnings From Continuing Operations,-75.86,-4.03,53.82,-5.22,76.35,6.6,629.3,143.32,12.56,-2.37,227.44
Earnings From Discontinued Operations,-,-,-1.67,-28.14,-19.22,-9.58,-,-,-,0.73,-
Net Income to Company,-75.86,-4.03,52.15,-33.36,57.14,-2.99,629.3,143.32,12.56,-1.64,227.44
Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,2.38
Net Income,-75.86,-4.03,52.15,-33.36,57.14,-2.99,629.3,143.32,12.56,-1.64,229.82
Net Income to Common,-75.86,-4.03,52.15,-33.36,57.14,-2.99,629.3,143.32,12.56,-1.64,229.82
Net Income Growth,-,-,-,-,-,-,339.09%,1041.45%,-,-,1811.38%
Shares Outstanding (Basic),19,18,17,17,17,16,19,21,21,21,20
Shares Outstanding (Diluted),19,18,18,17,17,17,20,24,23,21,21
Shares Change (YoY),5.60%,3.00%,5.27%,-2.19%,2.50%,-14.84%,-17.91%,2.50%,12.72%,-1.87%,-0.96%
EPS (Basic),-4.00,-0.22,3.02,-1.98,3.44,-0.18,33.13,6.77,0.60,-0.08,11.61
EPS (Diluted),-4.00,-0.22,2.94,-1.98,3.32,-0.18,31.85,5.96,0.53,-0.08,10.83
EPS Growth,-,-,-,-,-,-,434.40%,1024.53%,-,-,1833.93%
Free Cash Flow,53.62,95.23,46.06,125.5,70.04,50.13,-31.89,193.17,86.41,58.88,41.63
Free Cash Flow Per Share,2.83,5.21,2.59,7.44,4.06,2.98,-1.61,8.03,3.68,2.83,1.96
Gross Margin,57.46%,80.55%,73.31%,54.70%,60.97%,56.64%,44.09%,86.40%,77.14%,75.41%,76.62%
Operating Margin,-7.62%,13.77%,7.48%,1.55%,27.43%,25.12%,-4.76%,65.11%,48.25%,40.27%,38.00%
Profit Margin,-40.44%,-2.41%,39.72%,-17.00%,23.66%,-1.82%,523.19%,57.00%,8.90%,-1.50%,319.58%
Free Cash Flow Margin,28.58%,56.98%,35.07%,63.95%,29.00%,30.65%,-26.51%,76.82%,61.24%,54.03%,57.89%
EBITDA,19.73,58.26,46.34,41.35,117.2,69.05,38.01,178.45,79.79,55.18,29.96
EBITDA Margin,10.52%,34.86%,35.29%,21.07%,48.52%,42.22%,31.60%,70.97%,56.55%,50.63%,41.66%
D&A For EBITDA,34.03,35.24,36.52,38.32,50.95,27.97,43.73,14.72,11.71,11.29,2.63
EBIT,-14.3,23.02,9.82,3.04,66.25,41.09,-5.72,163.73,68.08,43.89,27.33
EBIT Margin,-7.62%,13.77%,7.48%,1.55%,27.43%,25.12%,-4.76%,65.11%,48.25%,40.27%,38.00%
Effective Tax Rate,-,260.13%,15.46%,114.49%,-,-,21.00%,17.31%,78.06%,129.74%,-
Revenue as Reported,167.13,167.13,131.31,196.25,241.54,163.56,120.28,251.45,141.1,108.97,71.91
