Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,67.67,72.31,22.95,45.01,19.52,47.62,71.54,117.16,20.62,18.75,97.43
Short-Term Investments,177.35,183.86,147.36,166.86,321.59,363.57,998.32,656.67,181.04,122.3,102.79
Cash & Short-Term Investments,245.02,256.17,170.31,211.87,341.11,411.19,"1,070",773.83,201.66,141.05,200.22
Cash Growth,7.97%,50.41%,-19.62%,-37.89%,-17.04%,-61.57%,38.26%,283.73%,42.97%,-29.55%,19.65%
Accounts Receivable,51.56,38.38,32.92,30.42,85.45,56.85,30.39,55.85,25.6,14.7,6.17
Other Receivables,0.83,4.07,6.4,4.61,6.19,2.22,11.36,0.14,-,0.31,0.73
Receivables,52.39,42.45,39.31,35.04,91.65,59.06,41.75,55.99,29.47,18.22,11.68
Inventory,15.49,14.11,23.97,13.29,27.33,26.49,7.3,7.12,4.37,1.92,1.63
Prepaid Expenses,-,1.93,1.18,1.13,-,-,-,-,-,1.86,1.18
Restricted Cash,-,-,-,-,-,0.34,0.73,2.62,-,-,-
Other Current Assets,40.04,16.9,2.66,2.27,4.67,3.48,4,30.98,1.51,-,-
Total Current Assets,352.95,331.56,237.43,263.6,464.75,500.56,"1,124",870.54,237.02,163.05,214.71
"Property, Plant & Equipment",11.62,24.81,25.06,27.49,32.6,37.17,17.62,5.37,4.21,1.82,0.37
Long-Term Investments,10.91,10.91,49.32,3,-,-,-,-,6.44,8.35,29.73
Goodwill,101.54,105.25,103.37,105.67,105.67,189.66,95.23,86.65,85.96,72.21,12.24
Other Intangible Assets,250.13,266.65,299.61,352.64,386.8,606.31,230.54,251.25,248.11,230.53,56.9
Long-Term Accounts Receivable,193.56,185.02,62.29,-,-,-,-,-,-,-,-
Long-Term Deferred Tax Assets,0.83,0.07,0.21,8.53,35.73,24.32,25.61,46.52,84.42,123.89,189.08
Other Long-Term Assets,27.07,17.51,9.92,1.74,272.03,4.27,2.27,0.47,4.86,1.74,0.03
