Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"4,967","5,052","5,638","4,718","5,989","4,044","3,934","2,936","6,210","6,371","4,366"
Market Cap Growth,-8.42%,-10.39%,19.50%,-21.23%,48.09%,2.80%,33.97%,-52.72%,-2.52%,45.93%,44.45%
Last Close Price,44.10,42.83,46.23,35.81,40.34,26.34,24.48,17.71,36.93,39.50,36.59
PE Ratio,7.11,7.21,8.36,8.62,10.34,13.85,9.24,7.04,14.72,23.60,23.95
PS Ratio,3.25,3.41,4.13,4.10,5.14,5.18,4.10,3.15,6.80,9.37,9.38
PB Ratio,0.86,0.89,1.10,1.01,1.24,0.95,0.95,0.78,1.79,2.28,2.97
P/FCF Ratio,-,6.84,6.61,6.42,12.12,8.05,12.07,4.75,17.97,32.38,23.68
P/OCF Ratio,-,6.05,6.40,6.17,11.34,7.33,9.26,4.16,16.15,26.34,21.70
Debt / Equity Ratio,0.13,0.17,0.26,0.24,0.27,0.28,0.17,0.12,0.13,0.16,0.26
Debt / FCF Ratio,-,1.28,1.58,1.54,2.61,2.34,2.17,0.74,1.25,2.28,2.11
Return on Equity (ROE),12.35%,13.21%,14.05%,11.84%,12.71%,6.93%,10.75%,11.53%,13.48%,12.67%,15.32%
Return on Assets (ROA),1.83%,1.98%,2.23%,2.08%,2.16%,1.15%,1.85%,1.91%,2.10%,1.88%,2.19%
Earnings Yield,14.20%,14.18%,12.25%,11.96%,9.67%,7.22%,10.83%,14.21%,6.79%,4.24%,4.17%
FCF Yield,-,14.63%,15.12%,15.58%,8.25%,12.42%,8.29%,21.07%,5.56%,3.09%,4.22%
Dividend Yield,3.99%,3.69%,3.07%,3.52%,2.81%,4.09%,3.84%,4.49%,1.92%,1.59%,1.50%
Payout Ratio,28.06%,27.31%,25.94%,29.93%,25.30%,47.71%,28.44%,24.51%,21.03%,23.03%,25.83%
Buyback Yield / Dilution,0.14%,0.71%,4.86%,6.88%,-0.14%,-0.33%,-0.21%,-2.33%,-20.16%,-19.86%,-11.90%
Total Shareholder Return,4.14%,4.40%,7.93%,10.40%,2.67%,3.76%,3.63%,2.16%,-18.24%,-18.27%,-10.40%
