Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,064","3,069","2,009","1,703","2,927","2,833","1,364",510,222,254,199
Market Cap Growth,18.23%,52.74%,18.01%,-41.83%,3.30%,107.79%,167.39%,129.43%,-12.62%,27.70%,-8.38%
Enterprise Value,"2,738","2,815","1,821","1,550","2,778","2,501","1,182",457,206,248,158
Last Close Price,39.28,39.60,27.51,23.73,41.20,48.94,27.92,12.58,6.53,7.74,7.20
PE Ratio,101.89,127.14,-,-,-,-,-,-,-,-,-
Forward PE,24.93,43.53,-,-,-,-,-,-,-,-,-
PS Ratio,6.20,6.89,5.57,5.74,13.33,24.12,11.33,5.54,3.09,3.91,4.02
PB Ratio,2.47,2.61,1.92,1.58,2.67,6.73,5.70,6.39,5.97,4.27,3.89
P/TBV Ratio,7.70,9.36,7.96,8.33,15.75,7.90,7.94,7.65,9.62,5.73,5.69
P/FCF Ratio,31.20,48.10,58.65,-,-,-,-,-,-,-,-
P/OCF Ratio,28.30,40.87,45.44,225.97,-,-,-,-,-,-,-
EV/Sales Ratio,5.53,6.31,5.04,5.23,12.65,21.29,9.82,4.97,2.87,3.80,3.19
EV/EBITDA Ratio,36.80,56.03,417.68,-,-,-,-,-,-,-,-
EV/EBIT Ratio,52.62,105.12,-,-,-,-,-,-,-,-,-
EV/FCF Ratio,27.88,44.11,53.14,-,-,-,-,-,-,-,-
Debt / Equity Ratio,0.03,0.04,0.01,0.01,0.02,0.03,0.06,0.32,0.68,0.43,0.10
Debt / EBITDA Ratio,0.47,0.84,1.01,-,-,-,-,-,-,-,-
Debt / FCF Ratio,0.41,0.80,0.37,-,-,-,-,-,-,-,-
Asset Turnover,0.38,0.37,0.32,0.25,0.27,0.32,0.61,0.92,0.80,0.74,0.71
Inventory Turnover,7.13,7.18,7.42,7.96,9.37,7.04,7.16,7.58,9.56,7.03,5.76
Quick Ratio,5.74,4.33,4.19,3.56,3.41,21.92,10.23,6.98,3.88,5.91,2.89
Current Ratio,6.23,4.73,4.66,3.97,3.79,22.39,10.74,7.42,4.48,6.38,3.26
Return on Equity (ROE),2.49%,2.17%,-7.02%,-3.37%,-9.96%,-10.57%,-7.89%,-39.32%,-64.05%,-56.59%,-72.77%
Return on Assets (ROA),2.46%,1.39%,-1.26%,-2.00%,-6.16%,-5.60%,-4.78%,-13.94%,-18.46%,-20.42%,-29.86%
Return on Capital (ROIC),2.61%,1.47%,-1.33%,-2.13%,-6.54%,-5.97%,-5.28%,-16.59%,-22.48%,-25.47%,-40.80%
Return on Capital Employed (ROCE),4.00%,2.20%,-2.20%,-3.40%,-7.20%,-7.40%,-5.90%,-20.70%,-39.80%,-32.20%,-55.30%
Earnings Yield,0.99%,0.79%,-3.70%,-2.15%,-2.58%,-1.23%,-0.92%,-4.51%,-13.95%,-12.33%,-16.92%
FCF Yield,3.21%,2.08%,1.70%,-0.06%,-1.26%,-0.44%,-0.44%,-3.02%,-11.55%,-12.66%,-16.63%
Buyback Yield / Dilution,-6.32%,-7.60%,-1.53%,-5.39%,-27.52%,-15.39%,-24.63%,-9.12%,-17.67%,-10.91%,-20.13%
