Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,564","2,933","2,966","3,777","5,447","10,044","1,673","1,962","1,409",-,-
Market Cap Growth,-31.02%,-1.10%,-21.48%,-30.66%,-45.77%,500.43%,-14.73%,39.28%,-,-,-
Enterprise Value,"1,757","1,704","1,902","2,733","4,153","9,133","1,243","1,445","1,566",-,-
Last Close Price,17.37,20.38,21.46,27.81,44.60,83.76,17.42,20.66,15.64,-,-
PE Ratio,-,-,-,-,-,141.20,-,-,-,-,-
PS Ratio,-,-,8.97,34.82,111.93,29.92,62.71,15.19,-,-,-
PB Ratio,2.75,2.38,2.88,3.62,5.66,8.73,4.24,3.59,3.02,-,-
P/TBV Ratio,2.79,2.38,2.88,3.62,5.66,8.73,4.24,3.59,3.02,-,-
P/FCF Ratio,-,-,-,-,-,24.32,-,41.99,-,-,-
P/OCF Ratio,-,-,-,-,-,24.14,-,39.15,-,-,-
EV/Sales Ratio,-,-,5.76,25.20,85.35,27.21,46.60,11.19,-,-,-
EV/EBITDA Ratio,-,-,-,-,-,128.18,-,-,-,-,-
EV/EBIT Ratio,-,-,-,-,-,145.62,-,-,-,-,-
EV/FCF Ratio,-,-,-,-,-,22.11,-,30.92,-,-,-
Debt / Equity Ratio,0.05,0.04,0.05,0.06,0.07,0.06,0.18,-,-,-,-
Debt / EBITDA Ratio,-,-,-,-,-,0.87,-,-,-,-,-
Debt / FCF Ratio,-,-,-,-,-,0.17,-,-,-,-,-
Asset Turnover,-,-,0.25,0.08,0.03,0.31,0.04,0.23,-,-,-
Quick Ratio,9.43,8.16,13.31,3.70,2.29,20.58,9.16,14.16,28.71,19.63,8.83
Current Ratio,9.79,8.46,13.65,3.77,2.37,20.86,9.48,14.67,28.92,19.98,9.60
Return on Equity (ROE),-44.44%,-37.40%,-14.01%,-32.52%,-27.51%,9.21%,-41.97%,-7.16%,-24.48%,-60.34%,-
Return on Assets (ROA),-27.29%,-24.82%,-9.40%,-14.87%,-12.29%,3.63%,-21.93%,-5.05%,-14.87%,-35.51%,-
Return on Capital (ROIC),-29.24%,-26.50%,-11.25%,-20.00%,-16.46%,4.65%,-26.27%,-5.72%,-15.64%,-38.05%,-
Return on Capital Employed (ROCE),-56.70%,-39.50%,-18.30%,-31.10%,-28.80%,4.10%,-42.00%,-7.40%,-19.10%,-33.40%,-45.70%
Earnings Yield,-19.29%,-14.41%,-4.90%,-8.63%,-5.33%,0.71%,-11.81%,-1.85%,-6.26%,-,-
FCF Yield,-15.89%,-12.40%,-12.51%,-6.95%,-4.04%,4.11%,-10.13%,2.38%,-5.64%,-,-
Buyback Yield / Dilution,-9.46%,-19.73%,-9.43%,-3.30%,-7.83%,-17.88%,-3.22%,-518.96%,-132.91%,-113.70%,-
