Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Interest Income on Loans,"1,201","1,217","1,130",801.98,649.22,677.19,729.62,652.48,549.29,473.78,427.62
Interest Income on Investments,105.71,117.81,111.98,49.3,17.29,23.38,39.65,35.48,26.86,25.29,26.09
Total Interest Income,"1,306","1,335","1,242",851.28,666.51,700.57,769.27,687.96,576.15,499.07,453.71
Interest Paid on Deposits,572.26,636.27,467.96,105.3,61.8,137.03,178.1,106.87,65.84,59.42,51.89
Interest Paid on Borrowings,15.77,24.66,32.51,12.29,6.96,11.44,16.26,15.19,14.6,21.78,22.08
Total Interest Expense,588.03,660.92,500.48,117.58,68.76,148.46,194.36,122.06,80.44,81.2,73.96
Net Interest Income,718.46,674.06,741.75,733.7,597.76,552.11,574.91,565.9,495.71,417.87,379.74
Net Interest Income Growth (YoY),4.86%,-9.13%,1.10%,22.74%,8.27%,-3.96%,1.59%,14.16%,18.63%,10.04%,10.78%
Trust Income,23.52,24.06,17.51,16.44,15.06,10.53,-,-,-,-,-
Gain (Loss) on Sale of Investments,-3.63,-6.41,15.25,0.39,-0.57,0.55,5.95,-2.77,1.01,4.9,-3.35
Other Non-Interest Income,35.84,31.44,29.11,33.46,34.54,26.8,34.04,29.05,24.04,22.99,30.68
Total Non-Interest Income,63.09,55.66,68.29,56.81,54.6,42.82,44.75,31.37,30.67,33.37,32.67
Non-Interest Income Growth (YoY),-0.32%,-18.49%,20.20%,4.05%,27.52%,-4.32%,42.67%,2.28%,-8.09%,2.13%,-19.38%
Revenues Before Loan Losses,781.55,729.72,810.04,790.51,652.36,594.93,619.66,597.27,526.38,451.24,412.42
Provision for Loan Losses,69.93,37.5,25.98,14.54,-16.01,57.5,-7,-4.5,-2.5,-15.65,-11.4
Revenue,711.62,692.22,784.06,775.97,668.37,537.43,626.66,601.77,528.88,466.89,423.82
Revenue Growth (YoY),-1.68%,-11.71%,1.04%,16.10%,24.36%,-14.24%,4.14%,13.78%,13.28%,10.16%,7.54%
Salaries and Employee Benefits,163.94,160.57,146.31,134.71,125.99,117.62,121.95,116.5,103.72,92.39,85.01
Federal Deposit Insurance,10.56,14.28,23.59,8.04,7.13,9,9.62,8,10.63,9.71,9.09
Amortization of Goodwill & Intangibles,0.98,1.1,1.31,1.89,0.69,0.69,0.69,0.88,0.93,0.69,0.67
"Selling, General & Administrative",108.73,104.1,100.69,92.52,84.86,80.15,84.37,83.15,74.84,65.79,61.74
Other Non-Interest Expense,21.65,19.3,20.53,19.95,19.91,20.19,19.82,13.99,16.39,14.99,13.69
Total Non-Interest Expense,348.13,374.68,379.81,299.31,284.37,282.77,277.29,262.31,232.08,224.69,202.72
EBT Excluding Unusual Items,363.49,317.54,404.25,476.66,384,254.66,349.37,339.45,296.8,242.2,221.1
Other Unusual Items,-,-,-,-,-0.73,-0.69,-,0.34,5.63,-,-
Pretax Income,363.49,317.54,403.58,472.54,381.84,253.97,349.37,337.69,298.31,242.2,221.1
Income Tax Expense,58.68,31.56,49.46,111.89,83.54,25.11,70.23,65.8,122.27,67.1,59.99
Net Income,304.81,285.98,354.12,360.64,298.3,228.86,279.14,271.89,176.04,175.1,161.11
Net Income to Common,304.81,285.98,354.12,360.64,298.3,228.86,279.14,271.89,176.04,175.1,161.11
Net Income Growth,5.73%,-19.24%,-1.81%,20.90%,30.34%,-18.01%,2.67%,54.44%,0.54%,8.68%,16.89%
Basic Shares Outstanding,70,72,73,74,78,80,80,81,80,79,81
Diluted Shares Outstanding,70,72,73,75,79,80,80,82,81,80,81
Shares Change (YoY),-3.23%,-0.73%,-2.41%,-4.97%,-1.51%,-0.59%,-1.67%,0.74%,1.34%,-1.68%,1.48%
EPS (Basic),4.35,3.97,4.88,4.85,3.81,2.88,3.49,3.35,2.19,2.21,2.00
EPS (Diluted),4.33,3.95,4.86,4.83,3.80,2.87,3.48,3.33,2.17,2.19,1.98
EPS Growth,9.40%,-18.72%,0.62%,27.11%,32.40%,-17.53%,4.50%,53.46%,-0.91%,10.61%,15.12%
Dividend Per Share,0.340,1.360,1.360,1.360,1.300,1.240,1.240,1.100,0.900,0.780,0.640
Dividend Growth,-75.00%,-,-,4.61%,4.84%,-,12.73%,22.22%,15.38%,21.88%,88.23%
Effective Tax Rate,16.14%,9.94%,12.26%,23.68%,21.88%,9.88%,20.10%,19.49%,40.99%,27.71%,27.13%
