Period Ending,"Jun '25Jun 30, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020","Sep '19Sep 30, 2019","Sep '18Sep 30, 2018","Sep '17Sep 30, 2017","Sep '16Sep 30, 2016","Sep '15Sep 30, 2015"
Cash & Equivalents,34.55,121.22,29.22,20.46,14.57,3.13,7.84,0.41,0.06,0.44,0.09
Short-Term Investments,4.41,0.92,0.73,0.61,0.76,0.96,-,-,-,-,-
Cash & Short-Term Investments,38.96,122.14,29.94,21.07,15.33,4.09,7.84,0.41,0.06,0.44,0.09
Cash Growth,-69.31%,307.94%,42.08%,37.49%,275.08%,-47.87%,1799.05%,622.55%,-86.91%,393.07%,-24.16%
Accounts Receivable,-,-,-,0.03,0.31,0.86,0.83,0.09,0.04,0.06,-
Other Receivables,-,1.29,9.59,-,0.4,0.19,-,-,-,0.05,-
Receivables,-,62.21,9.59,0.03,0.71,1.05,0.83,0.09,0.04,0.11,-
Inventory,-,-,-,0.22,0.08,0.25,-,-,-,-,-
Prepaid Expenses,11.32,6.71,3.26,7.93,1.74,0.75,1.21,0.05,0.03,0.06,0.02
Restricted Cash,3.46,3.06,-,-,3.47,-,-,-,-,-,-
Other Current Assets,"1,156",511.32,59.38,21.53,36.41,2.12,-,-,-,-,-
Total Current Assets,"1,210",705.43,102.17,50.78,57.73,8.25,9.88,0.55,0.13,0.6,0.11
"Property, Plant & Equipment","1,334",872.96,565.08,377.33,138.29,0.16,0.15,0.09,0.13,5.35,0.66
Goodwill,128.81,8.04,8.04,-,12.05,5.9,4.92,4.92,4.92,4.92,-
Other Intangible Assets,6.96,3.04,4.6,6.49,8.22,8.03,8.49,12,15.61,22.14,0.04
Other Long-Term Assets,421.9,373.19,81.68,18.03,101.19,-,-,-,0.01,0,0
Total Assets,"3,102","1,963",761.58,452.63,317.47,22.34,23.43,17.56,20.79,33.02,0.82
Accounts Payable,23.47,82.99,39.9,24.66,6.98,4.53,0.85,0.13,0.14,0.29,0.05
Accrued Expenses,64.49,42.37,25.68,-,-,-,0.09,0.29,-,0.06,-
Short-Term Debt,-,-,-,-,-,-,-,0.45,0.08,0,-
Current Portion of Long-Term Debt,176.51,58.88,6.99,7.79,-,-,0.07,0.46,-,-,-
Current Portion of Leases,-,0.61,-,0.37,0.52,0.04,-,-,-,-,-
Current Unearned Revenue,-,-,-,-,-,0.06,0.5,-,-,-,-
Other Current Liabilities,12.35,3.03,1.49,1.22,2.56,0.75,-,0.02,0.08,0.01,0
Total Current Liabilities,276.82,187.89,74.06,34.04,10.06,5.38,1.5,1.35,0.3,0.36,0.06
Long-Term Debt,643.91,7.18,8.91,13.43,-,0.53,3.05,0.15,0.15,-,-
Long-Term Leases,-,1,0.53,0.63,1.02,-,-,-,-,-,-
Long-Term Deferred Tax Liabilities,30.77,5.76,2.42,-,-,-,-,-,-,-,-
Other Long-Term Liabilities,3.42,-,-,0.51,0.67,-,-,-,-,-,-
Total Liabilities,954.93,201.82,85.91,48.61,11.76,5.91,4.55,1.5,0.45,0.36,0.06
Common Stock,0.29,0.27,0.16,0.06,0.04,0.02,0,0,0.03,0.03,0.02
Additional Paid-In Capital,"2,413","2,239","1,009",599.9,444.07,132.81,111.94,82.99,40.24,39.07,4.64
Retained Earnings,-124.57,-479.22,-334.2,-196.05,-138.39,-116.4,-93.06,-66.94,-19.93,-6.43,-3.89
Comprehensive Income & Other,3.17,0.42,0.23,0.11,-0.01,-,-,-,-,-,-
Total Common Equity,"2,147","1,761",675.67,404.01,305.71,16.42,18.88,16.06,20.34,32.66,0.76
Shareholders' Equity,"2,147","1,761",675.67,404.01,305.72,16.43,18.89,16.06,20.34,32.66,0.76
Total Liabilities & Equity,"3,102","1,963",761.58,452.63,317.47,22.34,23.43,17.56,20.79,33.02,0.82
Total Debt,820.42,67.66,16.43,22.22,1.54,0.57,3.11,1.06,0.23,0,-
Net Cash (Debt),-781.47,54.48,13.51,-1.15,13.79,3.51,4.73,-0.65,-0.17,0.43,0.09
Net Cash Growth,-,303.23%,-,-,292.45%,-25.64%,-,-,-,390.51%,23.16%
Net Cash Per Share,-2.62,0.25,0.13,-0.03,0.47,0.37,1.13,-0.19,-0.05,0.19,0.05
Filing Date Shares Outstanding,281.08,292.56,184.75,71.71,41.45,23.96,4.78,3.97,3.34,2.78,2.04
Total Common Shares Outstanding,281.06,270.9,160.18,55.66,37.4,17.39,4.68,3.61,3.34,2.78,2.04
Working Capital,933.32,517.54,28.12,16.74,47.66,2.87,8.38,-0.8,-0.17,0.25,0.06
Book Value Per Share,7.64,6.50,4.22,7.26,8.18,0.94,4.04,4.45,6.09,11.73,0.37
Tangible Book Value,"2,011","1,750",663.02,397.53,285.44,2.5,5.48,-0.87,-0.19,5.6,0.72
Tangible Book Value Per Share,7.16,6.46,4.14,7.14,7.63,0.14,1.17,-0.24,-0.06,2.01,0.35
Land,39.3,32.19,4.14,2.98,2.88,-,-,-,-,-,-
Buildings,91.78,76.72,52.2,32.33,8.17,-,-,-,-,-,-
Machinery,"1,364","1,075",548.87,375.69,123.49,0.28,0.29,0.18,0.21,0.84,0.66
Construction In Progress,17.18,19.46,81.88,4.82,10.5,-,-,-,-,-,-
Leasehold Improvements,2.94,2,0.67,0.11,0.06,0.02,-,-,-,-,0
