Period Ending,"Nov '25Nov 14, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020","Sep '19Sep 30, 2019","Sep '18Sep 30, 2018","Sep '17Sep 30, 2017","Sep '16Sep 30, 2016","Sep '15Sep 30, 2015"
Market Capitalization,"3,081","2,364",582,150,423,217,39,210,115,101,72
Market Cap Growth,2.95%,306.54%,288.32%,-64.59%,94.86%,453.46%,-81.28%,82.01%,13.94%,40.87%,245.07%
Enterprise Value,"3,862","2,249",578,166,401,215,33,210,115,101,72
Last Close Price,10.96,9.34,3.81,3.18,11.59,12.49,8.50,59.00,34.50,36.50,35.20
Forward PE,9.50,13.31,-,-,4.91,-,-,-,-,-,-
PS Ratio,4.76,6.24,3.45,1.14,10.77,21.65,8.65,362.14,257.01,1231.83,-
PB Ratio,1.43,1.34,0.86,0.37,1.38,13.22,2.08,13.05,5.66,3.09,94.14
P/TBV Ratio,1.53,1.35,0.88,0.38,1.48,87.00,7.16,-,-,18.05,100.03
P/FCF Ratio,-,-,-,2.77,-,-,-,-,-,-,-
P/OCF Ratio,-,-,-,2.04,-,-,-,-,-,-,-
EV/Sales Ratio,6.11,5.94,3.43,1.27,10.21,21.43,7.29,363.72,256.71,1230.84,-
EV/EBITDA Ratio,6.98,10.77,-,7.29,-,-,-,-,-,-,-
EV/EBIT Ratio,14.77,41.52,-,-,-,-,-,-,-,-,-
EV/FCF Ratio,-,-,-,3.07,-,-,-,-,-,-,-
Debt / Equity Ratio,0.38,0.04,0.02,0.06,0.01,0.04,0.17,0.07,0.01,0,-
Debt / EBITDA Ratio,1.48,0.32,-,0.97,-,-,-,-,-,-,-
Debt / FCF Ratio,-,-,-,0.41,-,-,-,-,-,-,-
Asset Turnover,0.28,0.28,0.28,0.34,0.23,0.44,0.22,0.03,0.02,0.01,-
Inventory Turnover,-,-,-,278.79,32.16,-,-,-,-,-,-
Quick Ratio,0.14,0.66,0.53,0.62,1.59,0.96,5.77,0.37,0.33,1.53,1.60
Current Ratio,4.37,3.76,1.38,1.49,5.74,1.53,6.58,0.41,0.43,1.69,2.04
Return on Equity (ROE),17.09%,-11.97%,-24.77%,-11.30%,-5.11%,-132.23%,-149.49%,-258.29%,-50.93%,-15.20%,-474.08%
Return on Assets (ROA),7.14%,2.49%,-12.90%,-4.25%,-4.38%,-41.35%,-29.58%,-16.88%,-11.18%,-9.39%,-275.19%
Return on Capital (ROIC),7.46%,2.69%,-14.01%,-4.47%,-4.59%,-48.54%,-30.99%,-17.18%,-11.30%,-9.50%,-287.10%
Return on Capital Employed (ROCE),9.30%,3.10%,-18.20%,-6.30%,-3.90%,-89.30%,-44.20%,-32.00%,-23.50%,-7.80%,-456.70%
Earnings Yield,9.49%,-6.17%,-23.75%,-38.28%,-5.16%,-10.75%,-66.59%,-22.43%,-11.72%,-2.51%,-4.86%
FCF Yield,-18.54%,-12.68%,-13.53%,36.17%,-38.59%,-3.08%,-14.79%,-0.61%,-1.19%,-0.44%,-0.37%
Buyback Yield / Dilution,-55.90%,-111.14%,-141.02%,-44.74%,-208.27%,-128.63%,-21.02%,-7.26%,-42.85%,-17.16%,-79.77%
