Period Ending,"Jun '25Jun 30, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020","Sep '19Sep 30, 2019","Sep '18Sep 30, 2018","Sep '17Sep 30, 2017","Sep '16Sep 30, 2016","Sep '15Sep 30, 2015"
Revenue,631.94,378.97,168.41,131.53,39.29,10.03,4.53,0.58,0.45,0.08,-
Revenue Growth (YoY),84.66%,125.03%,28.04%,234.78%,291.75%,121.25%,683.36%,29.17%,446.09%,-,-
Cost of Revenue,302.98,165.52,93.58,41.23,5.26,7.91,3.86,0.39,0.3,0.03,-
Gross Profit,328.95,213.45,74.83,90.29,34.02,2.12,0.67,0.19,0.15,0.05,-
"Selling, General & Admin",140.84,118.09,73.61,57.81,33.44,14.43,7.01,3.13,1.65,2.01,3.42
Research & Development,-,-,-,-,-,-,1.45,1.38,1.07,0,0.05
Other Operating Expenses,-365.21,-113.42,5.81,9.64,3.5,-,-,-,-,-,-
Operating Expenses,67.49,159.27,200.14,116.5,45.92,17.26,10.37,5.37,4.97,2.59,3.48
Operating Income,261.47,54.18,-125.31,-26.21,-11.9,-15.14,-9.7,-5.18,-4.81,-2.54,-3.48
Interest Expense,-7.18,-2.46,-2.98,-1.08,-0.15,-10.76,-9.48,-0.92,-0,-0,-0.01
Interest & Investment Income,6.49,8.56,0.48,0.19,0.22,0.31,-,-,-,-,-
Other Non Operating Income (Expenses),77.01,1.48,0.01,0.31,0.01,0.02,-,-38.96,-,-,-
EBT Excluding Unusual Items,337.79,61.76,-127.8,-26.79,-11.81,-25.57,-19.18,-45.07,-4.82,-2.54,-3.49
Impairment of Goodwill,-,-,-,-12.05,-,-,-,-,-,-,-
Gain (Loss) on Sale of Investments,-1.51,-0.97,-0.26,-2.2,2.96,2.23,-,-,-,-,-
Gain (Loss) on Sale of Assets,-0.32,-5.47,-1.93,0.64,-,-0.01,-,-,-0.01,0,-
Asset Writedown,-8.13,-197.76,-,-,-,-,-6.92,-1.9,-8.55,-,-
Legal Settlements,-,-,-3.8,-,-,-,-,-,-,-,-
Other Unusual Items,-,-,2.48,0.31,0.62,-,-0.02,-0.04,-0.12,-,-
Pretax Income,327.34,-142.43,-131.3,-40.09,-8.23,-23.35,-26.12,-47.01,-13.5,-2.54,-3.49
Income Tax Expense,24.13,3.34,2.42,-,-,-,-,-,-,-,-
Earnings From Continuing Operations,303.21,-145.78,-133.72,-40.09,-8.23,-23.35,-26.12,-47.01,-13.5,-2.54,-3.49
Earnings From Discontinued Operations,-,-,-4.43,-17.24,-13.58,-,-,-,-,-,-
Net Income,303.21,-145.78,-138.15,-57.33,-21.81,-23.35,-26.12,-47.01,-13.5,-2.54,-3.49
Preferred Dividends & Other Adjustments,10.75,3.42,-,0.34,0.18,-,-,-,-,-,-
Net Income to Common,292.47,-149.2,-138.15,-57.66,-21.99,-23.35,-26.12,-47.01,-13.5,-2.54,-3.49
Shares Outstanding (Basic),274,217,103,43,29,10,4,3,3,2,2
Shares Outstanding (Diluted),298,217,103,43,29,10,4,3,3,2,2
Shares Change (YoY),55.90%,111.14%,141.02%,44.74%,208.27%,128.63%,21.02%,7.26%,42.85%,17.16%,79.77%
EPS (Basic),1.07,-0.69,-1.35,-1.35,-0.75,-2.44,-6.25,-13.62,-4.19,-1.13,-1.81
EPS (Diluted),0.98,-0.69,-1.35,-1.35,-0.75,-2.44,-6.25,-13.62,-4.19,-1.13,-1.81
Free Cash Flow,-571.11,-299.76,-78.71,54.17,-163.22,-6.68,-5.8,-1.28,-1.37,-0.45,-0.27
Free Cash Flow Per Share,-1.91,-1.38,-0.77,1.27,-5.54,-0.70,-1.39,-0.37,-0.43,-0.20,-0.14
Gross Margin,52.05%,56.33%,44.43%,68.65%,86.60%,21.15%,14.82%,32.47%,33.86%,61.89%,-
Operating Margin,41.38%,14.30%,-74.41%,-19.93%,-30.29%,-151.00%,-213.97%,-895.18%,-1074.66%,-3097.91%,-
Profit Margin,46.28%,-39.37%,-82.03%,-43.84%,-55.97%,-232.79%,-576.18%,-8123.63%,-3013.31%,-3097.07%,-
Free Cash Flow Margin,-90.37%,-79.10%,-46.74%,41.19%,-415.46%,-66.59%,-127.97%,-220.48%,-306.40%,-545.94%,-
EBITDA,553.32,208.79,-4.58,22.84,-2.56,-12.31,-7.8,-4.32,-2.56,-2.29,-3.48
EBITDA Margin,87.56%,55.09%,-2.72%,17.36%,-6.52%,-122.72%,-171.98%,-,-,-,-
D&A For EBITDA,291.86,154.61,120.73,49.05,9.34,2.84,1.9,0.85,2.25,0.25,0
EBIT,261.47,54.18,-125.31,-26.21,-11.9,-15.14,-9.7,-5.18,-4.81,-2.54,-3.48
EBIT Margin,41.38%,14.30%,-74.41%,-19.93%,-30.29%,-151.00%,-213.97%,-,-,-,-
Revenue as Reported,378.97,378.97,168.41,131.53,39.29,10.03,4.53,0.58,-,-,-
