Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Jan '21Jan 31, 2021"
Cash & Equivalents,"1,207",5.59,86.11,11.93,209.84,-
Cash & Short-Term Investments,"1,207",5.59,86.11,11.93,209.84,-
Cash Growth,4664.58%,-93.51%,621.93%,-94.32%,-,-
Accounts Receivable,0.7,0.6,0.62,0.1,-,-
Other Receivables,0.31,2.09,0.25,-,-,-
Receivables,1,2.69,0.87,0.1,-,-
Prepaid Expenses,3.97,3.39,3.67,6.05,13.82,-
Other Current Assets,207.07,156.55,64.86,29.66,-,-
Total Current Assets,"1,419",168.21,155.5,47.74,223.66,-
"Property, Plant & Equipment",661.74,493.43,250.89,196.28,5.12,0
Long-Term Investments,42.29,53.91,35.26,37.48,-,-
Other Intangible Assets,9.43,8.88,8.11,0.6,-,-
Long-Term Deferred Charges,-,-,-,-,0.17,0.17
Other Long-Term Assets,707.93,131.03,116.38,136.38,125.21,-
Total Assets,"2,841",855.45,566.14,418.46,354.17,0.17
Accounts Payable,12.46,22.7,6.53,15.87,0.24,0
Accrued Expenses,15.7,12.7,5.94,-,0.25,0.17
Short-Term Debt,-,32.33,-,-,-,-
Current Portion of Leases,7.65,6.93,4.57,3.94,-,-
Current Income Taxes Payable,12.01,14.61,15.18,18.8,-,-
Other Current Liabilities,522.43,42.52,1.57,1.72,0,-
Total Current Liabilities,570.25,131.78,33.79,40.33,0.5,0.18
Long-Term Leases,13.26,17.16,17.41,16.72,-,-
Long-Term Deferred Tax Liabilities,3.87,4.27,5.21,1.84,-,-
Other Long-Term Liabilities,447.22,20.28,18.39,16.68,0.14,-
Total Liabilities,"2,058",173.49,74.8,75.57,0.64,0.18
Common Stock,0.4,0.36,0.3,0.25,0.25,0.2
Additional Paid-In Capital,"1,052",863.02,627.82,453.85,425.44,-
Retained Earnings,-269.45,-181.41,-136.78,-111.21,-72.16,-0
Treasury Stock,-0,-0.01,-0.01,-0,-0,-
Comprehensive Income & Other,-,-,-,-,-,-0.2
Shareholders' Equity,783.2,681.95,491.34,342.89,353.53,-0
Total Liabilities & Equity,"2,841",855.45,566.14,418.46,354.17,0.17
Total Debt,"1,044",56.42,21.98,20.66,-,-
Net Cash (Debt),163.46,-50.83,64.13,-8.73,209.84,-
Net Cash Per Share,0.44,-0.16,0.25,-0.04,0.96,-
Filing Date Shares Outstanding,395.09,361.53,296.49,248.63,250.17,-
Total Common Shares Outstanding,393.6,350.78,290.96,247.55,249.28,-
Working Capital,849.23,36.43,121.71,7.41,223.16,-0.18
Book Value Per Share,1.99,1.94,1.69,1.39,1.42,-
Tangible Book Value,773.77,673.07,483.23,342.3,353.53,-0
Tangible Book Value Per Share,1.97,1.92,1.66,1.38,1.42,-
Land,58.33,49.02,-,-,-,-
Machinery,-,-,-,0.23,0.06,0
Construction In Progress,12.1,82.02,0.05,20.44,5.07,-
Leasehold Improvements,151.11,137.58,138.88,94.81,-,-
