Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,946",863,510,421,596,791,80,60,68,40,16
Market Cap Growth,-,69.31%,20.91%,-29.25%,-24.69%,887.26%,33.63%,-12.06%,70.18%,150.11%,0.10%
Enterprise Value,"2,998","1,037",662,509,590,767,101,64,84,56,27
Last Close Price,34.64,11.34,6.32,5.02,6.67,8.11,0.89,0.64,0.94,0.57,0.26
PE Ratio,-,-,15.98,6.34,13.69,11.55,3.22,1.15,6.70,2.11,-
Forward PE,7.31,18.94,4.48,3.69,4.44,-,-,-,-,-,-
PS Ratio,3.38,1.45,1.22,1.07,1.41,2.64,0.35,0.38,0.43,0.27,0.10
PB Ratio,8.97,3.87,1.62,1.36,2.19,2.53,0.41,0.34,0.81,0.52,0.30
P/TBV Ratio,8.97,3.87,1.62,1.36,2.19,2.53,0.41,0.34,0.81,0.52,0.30
P/FCF Ratio,36.30,20.71,17.66,-,11.52,20.60,7.75,-,-,4.15,1.73
P/OCF Ratio,10.33,3.88,4.08,4.37,4.54,8.75,2.22,5.32,10.43,2.99,0.76
EV/Sales Ratio,3.89,1.75,1.59,1.30,1.39,2.56,0.45,0.41,0.54,0.38,0.16
EV/EBITDA Ratio,7.32,3.99,5.11,3.97,3.12,6.40,1.92,1.44,3.70,2.42,2.64
EV/EBIT Ratio,8.51,5.26,8.17,6.08,3.85,8.07,3.58,2.26,8.51,4.37,-
EV/FCF Ratio,37.61,24.89,22.95,-,11.41,19.99,9.74,-,-,5.81,2.90
Debt / Equity Ratio,1.41,2.10,1.18,0.82,0.60,0.24,0.23,0.18,0.31,0.26,0.20
Debt / EBITDA Ratio,1.08,1.80,2.87,1.96,0.85,0.61,0.84,0.69,1.14,0.87,1.02
Debt / FCF Ratio,5.72,11.22,12.90,-,3.13,1.91,4.28,-,-,2.07,1.13
Asset Turnover,0.65,0.59,0.51,0.60,0.75,0.68,0.69,0.65,0.87,0.92,1.03
Inventory Turnover,5.13,6.55,6.49,5.37,4.57,4.45,5.23,3.85,3.40,3.08,3.69
Quick Ratio,1.33,1.32,1.54,1.06,1.40,1.28,0.81,0.69,0.40,0.33,0.28
Current Ratio,1.62,1.55,1.88,1.46,1.86,1.80,1.26,1.27,1.47,1.12,0.91
Return on Equity (ROE),-15.50%,-11.26%,10.20%,19.32%,31.68%,26.94%,13.45%,40.13%,12.63%,29.42%,-24.01%
Return on Assets (ROA),18.48%,12.29%,6.13%,7.92%,16.98%,13.40%,5.40%,7.27%,3.43%,5.03%,-0.54%
Return on Capital (ROIC),31.95%,17.88%,8.10%,10.48%,23.36%,18.97%,7.91%,11.24%,5.99%,10.06%,-1.07%
Return on Capital Employed (ROCE),31.60%,23.80%,11.20%,14.80%,34.40%,22.90%,10.70%,12.10%,8.00%,10.50%,-1.70%
Earnings Yield,-1.48%,-3.51%,6.26%,15.78%,7.30%,8.66%,31.07%,86.69%,14.94%,47.48%,-90.41%
FCF Yield,2.76%,4.83%,5.66%,-1.66%,8.68%,4.85%,12.90%,-33.74%,-3.33%,24.12%,57.66%
Dividend Yield,4.56%,7.41%,6.17%,5.58%,5.25%,10.24%,-,-,-,-,-
Payout Ratio,-,-,88.33%,30.45%,196.84%,-,-,-,-,-,-
Buyback Yield / Dilution,-4.21%,0.55%,0.06%,-0.25%,-4.79%,-4.90%,-4.53%,-23.30%,-11.26%,-17.51%,-14.14%
Total Shareholder Return,0.41%,7.96%,6.23%,5.33%,0.45%,5.34%,-4.53%,-23.30%,-11.26%,-17.51%,-14.14%
