Period Ending,"Nov '25Nov 18, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018","Mar '17Mar 31, 2017","Mar '16Mar 31, 2016"
Market Capitalization,"3,434","2,010","2,267","2,042",976,"1,124",388,488,279,220,235
Market Cap Growth,22.79%,-11.33%,11.03%,109.15%,-13.12%,189.58%,-20.47%,74.94%,27.07%,-6.40%,6.88%
Enterprise Value,"3,389","2,011","2,175","1,987",907,"1,080",360,451,242,167,169
Last Close Price,122.59,72.54,84.26,82.51,39.88,47.96,16.70,21.17,11.92,9.45,10.21
PE Ratio,143.05,86.57,26.68,160.21,210.34,-,-,-,-,-,-
Forward PE,64.30,50.06,70.22,92.71,131.49,-,-,-,-,-,-
PS Ratio,11.35,7.29,9.55,10.31,6.00,8.19,2.41,3.47,2.19,1.72,1.95
PB Ratio,11.52,7.56,9.59,14.11,7.35,9.74,5.41,4.85,2.57,1.93,1.90
P/TBV Ratio,36.81,31.20,12.14,34.89,21.99,21.67,8.87,12.84,7.94,5.70,4.50
P/FCF Ratio,61.00,38.41,56.60,75.01,35.79,41.60,54.24,124.40,380.05,-,177.94
P/OCF Ratio,58.79,36.47,47.06,59.25,34.29,39.56,36.70,67.40,40.58,63.95,32.49
PEG Ratio,-,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19
EV/Sales Ratio,11.30,7.30,9.16,10.04,5.58,7.88,2.24,3.20,1.90,1.31,1.40
EV/EBITDA Ratio,95.78,62.06,111.00,121.15,87.62,-,-,-,-,-,-
EV/EBIT Ratio,121.09,79.91,148.63,147.30,116.46,-,-,-,-,-,-
EV/FCF Ratio,60.31,38.41,54.30,73.00,33.25,39.99,50.36,114.99,329.03,-,128.25
Debt / Equity Ratio,0.07,0.18,0.10,0.12,0.08,0.12,0.21,0.00,0.00,0.00,0.00
Debt / EBITDA Ratio,0.50,1.22,0.94,0.76,0.72,-,-,-,-,-,-
Debt / FCF Ratio,0.37,0.90,0.60,0.62,0.39,0.51,2.15,0.02,0.24,-,0.25
Asset Turnover,0.69,0.70,0.80,0.87,0.81,0.80,1.01,0.88,0.79,0.72,0.66
Inventory Turnover,16.19,21.24,12.98,9.24,15.06,18.88,26.91,33.13,29.90,26.06,31.36
Quick Ratio,1.03,0.98,1.98,1.75,1.73,2.08,1.22,1.22,1.26,1.40,1.53
Current Ratio,1.22,1.11,2.11,1.97,1.91,2.18,1.35,1.37,1.43,1.59,1.77
Return on Equity (ROE),8.74%,9.25%,45.22%,10.51%,5.22%,-22.45%,-39.53%,-12.59%,-7.52%,-9.88%,-3.04%
Return on Assets (ROA),4.03%,4.01%,3.08%,3.69%,2.41%,-7.53%,-3.88%,-4.59%,-3.90%,-3.46%,-1.22%
Return on Capital (ROIC),5.37%,5.49%,4.34%,5.53%,3.57%,-12.01%,-6.57%,-7.03%,-5.69%,-5.13%,-1.80%
Return on Capital Employed (ROCE),8.50%,7.80%,5.60%,8.20%,5.50%,-16.10%,-11.60%,-11.10%,-9.00%,-8.10%,-2.70%
Earnings Yield,0.71%,1.16%,3.80%,0.71%,0.66%,-1.87%,-8.78%,-2.70%,-2.99%,-5.34%,-1.60%
FCF Yield,1.64%,2.60%,1.77%,1.33%,2.79%,2.40%,1.84%,0.80%,0.26%,-0.33%,0.56%
Payout Ratio,-,-,1.93%,12.59%,28.34%,-,-,-,-,-,-
Buyback Yield / Dilution,-1.65%,-5.27%,-3.52%,-1.75%,-8.63%,-0.97%,-0.85%,-1.03%,-0.82%,-0.59%,-0.65%
