Period Ending,"Sep '25Sep 30, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018","Mar '17Mar 31, 2017","Mar '16Mar 31, 2016"
Revenue,299.81,275.62,237.46,198.07,162.64,137.18,160.76,140.84,127.36,127.68,120.37
Revenue Growth (YoY),17.77%,16.07%,19.89%,21.78%,18.56%,-14.67%,14.14%,10.59%,-0.25%,6.08%,16.28%
Cost of Revenue,114.64,103.64,93.21,77.25,61.1,47.8,79.81,66.96,62.94,63.89,52.26
Gross Profit,185.17,171.99,144.26,120.82,101.53,89.38,80.95,73.88,64.42,63.79,68.11
"Selling, General & Admin",80.02,73.98,64.72,53.39,42.46,47.47,44.24,42.76,42.1,40.7,41.56
Research & Development,66.8,62.41,56.74,50.26,46.33,55.35,41.46,37.82,27.94,29.05,26.69
Amortization of Goodwill & Intangibles,5.59,3.86,1.37,1.74,1.65,1.96,2.54,2.57,1.88,1.39,1.24
Other Operating Expenses,0.93,2.9,2.9,0.17,1.08,2.53,-,-,-,-,-
Operating Expenses,157.18,146.83,129.62,107.33,93.74,110.13,90.82,85.65,74.55,73.55,71.69
Operating Income,27.99,25.16,14.64,13.49,7.79,-20.76,-9.86,-11.77,-10.13,-9.76,-3.58
Interest Expense,-1.34,-1.53,-,-,-0.01,-0.02,-0.01,-0.01,-0.01,-0.02,-0.03
Interest & Investment Income,1.7,3.78,5.08,2.19,0.06,0.11,0.38,0.34,0.1,0.16,0.09
Currency Exchange Gain (Loss),1.94,0.79,-0.15,0.7,0.15,-0.34,-,-0.21,0.37,-0.24,-0.07
Other Non Operating Income (Expenses),-,-,-,-,-,-,-0.18,0.02,0.02,0.02,0.56
EBT Excluding Unusual Items,30.28,28.2,19.57,16.38,7.98,-21.01,-9.67,-11.63,-9.65,-9.84,-3.03
Merger & Restructuring Charges,-2.5,-2.2,-,-0.2,-0.5,-,-0.58,-1.17,-1.8,-1.56,-0.28
Gain (Loss) on Sale of Assets,-0.01,-0.03,1.15,-0.07,-,-,-,-,-,-,-
Asset Writedown,-,-,-,-,-,-,-23.74,-,-,-,-0.09
Legal Settlements,-0.7,-0.84,-0.03,-0.35,-0.97,-0.2,0.13,-0.14,-0.15,-0.09,-0.27
Other Unusual Items,6.6,0.5,-,-,-,-,-,-,-,-,-0.09
Pretax Income,33.68,25.64,20.68,15.76,6.51,-21.21,-33.87,-12.94,-11.6,-11.49,-3.76
Income Tax Expense,9.32,2.41,-65.51,1.18,0.03,-0.21,0.2,0.22,-3.25,0.24,0.01
Net Income,24.36,23.23,86.2,14.58,6.48,-21,-34.07,-13.16,-8.35,-11.72,-3.77
Preferred Dividends & Other Adjustments,-,-,1.2,1.84,1.84,2.61,-,-,-,-,-
Net Income to Common,24.36,23.23,84.99,12.75,4.64,-23.61,-34.07,-13.16,-8.35,-11.72,-3.77
Net Income Growth,-74.52%,-73.06%,491.11%,125.10%,-,-,-,-,-,-,-
Shares Outstanding (Basic),28,28,26,25,24,23,23,23,23,23,22
Shares Outstanding (Diluted),28,28,27,26,25,23,23,23,23,23,22
Shares Change (YoY),1.65%,5.27%,3.52%,1.75%,8.63%,0.97%,0.85%,1.03%,0.82%,0.59%,0.65%
EPS (Basic),0.88,0.84,3.31,0.52,0.19,-1.01,-1.47,-0.57,-0.37,-0.52,-0.17
EPS (Diluted),0.86,0.82,3.17,0.49,0.18,-1.01,-1.47,-0.57,-0.37,-0.52,-0.17
EPS Growth,-74.85%,-74.13%,546.94%,172.22%,-,-,-,-,-,-,-
Free Cash Flow,56.19,52.35,40.06,27.23,27.28,27.02,7.16,3.92,0.73,-0.73,1.32
Free Cash Flow Per Share,1.98,1.85,1.49,1.05,1.07,1.15,0.31,0.17,0.03,-0.03,0.06
Gross Margin,61.76%,62.40%,60.75%,61.00%,62.43%,65.15%,50.36%,52.46%,50.58%,49.96%,56.58%
Operating Margin,9.34%,9.13%,6.16%,6.81%,4.79%,-15.13%,-6.14%,-8.36%,-7.95%,-7.65%,-2.98%
Profit Margin,8.12%,8.43%,35.79%,6.44%,2.85%,-17.21%,-21.19%,-9.35%,-6.56%,-9.18%,-3.13%
Free Cash Flow Margin,18.74%,18.99%,16.87%,13.74%,16.77%,19.70%,4.45%,2.79%,0.58%,-0.57%,1.09%
EBITDA,35.39,32.4,19.6,16.41,10.35,-17.97,-7.25,-9.2,-7.42,-7.36,-1.34
EBITDA Margin,11.80%,11.75%,8.25%,8.28%,6.37%,-13.10%,-4.51%,-6.53%,-5.83%,-5.76%,-1.11%
D&A For EBITDA,7.39,7.24,4.96,2.91,2.56,2.79,2.62,2.57,2.71,2.4,2.24
EBIT,27.99,25.16,14.64,13.49,7.79,-20.76,-9.86,-11.77,-10.13,-9.76,-3.58
EBIT Margin,9.34%,9.13%,6.16%,6.81%,4.79%,-15.13%,-6.14%,-8.36%,-7.95%,-7.65%,-2.98%
Effective Tax Rate,27.68%,9.40%,-,7.50%,0.51%,-,-,-,-,-,-
Revenue as Reported,299.81,275.62,237.46,198.07,162.64,137.18,160.76,140.84,127.36,127.68,120.37
Advertising Expenses,-,7.2,6.7,4.8,2.6,0.4,2.7,2,2.7,2.6,1.7
