Period Ending,"Sep '25Sep 30, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018","Mar '17Mar 31, 2017","Mar '16Mar 31, 2016"
Cash & Equivalents,59.34,73.04,144.89,112.84,96.97,99.18,46.65,40.77,39.94,49.26,60.61
Cash & Short-Term Investments,59.34,73.04,144.89,112.84,96.97,99.18,46.65,40.77,39.94,49.26,60.61
Cash Growth,8.10%,-49.59%,28.40%,16.37%,-2.23%,112.59%,14.43%,2.07%,-18.91%,-18.73%,-19.26%
Receivables,40.84,36.05,31.73,24.62,26.84,28.1,37.99,29.92,16.39,15.6,22.02
Inventory,7.71,5.17,4.59,9.77,6.94,1.18,3.89,2.04,2,2.21,2.69
Prepaid Expenses,9.72,8.06,7.33,7.42,5.42,4.8,4.87,6.27,5.59,6.46,10.18
Other Current Assets,0.35,1.2,0.4,-,-,-,-,-,-,-,-
Total Current Assets,117.96,123.53,188.94,154.66,136.17,133.25,93.41,79.01,63.92,73.52,95.5
"Property, Plant & Equipment",30.38,33.83,36.31,27.28,16.23,21,26.06,15.84,17.51,16,15.25
Goodwill,134.13,130.64,32.79,32.64,32.76,19.62,19.62,19.62,19.62,19.62,19.62
Other Intangible Assets,69.5,70.8,16.95,18.14,20.18,8.4,8.4,43.01,53.67,55.53,51.74
Long-Term Deferred Tax Assets,63.2,66.52,67.37,2.79,2.66,1.8,0.76,0.44,-,-,-
Long-Term Deferred Charges,7,5.8,4.8,3.9,3.3,2.9,3.2,3.3,-,-,-
Other Long-Term Assets,3.39,3.25,3.26,3.63,2.85,2.9,3.11,2.38,2.48,2.63,3.05
Total Assets,425.57,434.37,350.43,243.04,214.16,189.87,154.56,163.59,157.21,167.31,185.16
Accounts Payable,12.76,12.39,9.42,9.42,9.77,6.35,13.4,4.72,8.4,8.7,7.76
Accrued Expenses,15.22,20.81,17.84,11.58,8.56,9.39,7.38,13.08,7.87,7.15,11.15
Current Portion of Leases,5.45,5.66,4.28,3.27,5.05,5.03,4.74,0.02,0.12,0.12,0.12
Current Income Taxes Payable,0.43,1.51,1.68,2.13,1.99,1.8,1.65,1.04,0.77,0.75,0.82
Current Unearned Revenue,62.89,70.65,56.15,52.12,46.1,38.39,42.24,38.67,26.82,29.18,33.24
Other Current Liabilities,-,-,-,-,-,0.2,-,0.29,0.61,0.43,1.01
Total Current Liabilities,96.75,111.02,89.37,78.52,71.47,61.16,69.42,57.82,44.58,46.34,54.1
Long-Term Debt,-,24,-,-,-,-,-,-,-,-,-
Long-Term Leases,15.19,17.3,19.61,13.48,5.65,8.6,10.64,0.04,0.06,0.12,0.22
Pension & Post-Retirement Benefits,-,5.06,4.32,2.74,2.04,2.49,0.51,0.49,-,-,-
Long-Term Deferred Tax Liabilities,11.33,10.99,0.55,2.26,0.94,0.92,0.88,0.86,0.23,3.18,3.08
Other Long-Term Liabilities,5.55,0.11,0.1,1.28,1.27,1.37,1.35,3.77,3.91,4,4.29
Total Liabilities,128.82,168.48,113.95,98.27,81.36,74.54,82.81,62.97,48.78,53.64,61.68
Common Stock,10,10,10,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48
Additional Paid-In Capital,120.85,109.79,94.68,52.98,49.96,37.26,5.49,0.78,-,-,-
Retained Earnings,177.58,160.98,137.76,52.76,40.02,35.38,58.98,93.05,103.6,112.69,124.41
Treasury Stock,-1.59,-1.6,-1.79,-1.88,-2.06,-2.28,-2.4,-2.43,-2.49,-2.52,-2.6
Comprehensive Income & Other,-10.1,-13.28,-4.17,-4.03,-0.06,0.04,0.2,-0.26,-2.17,-5.99,-7.82
Total Common Equity,296.75,265.89,236.48,109.31,97.34,79.88,71.76,100.62,108.43,113.67,123.47
Shareholders' Equity,296.75,265.89,236.48,144.77,132.8,115.34,71.76,100.62,108.43,113.67,123.47
Total Liabilities & Equity,425.57,434.37,350.43,243.04,214.16,189.87,154.56,163.59,157.21,167.31,185.16
Total Debt,20.64,46.96,23.89,16.74,10.7,13.63,15.39,0.06,0.18,0.24,0.33
Net Cash (Debt),38.69,26.08,121,96.1,86.27,85.55,31.27,40.71,39.77,49.02,60.28
Net Cash Growth,-,-78.45%,25.91%,11.40%,0.84%,173.60%,-23.20%,2.38%,-18.88%,-18.68%,-19.50%
Net Cash Per Share,1.37,0.92,4.51,3.71,3.39,3.65,1.35,1.77,1.74,2.17,2.68
Filing Date Shares Outstanding,27.89,27.79,27.02,24.93,24.59,23.76,23.19,23.19,22.9,22.72,22.61
Total Common Shares Outstanding,27.89,27.79,26.94,24.92,24.58,23.88,23.4,23.2,22.99,22.72,22.61
Working Capital,21.21,12.5,99.57,76.14,64.71,72.1,23.99,21.19,19.34,27.18,41.4
Book Value Per Share,10.64,9.57,8.78,4.39,3.96,3.35,3.07,4.34,4.72,5.00,5.46
Tangible Book Value,93.12,64.44,186.73,58.53,44.41,51.85,43.74,38,35.14,38.52,52.12
Tangible Book Value Per Share,3.34,2.32,6.93,2.35,1.81,2.17,1.87,1.64,1.53,1.70,2.31
Machinery,-,17.19,16.12,12.1,14.63,14.9,14.36,11.6,9.99,7.25,7.03
Construction In Progress,-,0.29,0.12,9.72,0.02,0.21,0.05,-,-,-,-
Leasehold Improvements,-,9.02,9.04,5.66,7.12,7.1,7.01,6.98,6.82,6.32,6.24
