Period Ending,"Sep '25Sep 30, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018","Mar '17Mar 31, 2017"
Cash & Equivalents,366.18,289.3,181.59,128.56,116.39,179.89,89.94,40.62,103.62,-
Short-Term Investments,-,-,-,-,-,-,-,43.39,-,-
Cash & Short-Term Investments,366.18,289.3,181.59,128.56,116.39,179.89,89.94,84.01,103.62,-
Cash Growth,63.02%,59.31%,41.25%,10.46%,-35.30%,100.01%,7.06%,-18.92%,-,-
Accounts Receivable,"1,882","1,642","1,451","1,305","1,534",928.62,485.96,323.29,291.71,-
Other Receivables,36.01,12.92,13.45,7.02,0.34,7.47,9.69,2.31,-,-
Receivables,"1,933","1,669","1,478","1,326","1,534",936.09,495.65,325.6,291.71,-
Restricted Cash,0.53,0.5,0.72,0.96,1.06,3.98,-,-,2.68,-
Total Current Assets,"2,300","1,959","1,661","1,455","1,651","1,120",585.59,409.61,398,-
"Property, Plant & Equipment",86.65,121.64,127.32,116.97,73.83,10.23,10.96,7.18,5.36,-
Long-Term Investments,"1,537","1,228",898.1,916.43,"1,442",74.38,53.39,43.27,35.53,-
Goodwill,580.54,580.54,580.54,580.54,580.54,6.79,6.79,6.79,5.76,-
Other Intangible Assets,243.46,263.87,304.87,354.65,398.13,5.49,8.83,13.86,10.8,-
Long-Term Deferred Tax Assets,524.32,382.89,184.51,44.36,27.87,89.44,0.73,0.6,0.5,-
Other Long-Term Assets,60,50.76,32.8,28.99,14.66,14.49,14.55,10.42,9.37,-
Total Assets,"5,332","4,587","3,789","3,497","4,188","1,321",680.83,491.72,465.31,-
Accounts Payable,48.51,40.21,22.31,12.6,31.99,32.28,26.69,23.75,18.17,-
Accrued Expenses,"3,263","1,990","1,305","1,329","1,950",499.83,260.92,165.66,156.07,-
Current Portion of Leases,8.67,17.03,-,-,-,-,-,-,-,-
Other Current Liabilities,-,-,53.68,1.32,1.95,3.57,3.57,1.52,0.52,-
Total Current Liabilities,"3,337","2,048","1,381","1,343","1,984",535.68,291.18,190.92,174.76,-
Long-Term Debt,269.92,269.27,148.82,98.35,62.88,-,143.14,143.85,144.46,-
Long-Term Leases,100.79,96.49,119.74,121.22,70.97,-,-,-,-,-
Long-Term Unearned Revenue,44.8,49.1,51.5,39.7,19,13.9,8.5,8.4,7.4,-
Long-Term Deferred Tax Liabilities,-,0.42,0.16,0.35,1.53,-,-,0.4,0.5,-
Other Long-Term Liabilities,353.53,349.4,214.33,241.41,225.43,111.5,1.04,2.49,0.55,-
Total Liabilities,"4,106","2,812","1,916","1,844","2,364",661.08,443.86,346.06,327.67,-
Common Stock,0.12,0.12,0.11,0.11,0.11,0.1,216.05,128.43,121.17,-
Additional Paid-In Capital,485.92,421.06,310.29,610.57,587.24,188.75,-,-,-,-
Retained Earnings,-720.43,-242.55,13.77,160.43,229.62,60.41,-,-,-,-
Comprehensive Income & Other,0.94,0.73,0.3,0.46,0.66,0.16,0.18,0.28,0.9,-
Total Common Equity,-233.46,179.36,324.48,771.57,817.63,249.41,216.23,128.71,122.07,-
Minority Interest,"1,459","1,595","1,549",881.75,"1,007",410.29,20.74,16.95,15.58,-
Shareholders' Equity,"1,226","1,774","1,873","1,653","1,824",659.69,236.97,145.66,137.65,-
Total Liabilities & Equity,"5,332","4,587","3,789","3,497","4,188","1,321",680.83,491.72,465.31,-
Total Debt,396.88,382.79,268.56,219.58,133.84,-,143.14,143.85,144.46,-
Net Cash (Debt),-30.7,-93.49,-86.97,-91.01,-17.46,179.89,-53.21,-59.84,-40.84,-
Net Cash Per Share,-0.40,-1.31,-1.31,-1.47,-0.33,5.41,-,-,-,-
Filing Date Shares Outstanding,79.12,76.76,65.61,62.83,61.14,40.34,-,-,-,-
Total Common Shares Outstanding,79.12,76.76,65.61,62.83,61.14,38.44,-,-,-,-
Working Capital,"-1,038",-88.58,279.54,112.42,-332.52,584.27,294.41,218.69,223.24,-
Book Value Per Share,-2.95,2.34,4.95,12.28,13.37,6.49,-,-,-,-
Tangible Book Value,"-1,057",-665.06,-560.94,-163.62,-161.04,237.13,200.61,108.06,105.51,-
Tangible Book Value Per Share,-13.36,-8.66,-8.55,-2.60,-2.63,6.17,-,-,-,-
Machinery,-,12.97,11.69,11.47,9.73,8.99,8.5,9.06,6.69,-
Leasehold Improvements,-,30.29,27.57,17.25,12.31,9.88,9.15,3.47,3.07,-
