Period Ending,"Nov '25Nov 13, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018","Mar '17Mar 31, 2017"
Market Capitalization,"7,417","3,962","2,295","1,525","2,010","1,356",-,-,-,-
Market Cap Growth,67.21%,72.60%,50.51%,-24.12%,48.25%,-,-,-,-,-
Enterprise Value,"7,448","5,498","3,268","2,451","3,052","1,559",-,-,-,-
Last Close Price,62.23,51.41,34.46,22.50,29.77,31.40,-,-,-,-
PE Ratio,-,-,39.51,-,10.37,21.65,-,-,-,-
Forward PE,28.05,26.44,24.54,18.24,22.49,46.82,-,-,-,-
PS Ratio,3.10,3.37,3.23,-22.57,1.47,1.72,-,-,-,-
PB Ratio,6.05,2.23,1.23,0.92,1.10,2.06,-,-,-,-
P/TBV Ratio,-,-,-,-,-,5.72,-,-,-,-
P/FCF Ratio,391.86,66.22,16.17,10.48,9.47,9.16,-,-,-,-
P/OCF Ratio,314.49,61.02,14.21,10.09,9.38,9.08,-,-,-,-
EV/Sales Ratio,4.85,4.68,4.59,-,2.24,1.98,-,-,-,-
EV/EBITDA Ratio,-,-,13.81,43.53,6.07,4.65,-,-,-,-
EV/EBIT Ratio,-,-,17.12,236.49,6.42,4.73,-,-,-,-
EV/FCF Ratio,393.48,91.89,23.03,16.84,14.39,10.53,-,-,-,-
Debt / Equity Ratio,0.32,0.22,0.14,0.13,0.07,-,0.60,0.99,1.05,-
Debt / EBITDA Ratio,-,-,1.07,3.28,0.26,-,0.90,1.94,1.68,-
Debt / FCF Ratio,20.97,6.40,1.89,1.51,0.63,-,2.20,2.97,2.88,-
Asset Turnover,0.33,0.28,0.20,-,0.50,0.79,0.76,0.54,-,-
Quick Ratio,0.68,0.95,1.19,1.07,0.83,2.08,2.01,2.15,2.26,-
Current Ratio,0.69,0.96,1.20,1.08,0.83,2.09,2.01,2.15,2.28,-
Return on Equity (ROE),-53.41%,-9.48%,9.52%,-2.60%,38.99%,70.17%,75.68%,42.33%,-,-
Return on Assets (ROA),-15.26%,-3.74%,3.28%,0.17%,10.79%,20.59%,16.20%,8.67%,-,-
Return on Capital (ROIC),-36.57%,-7.29%,5.94%,0.34%,22.72%,39.64%,28.36%,14.52%,-,-
Return on Capital Employed (ROCE),-,-,7.90%,0.50%,21.60%,42.00%,39.00%,22.10%,28.10%,-
Earnings Yield,-8.29%,-4.53%,2.53%,-1.21%,9.65%,4.62%,-,-,-,-
FCF Yield,0.26%,1.51%,6.18%,9.54%,10.56%,10.92%,-,-,-,-
Dividend Yield,2.42%,1.81%,2.41%,3.56%,1.48%,0.22%,-,-,-,-
Payout Ratio,-,-,90.59%,-,12.31%,3.27%,-,-,108.50%,58.95%
Buyback Yield / Dilution,-12.28%,-6.91%,-7.53%,-15.46%,-61.08%,-,-,-,-,-
Total Shareholder Return,-9.84%,-5.10%,-5.12%,-11.90%,-59.61%,0.22%,-,-,-,-
