Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,382.01,912.81,713.66,415.65,98.51,79.61,92.92,113.4,76.29,51.18,28.6
Cash & Short-Term Investments,382.01,912.81,713.66,415.65,98.51,79.61,92.92,113.4,76.29,51.18,28.6
Cash Growth,-55.91%,27.91%,71.70%,321.95%,23.73%,-14.32%,-18.06%,48.64%,49.07%,78.97%,44.87%
Accounts Receivable,351.38,321.26,284.29,213.4,89.34,54,43.53,43.75,39.46,36.12,36.29
Other Receivables,31.88,-,-,-,-,-,-,-,0.8,0.7,1
Receivables,383.25,321.26,284.29,213.4,89.34,54,43.53,43.75,40.26,36.82,37.29
Inventory,62.04,68.03,64.03,35.48,35.13,35.74,29.18,33.02,26.08,17.64,15.62
Prepaid Expenses,-,15.41,16.44,12.89,10.11,9.18,-,-,-,-,-
Restricted Cash,-,-,-,-,-,-,-,0.1,0.1,0.1,0.1
Other Current Assets,97.79,9.13,7.41,0.21,2.71,5.69,7.28,5.14,5.12,5.08,8.4
Total Current Assets,925.09,"1,327","1,086",677.62,235.79,184.23,172.91,195.42,147.85,110.82,90.01
"Property, Plant & Equipment",164.07,212.88,192.02,141.2,125.56,138.61,117.43,107.89,93,94.19,95.65
Long-Term Investments,46.47,39.49,-,-,-,-,-,-,-,-,-
Goodwill,240.33,61.19,61.19,61.19,61.19,58.63,15.71,15.71,15.71,15.71,15.71
Other Intangible Assets,739.26,161.76,151.99,315.29,348.51,376.01,7.34,9.13,11.8,15.12,20.5
Long-Term Deferred Tax Assets,107.45,170.23,150.2,110.65,62.76,70.15,71.83,81.45,87.01,0.07,-
Other Long-Term Assets,53.72,8.15,9.94,15.32,29.97,42.19,20.69,30.23,28.49,20,20.51
Total Assets,"2,276","1,980","1,651","1,321",863.78,869.82,405.92,439.83,383.86,255.9,242.38
Accounts Payable,66.3,34.56,41.19,20.56,20.79,16.28,18.61,17.96,17.46,18.94,11.66
Accrued Expenses,228.77,193,133.43,101.56,52.71,38.65,37.17,32.05,26.54,21.25,18.5
Current Portion of Long-Term Debt,-,-,-,-,11.61,22.36,10,2.75,2.75,3.65,3.65
Current Portion of Leases,0.87,2.84,2.73,2.53,1.99,1.41,0.34,-,-,-,-
Other Current Liabilities,49.5,10.12,10,123.05,3.4,1.79,-,-,-,-,1.72
Total Current Liabilities,346.84,240.53,187.35,247.7,90.5,80.5,66.11,52.76,46.75,43.84,35.52
Long-Term Debt,567.28,564.61,561.05,557.48,162.82,197.45,183.74,263.71,265.39,274.46,349.86
Long-Term Leases,51.29,53.86,55.08,25.67,16.85,17.75,1,-,-,-,-
Other Long-Term Liabilities,136.71,33.34,31.78,43.26,129.18,59.91,40.47,52.37,48.42,44.12,42.29
Total Liabilities,"1,157",892.33,835.26,874.11,399.35,355.62,291.32,368.83,360.57,362.41,427.67
Common Stock,0.72,0.71,0.7,0.69,0.68,0.67,0.39,0.39,0.38,0.37,0.3
Additional Paid-In Capital,871.19,817.97,757.73,715.88,685.47,665.53,251.64,239.87,232.96,226.46,175.55
Retained Earnings,625.42,445.95,133.5,-193.16,-221.23,-149.95,-136.47,-168.14,-209.01,-332.4,-359.16
Treasury Stock,-376.46,-175,-75,-75,-,-,-,-,-,-,-
Comprehensive Income & Other,-1.67,-1.62,-1.04,-1.26,-0.49,-2.05,-0.96,-1.11,-1.03,-0.95,-1.99
Shareholders' Equity,"1,119","1,088",815.89,447.15,464.44,514.21,114.6,71,23.29,-106.52,-185.29
Total Liabilities & Equity,"2,276","1,980","1,651","1,321",863.78,869.82,405.92,439.83,383.86,255.9,242.38
Total Debt,619.44,621.31,618.85,585.69,193.27,238.97,195.08,266.46,268.14,278.11,353.51
Net Cash (Debt),-237.43,291.51,94.81,-170.03,-94.76,-159.36,-102.16,-153.06,-191.85,-226.93,-324.91
Net Cash Growth,-,207.48%,-,-,-,-,-,-,-,-,-
Net Cash Per Share,-3.40,4.07,1.35,-2.41,-1.40,-2.94,-2.55,-3.87,-4.93,-6.95,-13.29
Filing Date Shares Outstanding,66.31,68.48,68.53,67.54,67.75,66.97,39.25,38.55,37.86,36.84,31.48
Total Common Shares Outstanding,66.3,68.45,68.52,67.51,67.74,66.88,39.25,38.47,37.77,36.76,30.36
Working Capital,578.25,"1,086",898.47,429.92,145.29,103.72,106.8,142.66,101.1,66.98,54.48
Book Value Per Share,16.88,15.89,11.91,6.62,6.86,7.69,2.92,1.85,0.62,-2.90,-6.10
Tangible Book Value,139.61,865.06,602.72,70.67,54.74,79.56,91.55,46.16,-4.22,-137.35,-221.5
Tangible Book Value Per Share,2.11,12.64,8.80,1.05,0.81,1.19,2.33,1.20,-0.11,-3.74,-7.29
Land,3.02,9.48,9.48,13.45,13.45,13.45,13.45,13.45,13.45,14.95,14.95
Buildings,49.99,85.52,73.44,76.33,73.56,70.38,75.65,64.44,76.06,70.63,68.94
Machinery,104.33,114.36,102.58,92.6,83.61,77.85,87.76,69.3,71.87,65.41,60.79
Construction In Progress,22.6,27.5,40.96,14.05,10.69,11.25,10.55,24.17,7.62,7.22,9.1
