Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Operating Revenue,695.09,677.62,653.4,599.94,470.11,319.26,225.49
Other Revenue,22.95,21.15,21.97,20.81,20.03,18.26,16.65
Revenue,718.04,698.77,675.37,620.75,490.14,337.53,242.14
Revenue Growth (YoY),22.13%,3.46%,8.80%,26.65%,45.22%,39.39%,-
Cost of Revenue,232.75,228.38,231.01,217.38,162.23,115.02,73.1
Gross Profit,485.29,470.39,444.36,403.37,327.91,222.51,169.04
"Selling, General & Admin",264.27,261.13,255.2,250.34,195.76,121.81,144.23
Research & Development,80.85,79.67,75.61,71.62,49.51,30.39,26.12
Operating Expenses,423.31,429.63,435.01,432.77,346.7,229.04,223.3
Operating Income,61.98,40.76,9.35,-29.39,-18.79,-6.54,-54.26
Interest Expense,-32.34,-35.56,-46.41,-33.9,-36.11,-41.55,-40
EBT Excluding Unusual Items,29.64,5.2,-37.06,-63.3,-54.9,-48.08,-94.26
Merger & Restructuring Charges,-,-,-,-,-8.4,-15.5,-
Impairment of Goodwill,-28.07,-34.47,-,-,-,-,-
Gain (Loss) on Sale of Assets,0.04,-4.84,-5.13,-,-,-,-
Asset Writedown,-1.3,-1.2,-1.8,-1.2,-,-,-
Other Unusual Items,-,-,-,-,-28.71,-,-15.52
Pretax Income,0.31,-35.31,-43.98,-64.5,-92.02,-63.58,-109.78
Income Tax Expense,1.22,5.78,1.64,-4.68,-10.05,-3.63,-16.03
Net Income,-0.68,-41.09,-45.62,-59.82,-81.97,-59.95,-93.75
Preferred Dividends & Other Adjustments,-,-,-,-,15.11,67.81,289.34
Net Income to Common,-0.68,-41.09,-45.62,-59.82,-97.07,-127.77,-383.08
Shares Outstanding (Basic),183,185,189,195,118,42,27
Shares Outstanding (Diluted),183,185,189,195,118,42,27
Shares Change (YoY),-1.87%,-2.14%,-2.92%,65.22%,182.50%,53.85%,-
EPS (Basic),-0.00,-0.22,-0.24,-0.31,-0.82,-3.06,-14.13
EPS (Diluted),-0.00,-0.22,-0.24,-0.31,-0.82,-3.06,-14.13
Free Cash Flow,136.41,111.7,101.57,62.24,34.38,53.01,-8.28
Free Cash Flow Per Share,0.75,0.60,0.54,0.32,0.29,1.27,-0.30
Gross Margin,67.58%,67.32%,65.80%,64.98%,66.90%,65.92%,69.81%
Operating Margin,8.63%,5.83%,1.39%,-4.74%,-3.83%,-1.94%,-22.41%
Profit Margin,-0.09%,-5.88%,-6.75%,-9.64%,-19.80%,-37.85%,-158.20%
Free Cash Flow Margin,19.00%,15.98%,15.04%,10.03%,7.01%,15.71%,-3.42%
EBITDA,126.64,119.29,105.15,75.71,78.95,67.91,-2.51
EBITDA Margin,17.64%,17.07%,15.57%,12.20%,16.11%,20.12%,-1.03%
D&A For EBITDA,64.65,78.52,95.8,105.1,97.74,74.44,51.75
EBIT,61.98,40.76,9.35,-29.39,-18.79,-6.54,-54.26
EBIT Margin,8.63%,5.83%,1.39%,-4.74%,-3.83%,-1.94%,-22.41%
Revenue as Reported,718.04,698.77,675.37,620.75,490.14,337.53,242.14
Advertising Expenses,-,24.4,23.7,21.4,19.3,8.7,5
