Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"46,917","50,073","48,712","57,342","42,078","23,290","33,669","34,055","26,223","20,182","23,152"
Revenue Growth (YoY),-5.32%,2.79%,-15.05%,36.27%,80.67%,-30.83%,-1.13%,29.87%,29.93%,-12.83%,-46.73%
Cost of Revenue,"44,015","47,328","45,956","54,491","39,569","21,507","30,755","31,056","24,168","18,415","21,180"
Gross Profit,"2,902","2,745","2,756","2,851","2,509","1,783","2,914","2,999","2,055","1,767","1,972"
"Selling, General & Admin",391,387,356,330,298,276,302,320,274,282,281
Operating Expenses,"1,438","1,413","1,407","1,298","1,075",932,906,841,793,797,714
Operating Income,"1,464","1,332","1,349","1,553","1,434",851,"2,008","2,158","1,262",970,"1,258"
Interest Expense,-425,-382,-386,-405,-425,-436,-425,-431,-510,-480,-443
Earnings From Equity Investments,446,452,369,403,274,355,388,375,290,195,183
Currency Exchange Gain (Loss),-10,-10,15,-,-,-,15,-,-,-,-
Other Non Operating Income (Expenses),18,27,87,-219,19,39,9,-7,9,33,-7
EBT Excluding Unusual Items,"1,493","1,419","1,434","1,332","1,302",809,"1,995","2,095","1,051",718,991
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-6,-,-
Impairment of Goodwill,-,-,-,-,-,"-2,515",-,-,-,-,-
Gain (Loss) on Sale of Investments,46,15,28,346,2,-182,271,200,-,-,-
Gain (Loss) on Sale of Assets,66,-,140,61,-,-178,-16,114,-109,20,-
Asset Writedown,-160,-160,12,-330,-592,-541,-12,-,-,-,-
Other Unusual Items,-,-,-,-,-,-,-,-,-40,-,-
Pretax Income,"1,445","1,274","1,614","1,409",712,"-2,607","2,238","2,409",896,738,991
Income Tax Expense,174,204,189,246,112,-167,176,302,937,78,182
Earnings From Continuing Operations,"1,271","1,070","1,425","1,163",600,"-2,440","2,062","2,107",-41,660,809
Minority Interest in Earnings,"-1,209",-967,"-1,227",-995,-540,"1,872","-1,731","-1,773",-690,-566,-691
Net Income,187,103,198,168,60,-568,331,334,-731,94,118
Net Income to Common,187,103,198,168,60,-568,331,334,-731,94,118
Net Income Growth,12.65%,-47.98%,17.86%,180.00%,-,-,-0.90%,-,-,-20.34%,68.57%
Shares Outstanding (Basic),198,197,195,194,194,186,168,158,145,99,83
Shares Outstanding (Diluted),224,197,195,194,194,246,170,282,145,99,83
Shares Change (YoY),13.99%,1.03%,0.52%,-,-21.14%,44.71%,-39.72%,94.48%,46.47%,19.28%,-65.98%
EPS (Basic),0.95,0.52,1.02,0.87,0.31,-3.05,1.97,2.11,-5.04,0.95,1.42
EPS (Diluted),0.95,0.52,1.02,0.87,0.31,-3.08,1.96,2.11,-5.04,0.94,1.41
EPS Growth,11.94%,-48.51%,17.25%,180.00%,-,-,-7.32%,-,-,-33.33%,12.80%
Free Cash Flow,"2,084","1,844","2,140","1,865","1,618",643,"1,275",970,"1,431",-820,-732
Free Cash Flow Per Share,9.30,9.36,10.97,9.61,8.34,2.61,7.50,3.44,9.87,-8.28,-8.82
Dividend Per Share,1.520,1.333,1.120,0.920,0.720,0.720,1.440,1.200,1.700,2.330,2.426
Dividend Growth,19.68%,18.97%,21.74%,27.78%,-,-50.00%,20.00%,-29.41%,-27.04%,-3.96%,21.84%
Gross Margin,6.19%,5.48%,5.66%,4.97%,5.96%,7.66%,8.65%,8.81%,7.84%,8.76%,8.52%
Operating Margin,3.12%,2.66%,2.77%,2.71%,3.41%,3.65%,5.96%,6.34%,4.81%,4.81%,5.43%
Profit Margin,0.40%,0.21%,0.41%,0.29%,0.14%,-2.44%,0.98%,0.98%,-2.79%,0.47%,0.51%
Free Cash Flow Margin,4.44%,3.68%,4.39%,3.25%,3.84%,2.76%,3.79%,2.85%,5.46%,-4.06%,-3.16%
EBITDA,"2,511","2,358","2,400","2,521","2,211","1,507","2,612","2,679","1,781","1,485","1,689"
EBITDA Margin,5.35%,4.71%,4.93%,4.40%,5.25%,6.47%,7.76%,7.87%,6.79%,7.36%,7.29%
D&A For EBITDA,"1,047","1,026","1,051",968,777,656,604,521,519,515,431
EBIT,"1,464","1,332","1,349","1,553","1,434",851,"2,008","2,158","1,262",970,"1,258"
EBIT Margin,3.12%,2.66%,2.77%,2.71%,3.41%,3.65%,5.96%,6.34%,4.81%,4.81%,5.43%
Effective Tax Rate,12.04%,16.01%,11.71%,17.46%,15.73%,-,7.86%,12.54%,104.58%,10.57%,18.37%
Revenue as Reported,"46,917","50,073","48,712","57,342","42,078","23,290","33,669","34,055","26,223","20,182","23,152"
