Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"1,181",349,453,404,452,25,47,69,40,50,30
Trading Asset Securities,29,-,51,75,-,-,-,-,-,-,-
Cash & Short-Term Investments,"1,210",349,504,479,452,25,47,69,40,50,30
Cash Growth,88.77%,-30.75%,5.22%,5.97%,1708.00%,-46.81%,-31.88%,72.50%,-20.00%,66.67%,-92.57%
Accounts Receivable,"3,623","3,901","3,760","3,907","4,695","2,777","3,721","2,426","3,000","2,240","1,647"
Other Receivables,-,-,-,-,10,5,35,28,29,39,138
Receivables,"3,623","3,901","3,760","3,907","4,705","2,782","3,756","2,454","3,029","2,279","1,785"
Inventory,184,439,548,729,783,647,604,640,713,"1,343",916
Restricted Cash,-,-,-,-,-,38,37,-,-,-,-
Other Current Assets,560,87,104,243,200,176,170,373,221,603,241
Total Current Assets,"5,577","4,776","4,916","5,358","6,140","3,668","4,614","3,536","4,003","4,275","2,972"
"Property, Plant & Equipment","14,327","15,756","16,095","15,602","15,302","14,998","15,833","14,802","14,105","13,890","13,493"
Long-Term Investments,"2,873","2,811","2,824","3,129","3,870","3,810","3,683","2,702","2,756","2,343","2,027"
Goodwill,-,-,-,-,-,-,"2,540","2,521","2,566","2,344","2,405"
Other Intangible Assets,"1,570","1,677","1,875","2,145","1,960",805,706,772,844,242,283
Long-Term Deferred Tax Assets,"1,157","1,220","1,239","1,313","1,362","1,444","1,280","1,304","1,386","1,876","1,835"
Other Long-Term Assets,"3,748","1,516","1,648","1,660","1,344","1,226","1,313","1,193","1,093","1,133","1,127"
Total Assets,"29,252","27,756","28,597","29,207","29,978","25,951","29,969","26,830","26,753","26,103","24,142"
Accounts Payable,"3,584","3,881","3,845","4,045","4,811","2,425","3,687","2,705","3,324","2,438","1,939"
Accrued Expenses,24,15,10,8,11,8,60,62,87,86,101
Short-Term Debt,"1,010",394,433,"1,149",60,820,486,66,737,"1,715",999
Current Portion of Long-Term Debt,-,-,-,-,750,-,44,1,-,23,17
Current Portion of Leases,-,77,82,81,89,89,112,-,-,-,-
Current Unearned Revenue,57,83,77,-,63,361,155,-,-,-,-
Other Current Liabilities,684,474,558,610,450,552,475,624,385,404,353
Total Current Liabilities,"5,359","4,924","5,005","5,893","6,234","4,255","5,019","3,458","4,533","4,666","3,409"
Long-Term Debt,"8,371","7,141","7,242","7,237","8,339","9,312","9,138","9,151","9,194","10,151","10,965"
Long-Term Leases,256,385,337,358,398,387,436,-,-,-,-
Long-Term Unearned Revenue,-,-,-,-,-,-,-,100,-,-,-
Long-Term Deferred Tax Liabilities,-,464,535,545,477,416,481,501,409,362,363
Other Long-Term Liabilities,"1,120",468,448,347,353,377,376,265,237,185,171
Total Liabilities,"15,106","13,382","13,567","14,380","15,801","14,747","15,450","13,475","14,373","15,364","14,908"
Common Stock,"1,345","1,351","1,548","1,524","1,533","1,464","2,155","1,846","1,695","1,737","1,762"
Total Common Equity,"1,345","1,351","1,548","1,524","1,533","1,464","2,155","1,846","1,695","1,737","1,762"
Minority Interest,"12,801","12,965","13,424","13,114","12,644","9,726","12,330","11,473","10,663","8,970","7,472"
Shareholders' Equity,"14,146","14,374","15,030","14,827","14,177","11,204","14,519","13,355","12,380","10,739","9,234"
Total Liabilities & Equity,"29,252","27,756","28,597","29,207","29,978","25,951","29,969","26,830","26,753","26,103","24,142"
Total Debt,"9,637","7,997","8,094","8,825","9,636","10,608","10,216","9,218","9,931","11,889","11,981"
Net Cash (Debt),"-8,427","-7,648","-7,590","-8,346","-9,184","-10,583","-10,169","-9,149","-9,891","-11,839","-11,951"
Net Cash Per Share,-37.62,-38.82,-38.92,-43.02,-47.34,-43.02,-59.82,-32.44,-68.21,-119.59,-143.99
Filing Date Shares Outstanding,197.89,197.74,197.12,194.41,194.19,194.1,182.14,159.49,157.01,103.27,91.7
Total Common Shares Outstanding,197.89,197.47,196.42,194.41,194.19,194.05,182.14,159.49,156.11,101.21,86.1
Working Capital,218,-148,-89,-535,-94,-587,-405,78,-530,-391,-437
Book Value Per Share,6.80,6.84,7.88,7.84,7.89,7.54,11.83,11.57,10.86,17.16,20.46
Tangible Book Value,-225,-326,-327,-621,-427,659,"-1,091","-1,447","-1,715",-849,-926
Tangible Book Value Per Share,-1.14,-1.65,-1.66,-3.19,-2.20,3.40,-5.99,-9.07,-10.99,-8.39,-10.76
Land,-,336,341,326,330,342,427,422,440,434,442
Machinery,-,-,-,-,502,524,486,410,414,408,392
Construction In Progress,-,297,257,201,248,272,518,795,610,826,"1,217"
