Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"4,143","3,629","3,133","2,417","1,969","1,587","3,449","3,199","3,399","3,495","2,147"
Market Cap Growth,18.92%,15.85%,29.62%,22.77%,24.06%,-53.99%,7.81%,-5.88%,-2.75%,62.77%,-68.45%
Enterprise Value,"12,565","24,516","24,380","23,226","21,027","22,317","25,897","23,718","24,790","23,808","21,118"
Last Close Price,17.76,16.98,13.74,9.95,7.55,5.85,11.99,11.95,12.38,18.24,12.11
PE Ratio,18.79,35.24,15.82,14.39,32.81,-,10.42,9.58,-,37.18,18.20
Forward PE,10.52,14.23,18.09,11.12,12.53,8.06,9.50,11.74,16.29,8.91,15.63
PS Ratio,0.07,0.07,0.06,0.04,0.05,0.07,0.10,0.09,0.13,0.17,0.09
PB Ratio,2.61,0.25,0.21,0.16,0.14,0.14,0.24,0.24,0.28,0.33,0.23
P/TBV Ratio,-,-,-,-,-,2.41,-,-,-,-,-
P/FCF Ratio,1.99,1.97,1.46,1.30,1.22,2.47,2.71,3.30,2.38,-,-
P/OCF Ratio,1.44,1.46,1.15,1.00,0.99,1.05,1.38,1.23,1.36,4.87,1.59
PEG Ratio,0.15,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.14,4.45,1.78
EV/Sales Ratio,0.27,0.49,0.50,0.41,0.50,0.96,0.77,0.70,0.95,1.18,0.91
EV/EBITDA Ratio,5.00,10.40,10.16,9.21,9.51,14.81,9.91,8.85,13.92,16.03,12.50
EV/EBIT Ratio,8.58,18.41,18.07,14.96,14.66,26.22,12.90,10.99,19.64,24.54,16.79
EV/FCF Ratio,6.03,13.30,11.39,12.45,13.00,34.71,20.31,24.45,17.32,-,-
Debt / Equity Ratio,0.68,0.56,0.54,0.60,0.68,0.95,0.70,0.69,0.80,1.11,1.30
Debt / EBITDA Ratio,3.84,3.39,3.37,3.50,4.36,7.04,3.63,3.44,5.58,8.01,7.09
Debt / FCF Ratio,4.62,4.34,3.78,4.73,5.96,16.50,8.01,9.50,6.94,-,-
Asset Turnover,1.63,1.78,1.69,1.94,1.51,0.83,1.19,1.27,0.99,0.80,0.96
Inventory Turnover,141.98,95.90,71.97,72.08,55.34,34.38,49.45,45.91,23.51,16.30,23.44
Quick Ratio,0.90,0.86,0.85,0.74,0.83,0.66,0.76,0.73,0.68,0.50,0.53
Current Ratio,1.04,0.97,0.98,0.91,0.99,0.86,0.92,1.02,0.88,0.92,0.87
Return on Equity (ROE),8.80%,7.28%,9.55%,8.02%,4.73%,-18.97%,14.79%,16.38%,-0.36%,6.61%,8.69%
Return on Assets (ROA),3.18%,2.96%,2.92%,3.28%,3.21%,1.90%,4.42%,5.03%,2.99%,2.41%,3.27%
Return on Capital (ROIC),3.91%,3.66%,3.60%,4.09%,3.93%,2.28%,5.31%,6.01%,3.51%,2.77%,3.82%
Return on Capital Employed (ROCE),6.10%,5.80%,5.70%,6.70%,6.00%,3.90%,8.00%,9.20%,5.70%,4.50%,6.10%
Earnings Yield,4.52%,2.84%,6.32%,6.95%,3.05%,-35.80%,9.60%,10.44%,-21.51%,2.69%,5.50%
FCF Yield,50.36%,50.81%,68.31%,77.16%,82.19%,40.52%,36.97%,30.32%,42.10%,-23.46%,-34.09%
Dividend Yield,8.55%,7.85%,8.15%,9.25%,9.54%,12.30%,12.01%,10.04%,13.73%,12.77%,20.03%
Payout Ratio,160.74%,243.69%,105.56%,96.43%,233.33%,-,69.79%,56.59%,-,248.94%,165.25%
Buyback Yield / Dilution,-13.99%,-1.03%,-0.52%,-,21.14%,-44.71%,39.72%,-94.48%,-46.47%,-19.28%,65.98%
Total Shareholder Return,-5.44%,6.82%,7.64%,9.25%,30.68%,-32.41%,51.73%,-84.44%,-32.74%,-6.50%,86.01%
