Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"1,674","1,816","1,410","1,726",910.6,"1,327","8,142","1,481","1,672","1,077",982.1
Short-Term Investments,-,335.6,"1,991","2,622","2,270","1,600",-,-,-,-,-
Trading Asset Securities,143.5,253.8,235.3,381.4,214.9,148.8,270.8,372.7,477,337.5,275.4
Cash & Short-Term Investments,"1,818","2,406","3,636","4,729","3,395","3,076","8,413","1,853","2,149","1,414","1,258"
Cash Growth,-49.79%,-33.84%,-23.12%,39.30%,10.37%,-63.44%,353.98%,-13.78%,52.00%,12.45%,-21.51%
Accounts Receivable,640.3,505.8,447.1,865.6,969.8,"1,106","1,424","1,367","1,438","3,722","1,468"
Other Receivables,-,7.2,34.6,18.5,5.1,7.1,-,-,-,-,-
Receivables,640.3,513,481.7,884.1,974.9,"1,113","1,424","1,367","1,438","3,722","1,468"
Prepaid Expenses,-,-,-,-,-,-,-,-,133.1,122.8,144.2
Other Current Assets,320.2,381.6,"1,524",684.1,"1,571","1,613",736,921.7,611.3,"1,793",488
Total Current Assets,"2,778","3,300","5,642","6,297","5,941","5,802","10,573","4,141","4,332","7,052","3,357"
"Property, Plant & Equipment","5,935","5,037","5,067","8,229","8,309","9,067","14,356","13,879","14,149","17,249","21,684"
Long-Term Investments,"11,141","12,057","13,655","15,674","19,271","5,192","4,870","5,858","6,075","6,958","2,555"
Goodwill,"3,615","3,153","3,308","9,316","9,523","9,966","14,052","13,716","14,354","17,064","27,020"
Other Intangible Assets,"1,402","1,290",673.6,"2,342","2,343","2,880",572.1,"1,031","1,609","2,423","7,783"
Long-Term Deferred Tax Assets,-,-,-,233.8,423.4,565.1,"2,457","2,488","3,133","2,826","2,343"
Other Long-Term Assets,523.4,602.5,"13,743",802.7,"1,107","25,621","2,165","12,040","13,946","15,112","2,817"
Total Assets,"25,395","25,440","42,088","42,895","46,917","59,093","49,046","53,154","57,597","68,684","67,559"
Accounts Payable,404.2,371.2,407.5,610.1,613.4,579.1,963.9,874.3,926,954.5,"1,050"
Accrued Expenses,952.8,856.4,886,"1,325","1,290","1,345","2,256","2,104","1,977","2,306","2,806"
Current Portion of Long-Term Debt,750.8,"1,034",591.9,"1,086","1,059","1,257","4,266","3,864","3,878","2,863","2,843"
Current Portion of Leases,96.3,85.1,69.8,145.2,138.7,176.6,-,78.2,-,-,-
Current Income Taxes Payable,192.2,272.5,263.5,235.6,236.6,252.7,307,-,-,431.8,483.5
Current Unearned Revenue,285.4,285.3,169.8,264.4,274.7,426.9,834.9,847.1,936.6,"1,059","1,394"
Other Current Liabilities,225.3,229.8,"1,944",254.3,472,473.2,23.9,"2,539","2,249","2,108",582.2
Total Current Liabilities,"2,907","3,134","4,333","3,921","4,085","4,511","8,652","10,306","9,966","9,723","9,158"
Long-Term Debt,"7,944","8,216","8,862","12,976","14,161","14,676","24,881","26,689","30,535","35,886","45,420"
Long-Term Leases,759.7,702.1,706,"2,082","1,710","1,805","1,162",543.1,-,-,-
Long-Term Unearned Revenue,5.2,4.2,2.7,8.1,11.8,10.4,32.2,30.8,62.9,-,-
Pension & Post-Retirement Benefits,-,-,-,-,-,-,-,-,-,53.6,95.7
Long-Term Deferred Tax Liabilities,-,405,299.4,533.8,544.5,653.3,246.4,232.9,225.5,669.9,"1,786"
Other Long-Term Liabilities,816.6,433.8,"8,877",800.3,806.8,"24,139",874.7,"11,203","10,415","7,620",925.7
Total Liabilities,"12,433","12,895","23,081","20,322","21,319","45,794","35,848","49,005","51,204","53,952","57,385"
Common Stock,3.3,3.4,3.8,4.6,5.3,5.8,6.3,7.4,8.1,10.6,8.9
Additional Paid-In Capital,719.8,777,"1,323","2,301","3,893","5,272","6,137","9,215","11,359","17,578","14,908"
Retained Earnings,"8,022","12,243","15,566","19,618","18,145","4,692","6,350","-5,172","-6,218","-3,455","-5,160"
Treasury Stock,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.3,-0.4
Comprehensive Income & Other,"3,999",-657,"2,170",513.4,"3,892","3,693","1,113",631.8,"1,656",-372.4,895.9
Total Common Equity,"12,744","12,366","19,063","22,436","25,935","13,663","13,606","4,681","6,805","13,761","10,652"
Minority Interest,218.3,178.4,-55.2,137,-336.9,-364.2,-407.6,-533.1,-412,970.7,-478.1
Shareholders' Equity,"12,962","12,544","19,007","22,573","25,598","13,298","13,199","4,148","6,393","14,732","10,174"
