Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"5,295","7,147","6,862","5,692","2,488",741,-,-,-,-,-
Market Cap Growth,-32.26%,4.16%,20.55%,128.76%,235.71%,-,-,-,-,-,-
Enterprise Value,"6,175","8,030","7,028","5,466","3,276","1,680",-,-,-,-,-
Last Close Price,93.11,112.43,149.86,113.75,84.81,23.50,-,-,-,-,-
PE Ratio,31.49,8.46,6.72,3.07,7.79,-,-,-,-,-,-
Forward PE,14.59,9.38,6.35,4.70,5.68,3.22,-,-,-,-,-
PS Ratio,1.09,1.45,1.89,1.67,1.66,0.82,-,-,-,-,-
PB Ratio,0.66,0.82,1.35,1.22,2.04,0.73,-,-,-,-,-
P/TBV Ratio,0.66,0.88,1.35,1.22,2.41,0.81,-,-,-,-,-
P/FCF Ratio,6.19,7.79,7.51,4.09,3.55,-,-,-,-,-,-
P/OCF Ratio,2.40,3.41,3.77,2.96,2.72,2.49,-,-,-,-,-
PEG Ratio,-,6.23,3.34,0.24,1.69,0.64,-,-,-,-,-
EV/Sales Ratio,1.27,1.63,1.93,1.60,2.18,1.87,-,-,-,-,-
EV/EBITDA Ratio,2.54,3.49,3.57,3.14,26.54,5.29,-,-,-,-,-
EV/EBIT Ratio,6.32,6.72,5.14,3.99,-,-,-,-,-,-,-
EV/FCF Ratio,7.22,8.75,7.69,3.92,4.67,-,-,-,-,-,-
Debt / Equity Ratio,0.19,0.10,0.09,0.09,0.33,0.26,0.72,0.70,0.60,0.79,0.99
Debt / EBITDA Ratio,0.56,0.37,0.21,0.23,2.99,0.80,4.24,3.62,3.45,9.33,3.65
Debt / FCF Ratio,1.76,0.98,0.47,0.30,0.58,-,116.03,-,-,-,-
Asset Turnover,0.37,0.49,0.54,0.71,0.58,0.19,0.24,0.31,0.19,0.11,0.13
Inventory Turnover,25.26,30.02,25.21,30.16,27.94,19.81,28.26,35.38,28.14,18.92,12.77
Quick Ratio,1.20,0.79,1.08,1.01,0.45,0.62,0.65,0.67,0.62,0.57,0.56
Current Ratio,1.35,0.94,1.22,1.09,1.32,0.80,0.73,0.91,0.66,0.63,0.99
Return on Equity (ROE),2.02%,12.32%,20.99%,48.48%,16.91%,-162.19%,-8.21%,-0.53%,3.96%,-9.27%,-1.92%
Return on Assets (ROA),5.44%,7.48%,12.61%,17.74%,-0.07%,-61.71%,-1.38%,1.04%,0.69%,-2.48%,1.08%
Return on Capital (ROIC),7.37%,9.88%,16.12%,25.46%,-0.13%,-75.84%,-1.57%,1.21%,0.81%,-2.98%,1.36%
Return on Capital Employed (ROCE),9.80%,10.50%,23.70%,26.00%,-,-,-,1.70%,1.20%,-,1.90%
Earnings Yield,3.18%,11.87%,14.92%,32.61%,12.84%,-497.87%,-,-,-,-,-
FCF Yield,16.16%,12.85%,13.32%,24.47%,28.18%,-5.88%,-,-,-,-,-
Dividend Yield,5.58%,7.29%,6.89%,11.64%,5.70%,1.60%,-,-,-,-,-
Payout Ratio,175.86%,62.44%,48.87%,18.71%,35.01%,-,-,-,-,-,-
Buyback Yield / Dilution,-15.45%,-21.55%,-34.56%,-56.19%,92.72%,10.01%,-2.45%,-29.26%,-29.55%,-41.04%,-29.71%
Total Shareholder Return,-9.87%,-14.25%,-27.67%,-44.55%,98.42%,11.60%,-2.45%,-29.26%,-29.55%,-41.04%,-29.71%
