Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '11Dec 31, 2011","Dec '10Dec 31, 2010"
Cash & Equivalents,352.44,78.95,2.06,5.31,16.74,15.2,0.1,1.77,-,0.01,0.01
Cash & Short-Term Investments,555.57,78.95,2.06,5.31,16.74,15.2,0.1,1.77,-,0.01,0.01
Cash Growth,18032.24%,3734.14%,-61.21%,-68.29%,10.15%,14930.98%,-94.28%,-,-,-54.85%,-95.38%
Accounts Receivable,0.49,0.03,0.07,0.01,-,-,-,-,-,0.28,0.22
Receivables,5.38,0.03,0.34,0.01,-,-,-,-,-,0.28,0.22
Inventory,0.96,0.02,0.07,-,-,-,-,-,-,0.1,0.34
Prepaid Expenses,0.89,0.16,0.18,0.13,0.48,0.04,0.02,0.02,-,0.01,0.01
Total Current Assets,562.79,79.15,2.66,5.45,17.22,15.24,0.12,1.79,-,0.4,0.59
"Property, Plant & Equipment",15.2,9.73,3.92,2.25,0.06,0.03,0.03,0.01,-,0,0.01
Goodwill,55.57,55.57,55.57,55.57,-,-,-,-,-,-,-
Other Intangible Assets,7.01,8.97,12.08,15.18,-,-,-,-,-,-,-
Other Long-Term Assets,0.13,0.13,0.13,0.06,0,-,-,-,-,0,0
Total Assets,898.17,153.56,74.36,78.51,17.28,15.27,0.15,1.8,-,0.41,0.6
Accounts Payable,1.17,1.37,1.46,0.87,0.46,0.37,0.22,0.05,0,0.33,0.46
Accrued Expenses,1.5,2.13,0.65,3.18,0.48,0.11,0.15,0.09,-,0.66,0.9
Short-Term Debt,-,-,-,-,-,0.22,1.61,3.17,-,0.27,0.27
Current Portion of Leases,0.64,-,-,-,0.02,-,-,-,-,-,-
Current Unearned Revenue,0.32,0.08,-,-,-,-,-,-,-,-,-
Other Current Liabilities,-,0.97,2.7,0.54,0.12,-,0.98,-,-,-,-
Total Current Liabilities,3.63,4.56,4.81,4.59,1.08,0.69,2.96,3.31,0,1.25,1.63
Long-Term Leases,1.94,1.18,0.84,1.08,-,-,-,-,-,-,-
Other Long-Term Liabilities,14.74,40.53,-,7.72,-,-,-,-,-,-0,-
Total Liabilities,20.32,46.27,5.65,13.39,1.08,0.69,2.96,3.31,0,1.25,1.63
Common Stock,0.02,0.01,0.01,0.01,0,0,0,0,0,0.07,0.07
Additional Paid-In Capital,"1,095",307.76,200.64,169.18,67.4,47.74,17,10.94,9.87,9.59,9.55
Retained Earnings,-217.6,-200.48,-131.94,-104.06,-81.39,-53.5,-28.76,-20.38,-9.87,-10.51,-10.64
Comprehensive Income & Other,-0.03,-,-,-,30.2,20.32,8.95,7.93,-,-,-
Total Common Equity,877.85,107.29,68.7,65.12,16.2,14.57,-2.81,-1.52,-0,-0.85,-1.02
Shareholders' Equity,877.85,107.29,68.7,65.12,16.2,14.57,-2.81,-1.52,-0,-0.85,-1.02
Total Liabilities & Equity,898.17,153.56,74.36,78.51,17.28,15.27,0.15,1.8,-,0.41,0.6
Total Debt,2.58,1.18,0.84,1.08,0.02,0.22,1.61,3.17,-,0.27,0.27
Net Cash (Debt),552.99,77.76,1.22,4.23,16.72,14.98,-1.51,-1.4,-,-0.27,-0.26
Net Cash Growth,-,6279.33%,-71.18%,-74.70%,11.63%,-,-,-,-,-,-
Net Cash Per Share,4.05,0.83,0.02,0.12,0.57,0.54,-0.20,-0.30,-,-0.76,-0.74
Filing Date Shares Outstanding,224.12,137.24,94.21,60.5,29.16,28.67,7.76,4.75,0.94,0.35,0.35
Total Common Shares Outstanding,186.91,129.01,77.45,55.96,29.16,27.97,7.36,4.72,0.94,0.35,0.35
Working Capital,559.16,74.59,-2.16,0.86,16.14,14.54,-2.84,-1.52,-0,-0.85,-1.03
Book Value Per Share,4.70,0.83,0.89,1.16,0.56,0.52,-0.38,-0.32,-0.00,-2.42,-2.92
Tangible Book Value,815.27,42.74,1.05,-5.63,16.2,14.57,-2.81,-1.52,-0,-0.85,-1.02
Tangible Book Value Per Share,4.36,0.33,0.01,-0.10,0.56,0.52,-0.38,-0.32,-0.00,-2.42,-2.92
Machinery,12.25,8.5,3.06,1.02,0.06,0.04,0.03,0.01,-,0.04,0.04
Leasehold Improvements,2.17,0.6,0.03,0,-,-,-,-,-,-,-
