Period Ending,"Nov '25Nov 6, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021"
Market Capitalization,"5,768","5,008",-,-,-
Enterprise Value,"5,124","5,965",-,-,-
Last Close Price,16.25,14.35,-,-,-
PS Ratio,47.05,66.75,-,-,-
PB Ratio,7.34,5.17,-,-,-
P/TBV Ratio,6.70,5.27,-,-,-
EV/Sales Ratio,59.76,79.51,-,-,-
Debt / Equity Ratio,0.02,0.01,0.01,0.02,-
Asset Turnover,0.10,0.08,0.10,0.09,-
Quick Ratio,5.67,11.03,13.01,12.73,13.98
Current Ratio,6.19,11.77,13.84,13.38,14.69
Return on Equity (ROE),-41.48%,-33.06%,-17.74%,-21.25%,-
Return on Assets (ROA),-24.57%,-19.85%,-11.79%,-14.41%,-
Return on Capital (ROIC),-26.94%,-21.18%,-12.49%,-15.15%,-
Earnings Yield,-4.65%,-5.47%,-,-,-
FCF Yield,-2.72%,-2.44%,-,-,-
Buyback Yield / Dilution,-173.36%,-28.30%,-4.43%,-5.73%,-
