Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021"
Cash & Equivalents,318.53,535.98,425.96,316.26,242.54
Short-Term Investments,289.49,209.04,163.59,261.64,176.21
Cash & Short-Term Investments,608.03,745.01,589.55,577.91,418.75
Cash Growth,28.54%,26.37%,2.02%,38.01%,-
Receivables,34.53,36.88,37.23,34.21,2.17
Prepaid Expenses,59.23,52.71,39.51,29.65,21.22
Restricted Cash,0.02,0.02,0.05,1.81,-
Total Current Assets,701.8,834.62,666.35,643.57,442.14
"Property, Plant & Equipment",45.78,30.58,21.84,34.97,33.91
Long-Term Investments,214.14,130.8,51.71,80.65,227.17
Other Long-Term Assets,29.32,54.82,7.22,12.33,5.71
Total Assets,991.05,"1,051",747.12,771.51,708.94
Accounts Payable,3.18,2.18,1.8,1.77,2.62
Accrued Expenses,58.52,24.5,16.8,16.14,22.54
Short-Term Debt,-,-,-,3.95,-
Current Portion of Leases,5.19,3.97,5.11,5.3,-
Current Income Taxes Payable,16.7,1.81,2.41,3.2,0.9
Current Unearned Revenue,2.05,3.23,2.41,4.92,-
Other Current Liabilities,27.74,35.19,19.64,12.83,4.05
Total Current Liabilities,113.37,70.89,48.17,48.1,30.11
Long-Term Leases,12.93,9.84,2.25,3.79,-
Other Long-Term Liabilities,0.48,1.39,1.53,1.71,1.14
Total Liabilities,126.78,82.11,51.94,53.6,31.25
Common Stock,0.19,0.18,0.05,0.04,0.04
Additional Paid-In Capital,"2,235","2,228",57.76,63.2,50.8
Retained Earnings,"-1,384","-1,288",-739.53,-614.66,-466.55
Comprehensive Income & Other,2.47,10.35,4.47,-0.07,13.61
Total Common Equity,853.36,951.12,-677.25,-551.49,-402.1
Minority Interest,10.9,17.59,11.15,11.9,3.89
Shareholders' Equity,864.27,968.71,695.17,717.91,677.69
Total Liabilities & Equity,991.05,"1,051",747.12,771.51,708.94
Total Debt,18.12,13.81,7.36,13.04,-
Net Cash (Debt),589.9,731.21,582.2,564.87,418.75
Net Cash Growth,26.04%,25.59%,3.07%,34.89%,-
Net Cash Per Share,2.38,6.40,6.53,6.62,5.19
Filing Date Shares Outstanding,385.29,355.29,91.75,91.8,80.7
Total Common Shares Outstanding,385.29,350.29,91.75,91.8,80.7
Working Capital,588.43,763.74,618.18,595.47,412.04
Book Value Per Share,2.21,2.72,-7.38,-6.01,-4.98
Tangible Book Value,853.36,951.12,-677.25,-551.49,-402.1
Tangible Book Value Per Share,2.21,2.72,-7.38,-6.01,-4.98
Machinery,68.56,62.15,53.36,53.78,50.58
Construction In Progress,8.14,0.6,0.01,0.13,1.16
Leasehold Improvements,4.78,4.73,6.2,6.26,5.5
