Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021"
Revenue,85.74,75.03,71.9,68.39,8.12
Revenue Growth (YoY),1.67%,4.35%,5.14%,742.50%,-
Cost of Revenue,71.14,63.62,55.02,36.32,1.81
Gross Profit,14.6,11.4,16.88,32.06,6.31
"Selling, General & Admin",67.74,56.75,37.42,49.18,51.02
Research & Development,277.97,240.18,122.71,153.6,170.6
Operating Expenses,345.71,296.93,160.12,202.78,221.62
Operating Income,-331.12,-285.52,-143.24,-170.72,-215.31
Interest & Investment Income,37.72,20.38,19.39,8.89,3.61
Other Non Operating Income (Expenses),0.37,5.73,0.13,13.61,-12.46
EBT Excluding Unusual Items,-290.09,-259.42,-123.72,-148.22,-224.16
Gain (Loss) on Sale of Investments,-23.78,-15.59,-1.73,-0.11,-
Pretax Income,-313.87,-275.01,-125.45,-148.32,-224.16
Income Tax Expense,-,0,-0.13,-0.07,0.55
Earnings From Continuing Operations,-313.87,-275.01,-125.33,-148.25,-224.7
Minority Interest in Earnings,-5.02,0.89,0.52,0.23,-
Net Income,-318.89,-274.12,-124.81,-148.02,-224.7
Net Income to Common,-265.51,-274.12,-124.81,-148.02,-224.7
Shares Outstanding (Basic),248,114,89,85,81
Shares Outstanding (Diluted),248,114,89,85,81
Shares Change (YoY),173.36%,28.30%,4.43%,5.73%,-
EPS (Basic),-1.07,-2.40,-1.40,-1.73,-2.78
EPS (Diluted),-1.07,-2.40,-1.40,-1.73,-2.78
Free Cash Flow,-155.16,-122.16,-120.51,-166.8,-171.54
Free Cash Flow Per Share,-0.63,-1.07,-1.35,-1.96,-2.13
Gross Margin,17.02%,15.20%,23.48%,46.89%,77.74%
Operating Margin,-386.19%,-380.57%,-199.22%,-249.63%,-2652.52%
Profit Margin,-309.67%,-365.37%,-173.59%,-216.44%,-2768.31%
Free Cash Flow Margin,-180.97%,-162.82%,-167.61%,-243.91%,-2113.37%
EBITDA,-324.76,-277.16,-128.9,-153.95,-201.56
EBITDA Margin,-,-,-179.28%,-225.11%,-
D&A For EBITDA,6.36,8.36,14.34,16.77,13.74
EBIT,-331.12,-285.52,-143.24,-170.72,-215.31
EBIT Margin,-,-,-199.22%,-249.63%,-
