Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"1,683","1,228","1,175",728.31,807.42,589.71,161.04,209.07,183.83,166.62,151.22
Investment Securities,"6,205","5,910","6,040","5,942","3,882","2,739","2,261","2,348","2,271","2,042","2,208"
Trading Asset Securities,181.8,146.48,166.3,169,74.23,140.2,51.3,29.01,14.12,22.68,19.87
Mortgage-Backed Securities,"9,192","5,205","4,217","4,370","3,699","3,339","3,184","2,336","1,675","1,536","1,082"
Total Investments,"15,578","11,261","10,423","10,481","7,656","6,219","5,496","4,713","3,959","3,600","3,310"
Gross Loans,"47,968","36,286","32,992","31,124","13,602","13,786","12,118","12,244","11,118","9,011","6,948"
Allowance for Loan Losses,-572.18,-392.52,-307.61,-303.67,-107.34,-131.39,-54.62,-55.46,-50.38,-49.81,-52.23
Net Loans,"47,396","35,893","32,684","30,820","13,495","13,655","12,063","12,188","11,068","8,961","6,896"
"Property, Plant & Equipment",907.21,770.89,750.9,747.02,545.75,540.61,586.4,485.91,458.07,429.62,196.68
Goodwill,"2,419","2,175","1,999","1,999","1,037","1,037","1,037","1,036",828.05,655.02,584.63
Other Intangible Assets,508.3,120.85,102.25,126.41,34.68,46.01,60.11,77.02,53.1,37.68,35.31
Loans Held for Sale,80.34,34.48,32.01,11.93,35.46,63.25,46.9,14.91,17.93,90.68,13.81
Accrued Interest Receivable,296.35,233.01,225.16,190.52,84.11,85.31,85.12,89.46,87.1,81.38,69.1
Restricted Cash,-,-,0.3,0.1,14.6,-,115.3,108.1,106.6,88.9,68.6
Other Current Assets,-,-,-,-,-,-,6.84,5.58,12.76,5.97,5.68
Long-Term Deferred Tax Assets,482.6,456.45,423.26,435.76,32.91,9.17,29.71,87.05,110.86,181.86,109.98
Other Real Estate Owned & Foreclosed,6.33,4.29,9.43,10.85,2.03,1.32,2.17,3.23,8.81,18.55,12.5
Other Long-Term Assets,"1,359",996,900.62,898.47,540.24,545.06,558.04,567.28,504.47,441.54,451.51
Total Assets,"71,210","53,552","49,090","46,763","24,454","22,961","20,412","19,728","17,518","14,860","11,992"
