Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Interest Income on Loans,"2,509","2,190","1,860","1,204",502.43,529.89,585.64,524.59,403.19,361.38,316.02
Interest Income on Investments,525.21,411.7,346.74,250.46,136.22,133.42,144.75,107.45,92.15,85.75,83.17
Total Interest Income,"3,035","2,602","2,207","1,454",638.65,663.31,730.39,632.05,495.34,447.13,399.19
Interest Paid on Deposits,918.47,846.26,484.36,49.09,10.95,28.17,69.36,41.28,20.36,17.28,14.17
Interest Paid on Borrowings,244.94,224.61,219.31,77.17,31.3,39.05,56.75,53.17,37.81,27.15,18.91
Total Interest Expense,"1,163","1,071",703.67,126.27,42.25,67.21,126.11,94.44,58.17,44.43,33.07
Net Interest Income,"1,871","1,531","1,503","1,328",596.4,596.09,604.27,537.6,437.17,402.7,366.12
Net Interest Income Growth (YoY),24.66%,1.84%,13.20%,122.66%,0.05%,-1.35%,12.40%,22.97%,8.56%,9.99%,-0.07%
Trust Income,135.16,116.79,107.78,100.85,65.05,36.81,37.07,36.86,37.32,34.64,34.4
Mortgage Banking Activities,34.38,26.24,16.32,23.02,42.56,62.78,26.62,17.66,18.45,20.24,12.54
Gain (Loss) on Sale of Assets,-,-,-,90.67,-,-,-,13.99,-,16.06,16.44
Gain (Loss) on Sale of Investments,-21.08,-13.54,0,-11.05,-2.44,-8.02,-0.83,-20.89,-2.6,5.85,5.72
Other Non-Interest Income,189.76,133.71,121.92,112.83,70.63,96.37,88.79,80.71,77.15,92.6,102.54
Total Non-Interest Income,431.69,341.37,317.98,388.82,207.45,220.49,196.57,172.36,171.65,210.97,215.01
Non-Interest Income Growth (YoY),25.84%,7.36%,-18.22%,87.43%,-5.91%,12.17%,14.05%,0.41%,-18.64%,-1.88%,30.20%
Revenues Before Loan Losses,"2,303","1,872","1,821","1,717",803.85,816.58,800.84,709.96,608.82,613.67,581.12
Provision for Loan Losses,191.99,110.62,58.89,144.8,-29.62,42.88,4.75,6.97,3.05,0.96,2.92
Revenue,"2,111","1,762","1,762","1,572",833.47,773.7,796.09,702.99,605.77,612.71,578.2
Revenue Growth (YoY),20.70%,-0.04%,12.11%,88.60%,7.72%,-2.81%,13.24%,16.05%,-1.13%,5.97%,9.42%
Salaries and Employee Benefits,633.78,536.01,498.15,529.07,266.8,276.38,271.66,264.56,235.76,240.57,235.02
Occupancy Expenses,9.1,6.69,2.92,2.67,2.36,1.04,0.65,-,-,-,-
Federal Deposit Insurance,52.17,44.68,56.73,19.33,6.06,6.72,6.03,10.64,9.48,8.68,7.5
Amortization of Goodwill & Intangibles,59.88,27.53,24.16,25.86,11.34,14.09,16.91,14.44,11.84,12.49,11.75
"Selling, General & Administrative",472.68,394.44,348.3,346.96,176.36,165.62,176.34,160.89,142.65,151.86,136.61
Other Non-Interest Expense,130.33,71.74,80.68,103.33,31.7,54.29,34.14,43.79,37.37,36.35,37.35
Total Non-Interest Expense,"1,358","1,081","1,011","1,027",494.61,518.15,505.74,494.31,437.1,454.15,430.93
EBT Excluding Unusual Items,752.98,680.44,751.3,544.73,338.86,255.56,290.36,208.68,168.66,158.56,147.27
Pretax Income,755.97,680.44,751.3,544.73,338.86,255.56,290.36,208.68,168.66,200.43,162.89
Income Tax Expense,149.47,141.25,169.31,116.45,61.32,29.15,52.15,17.85,72.94,66.16,46.18
Net Income,606.51,539.19,581.99,428.29,277.54,226.41,238.21,190.83,95.73,134.26,116.72
Preferred Dividends & Other Adjustments,16.14,16.14,16.14,14.12,-,-,-,-,-,-,-
Net Income to Common,590.37,523.05,565.86,414.17,277.54,226.41,238.21,190.83,95.73,134.26,116.72
Net Income Growth,17.13%,-7.36%,35.89%,54.32%,22.58%,-4.95%,24.83%,99.35%,-28.70%,15.04%,12.59%
Basic Shares Outstanding,345,309,291,275,165,166,172,156,138,128,116
Diluted Shares Outstanding,348,311,292,277,166,166,173,157,139,128,116
Shares Change (YoY),14.14%,6.56%,5.48%,66.75%,-0.15%,-3.77%,10.32%,13.01%,7.96%,10.36%,7.28%
EPS (Basic),1.71,1.69,1.95,1.51,1.68,1.37,1.39,1.23,0.69,1.05,1.01
EPS (Diluted),1.69,1.68,1.94,1.50,1.67,1.36,1.38,1.22,0.69,1.05,1.00
EPS Growth,2.73%,-13.40%,29.33%,-10.18%,22.79%,-1.45%,13.11%,76.81%,-34.29%,5.00%,5.26%
Dividend Per Share,0.560,0.560,0.560,0.560,0.560,0.560,0.520,0.520,0.520,0.520,0.480
Dividend Growth,-,-,-,-,-,7.69%,-,-,-,8.33%,9.09%
Effective Tax Rate,19.77%,20.76%,22.54%,21.38%,18.10%,11.40%,17.96%,8.55%,43.24%,33.01%,28.35%
