Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"8,124","6,923","4,942","5,266","3,005","2,738","3,110","2,697","2,653","2,450","1,553"
Market Cap Growth,31.90%,40.08%,-6.15%,75.27%,9.74%,-11.96%,15.31%,1.64%,8.30%,57.77%,-8.21%
Last Close Price,20.79,21.29,16.07,16.48,16.08,14.24,15.16,12.39,13.65,13.77,9.90
PE Ratio,12.28,13.24,8.73,12.72,10.83,12.09,13.06,14.13,27.72,18.25,13.31
PS Ratio,3.40,3.93,2.81,3.35,3.61,3.54,3.91,3.84,4.38,4.00,2.69
PB Ratio,1.01,1.09,0.89,1.03,1.00,0.92,1.09,1.00,1.23,1.35,1.04
P/FCF Ratio,11.14,11.69,10.34,6.78,10.67,14.49,15.84,13.42,12.47,-,40.77
P/OCF Ratio,10.72,11.13,9.57,6.47,9.09,12.46,13.30,11.51,10.61,98.76,12.55
Debt / Equity Ratio,0.88,0.92,1.04,1.21,0.89,0.94,1.00,0.93,1.20,1.20,1.31
Debt / FCF Ratio,9.98,9.89,12.15,7.96,9.56,14.72,14.55,12.47,12.19,-,51.12
Return on Equity (ROE),8.27%,9.06%,10.89%,10.52%,9.28%,7.77%,8.60%,7.88%,4.82%,8.12%,7.89%
Return on Assets (ROA),0.97%,1.05%,1.21%,1.20%,1.17%,1.04%,1.19%,1.03%,0.59%,1.00%,0.99%
Earnings Yield,7.27%,7.79%,11.78%,8.13%,9.24%,8.27%,7.66%,7.08%,3.61%,5.48%,7.52%
FCF Yield,8.97%,8.55%,9.67%,14.75%,9.38%,6.90%,6.31%,7.45%,8.02%,-8.16%,2.45%
Dividend Yield,2.69%,2.63%,3.48%,3.40%,3.48%,3.93%,3.43%,4.20%,3.81%,3.77%,4.85%
Payout Ratio,33.07%,35.45%,30.93%,41.47%,33.45%,41.05%,37.56%,43.05%,75.85%,50.30%,47.60%
Buyback Yield / Dilution,-14.14%,-6.56%,-5.48%,-66.75%,0.15%,3.77%,-10.32%,-13.01%,-7.96%,-10.36%,-7.28%
Total Shareholder Return,-11.45%,-3.93%,-2.00%,-63.35%,3.63%,7.70%,-6.89%,-8.82%,-4.15%,-6.59%,-2.43%
