Period Ending,"Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Cash & Equivalents,161.55,62.96,71.32,60.45,136.88,129.33,50.43,37.76,45.76,80.94
Cash & Short-Term Investments,161.55,62.96,71.32,60.45,136.88,129.33,50.43,37.76,45.76,80.94
Cash Growth,156.59%,-11.72%,17.98%,-55.84%,5.84%,156.47%,33.53%,-17.48%,-43.46%,-26.89%
Accounts Receivable,14.1,1.63,2.47,2.22,2,0.68,1.74,6.63,0.47,0.46
Other Receivables,0.75,18.85,4.06,1.71,2.12,0.17,1.6,43.02,2.55,3.12
Receivables,14.84,20.48,6.53,3.93,4.12,0.85,3.34,49.65,3.02,3.58
Inventory,22.25,-,-,-,-,-,-,-,-,-
Prepaid Expenses,4.29,2.16,2.39,3.67,3.68,2.34,1.99,0.9,0.53,1.15
Other Current Assets,1.42,0.86,1.42,1.78,3.55,4.03,6.76,12.76,14.29,3.16
Total Current Assets,204.35,86.46,81.66,69.84,148.23,136.55,62.52,101.07,63.61,88.82
"Property, Plant & Equipment",5.82,3.84,6.49,9.97,12.14,10.27,0.83,1.08,1.81,3.06
Long-Term Investments,1.39,1.01,1.76,1.76,2.08,1.87,2.32,2.32,2,1.97
Goodwill,134.45,134.45,134.45,134.45,134.45,134.45,134.45,134.45,134.45,134.45
Other Intangible Assets,437.37,441.28,442.73,444.2,446.09,447.15,448.67,450.15,451.9,453.37
Long-Term Accounts Receivable,-,0.19,0.41,-,-,-,-,-,-,-
Other Long-Term Assets,1.3,1.91,1.91,1.93,1.72,3.31,3.32,3.36,1.92,2.34
Total Assets,784.68,669.15,669.42,662.14,744.72,733.6,652.12,692.44,655.69,684.02
Accounts Payable,19.08,7.07,20.15,23.08,19.6,24.97,13.06,18.92,21.81,27.16
Accrued Expenses,6.23,7.44,2.01,3.33,4.2,5.75,4.23,4.36,3.81,2.02
Current Portion of Long-Term Debt,54.16,13.86,5.95,5.02,53.2,32.46,14.01,-,-,-
Current Portion of Leases,2.68,2.63,4.06,3.19,2.77,3.52,-,-,-,-
Other Current Liabilities,20.48,42.25,9.81,16.76,14.52,23.45,13.03,0.72,11.05,0.24
Total Current Liabilities,102.63,73.24,41.98,51.37,94.27,90.14,44.33,24,36.67,29.42
Long-Term Debt,67.74,100.48,102.81,91.62,41.05,57.02,67.28,59.4,-,-
Long-Term Leases,3.58,1.95,3.67,7.09,8.49,6.32,-,-,-,-
Long-Term Deferred Tax Liabilities,-,-,-,-,-,0.73,11.12,20.08,49.29,62.69
Other Long-Term Liabilities,13.29,13.12,19.11,15.02,19.52,30.06,48.33,42.96,52.96,63.75
Total Liabilities,187.24,188.8,167.58,165.1,163.32,184.28,171.06,146.44,138.92,155.86
Common Stock,"1,509","1,311","1,249","1,165","1,163","1,051",910.41,889.48,830.43,770.27
Retained Earnings,"-1,011",-908.76,-820.81,-738.92,-647.57,-548.76,-469.99,-380.19,-344.9,-268.09
Comprehensive Income & Other,99.5,78.3,73.52,70.65,65.81,46.63,40.64,36.72,31.24,25.98
Shareholders' Equity,597.44,480.36,501.84,497.04,581.4,549.33,481.05,546.01,516.77,528.16
Total Liabilities & Equity,784.68,669.15,669.42,662.14,744.72,733.6,652.12,692.44,655.69,684.02
Total Debt,128.16,118.92,116.5,106.91,105.5,99.31,81.29,59.4,-,-
Net Cash (Debt),33.39,-55.96,-45.18,-46.46,31.39,30.01,-30.86,-21.63,45.76,80.94
Net Cash Growth,-,-,-,-,4.57%,-,-,-,-43.46%,-26.89%
Net Cash Per Share,0.03,-0.06,-0.06,-0.07,0.05,0.06,-0.06,-0.05,0.12,0.22
Filing Date Shares Outstanding,"1,281","1,141",813.66,737.12,647.92,580.45,495.13,479.14,424.72,377.87
Total Common Shares Outstanding,"1,280","1,141",813.66,649.91,647.92,580.45,495.13,479.14,424.72,377.87
Working Capital,101.72,13.22,39.68,18.46,53.95,46.41,18.19,77.07,26.94,59.41
Book Value Per Share,0.47,0.42,0.62,0.76,0.90,0.95,0.97,1.14,1.22,1.40
Tangible Book Value,25.62,-95.38,-75.35,-81.61,0.85,-32.28,-102.07,-38.6,-69.58,-59.66
Tangible Book Value Per Share,0.02,-0.08,-0.09,-0.13,0.00,-0.06,-0.21,-0.08,-0.16,-0.16
Machinery,9.65,8.76,12.34,12.15,12.47,10.55,8.53,8.6,8.5,8.15
