Period Ending,"Nov '25Nov 18, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Market Capitalization,"1,901","1,386",754,615,273,961,"1,302",512,515,678,303
Market Cap Growth,98.67%,83.84%,22.64%,125.02%,-71.58%,-26.21%,154.35%,-0.61%,-23.95%,123.88%,-68.08%
Enterprise Value,"1,868","1,479",797,680,299,905,"1,343",521,488,608,206
Last Close Price,14.87,10.89,6.81,7.82,4.44,14.96,22.78,10.62,11.00,15.90,7.92
PS Ratio,110.53,80.58,127.72,81.94,26.75,129.28,40.50,30.62,29.71,280.89,7.11
PB Ratio,3.18,2.32,1.57,1.23,0.55,1.65,2.37,1.06,0.94,1.31,0.57
P/TBV Ratio,74.21,54.10,-,-,-,1129.32,-,-,-,-,-
EV/Sales Ratio,108.61,86.01,135.09,90.65,29.26,121.80,41.75,31.17,28.15,252.10,4.84
Debt / Equity Ratio,0.22,0.22,0.25,0.23,0.22,0.18,0.18,0.17,0.11,-,-
Asset Turnover,0.02,0.02,0.01,0.01,0.02,0.01,0.05,0.03,0.03,0.00,0.06
Quick Ratio,1.72,1.72,1.14,1.85,1.25,1.50,1.44,1.21,3.64,1.33,2.87
Current Ratio,1.99,1.99,1.18,1.95,1.36,1.57,1.52,1.41,4.21,1.74,3.02
Return on Equity (ROE),-18.95%,-18.95%,-17.91%,-16.40%,-16.94%,-17.48%,-15.13%,-17.49%,-6.64%,-14.70%,-0.83%
Return on Assets (ROA),-5.37%,-5.37%,-5.41%,-6.50%,-7.16%,-9.22%,-6.75%,-7.46%,-6.94%,-8.40%,-4.77%
Return on Capital (ROIC),-5.89%,-5.89%,-5.95%,-7.09%,-7.80%,-10.21%,-7.73%,-8.58%,-8.34%,-10.77%,-7.01%
Return on Capital Employed (ROCE),-9.20%,-9.20%,-9.70%,-11.00%,-13.20%,-16.80%,-11.60%,-13.20%,-11.20%,-14.50%,-8.50%
Earnings Yield,-5.37%,-7.37%,-11.67%,-13.32%,-33.44%,-10.28%,-5.98%,-17.54%,-6.85%,-11.34%,-1.36%
FCF Yield,-2.66%,-3.65%,-6.46%,-10.34%,-24.14%,-10.66%,-4.49%,-11.34%,-14.60%,-14.14%,-29.32%
Buyback Yield / Dilution,-22.41%,-22.41%,-26.87%,-13.89%,-12.86%,-14.42%,-6.97%,-6.16%,-17.80%,-9.56%,-12.45%
