Period Ending,"Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Revenue,17.2,5.9,7.5,10.21,7.43,32.16,16.72,17.34,2.41,42.55
Revenue Growth (YoY),191.39%,-21.32%,-26.54%,37.35%,-76.88%,92.30%,-3.57%,618.95%,-94.33%,115.31%
Cost of Revenue,39.94,39.72,52.82,63.57,85.73,81.5,75.17,71.44,12.07,29.76
Gross Profit,-22.74,-33.81,-45.32,-53.36,-78.3,-49.34,-58.45,-54.09,-9.65,12.79
"Selling, General & Admin",39.31,24.98,27.48,27.21,30.87,25.61,21.63,21.91,23.01,22.5
Research & Development,-,-,-,-,-,-,-,-,58.91,50.01
Other Operating Expenses,0.4,-0.82,-3.51,0,-0.07,-0.08,0.13,-1.15,-1.53,-3.84
Operating Expenses,39.7,24.16,23.97,27.21,30.8,25.53,21.75,20.76,80.39,68.67
Operating Income,-62.44,-57.97,-69.29,-80.57,-109.1,-74.87,-80.2,-74.85,-90.04,-55.89
Interest Expense,-21.75,-20.66,-19.44,-16.91,-15.94,-14.72,-11.7,-1.83,-,-
Interest & Investment Income,3.55,1.82,0.83,0,0.02,-,-,-,-,-
Currency Exchange Gain (Loss),-0.11,-0.08,-0.16,-0.54,1.47,0.25,-0.21,0.16,-0.04,-1.13
Other Non Operating Income (Expenses),-6.18,-1.57,-2.88,5.51,5.23,0.61,-0.38,-,-,-
EBT Excluding Unusual Items,-86.93,-78.45,-90.95,-92.5,-118.32,-88.74,-92.49,-76.52,-90.09,-57.01
Asset Writedown,-,-,0.08,-,-,-,-,-,-,-
Other Unusual Items,-14.89,-9.69,8.77,0.91,18.69,1.38,-6.26,10.54,-0.13,28.11
Pretax Income,-101.81,-88.15,-82.1,-91.59,-99.63,-87.36,-98.75,-65.98,-90.22,-90.82
Income Tax Expense,0.33,-0.19,-0.21,-0.24,-0.82,-9.42,-8.96,-30.69,-13.4,-86.69
Net Income,-102.14,-87.96,-81.89,-91.35,-98.81,-77.94,-89.8,-35.29,-76.82,-4.13
Net Income to Common,-102.14,-87.96,-81.89,-91.35,-98.81,-77.94,-89.8,-35.29,-76.82,-4.13
Shares Outstanding (Basic),"1,208",987,778,683,605,529,494,466,395,361
Shares Outstanding (Diluted),"1,208",987,778,683,605,529,494,466,395,361
Shares Change (YoY),22.41%,26.87%,13.89%,12.86%,14.42%,6.97%,6.16%,17.80%,9.56%,12.45%
EPS (Basic),-0.08,-0.09,-0.11,-0.13,-0.16,-0.15,-0.18,-0.08,-0.19,-0.01
EPS (Diluted),-0.08,-0.09,-0.11,-0.13,-0.16,-0.15,-0.18,-0.08,-0.19,-0.01
Free Cash Flow,-50.63,-48.73,-63.53,-65.94,-102.4,-58.46,-58.07,-75.21,-95.78,-88.72
Free Cash Flow Per Share,-0.04,-0.05,-0.08,-0.10,-0.17,-0.11,-0.12,-0.16,-0.24,-0.25
Gross Margin,-132.22%,-,-,-,-,-153.44%,-,-,-,30.05%
Operating Margin,-363.08%,-982.24%,-923.73%,-789.09%,-1467.53%,-232.84%,-479.62%,-431.64%,-3733.09%,-131.35%
Profit Margin,-593.92%,-1490.27%,-1091.71%,-894.59%,-1329.18%,-242.38%,-537.01%,-203.51%,-3184.70%,-9.70%
Free Cash Flow Margin,-294.42%,-825.63%,-846.99%,-645.76%,-1377.40%,-181.80%,-347.26%,-433.73%,-3971.06%,-208.51%
EBITDA,-58.18,-56.08,-66.84,-77.91,-106.52,-72.71,-78.06,-72.2,-86.99,-53.7
EBITDA Margin,-,-,-,-,-,-226.13%,-,-,-,-126.20%
D&A For EBITDA,4.26,1.9,2.45,2.66,2.57,2.16,2.14,2.65,3.06,2.19
EBIT,-62.44,-57.97,-69.29,-80.57,-109.1,-74.87,-80.2,-74.85,-90.04,-55.89
EBIT Margin,-,-,-,-,-,-232.84%,-,-,-,-131.35%
Revenue as Reported,17.2,5.9,7.5,-,-,-,-,-,-,-
