Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"1,321",538,871,388,600,123,147,198,272,-,-
Market Cap Growth,148.24%,-38.28%,124.62%,-35.35%,387.62%,-16.05%,-26.14%,-27.10%,-,-,-
Enterprise Value,"1,270",605,946,476,602,143,158,208,243,-,-
Last Close Price,20.75,10.03,16.14,6.41,9.56,2.02,2.52,3.48,4.84,-,-
PE Ratio,-,48.04,10.95,3.34,15.09,-,5.88,7.91,-,-,-
Forward PE,-,5.90,8.77,4.49,5.01,13.51,5.07,3.56,10.59,-,-
PS Ratio,1.95,0.81,1.26,0.69,2.12,0.73,0.64,0.87,4.46,-,-
PB Ratio,2.60,1.48,2.36,1.25,2.84,0.73,0.86,1.41,2.40,-,-
P/TBV Ratio,2.52,1.48,2.36,1.25,2.84,0.73,0.86,1.41,2.40,-,-
P/FCF Ratio,-,12.70,11.31,7.45,-,-,-,-,-,-,-
P/OCF Ratio,36.85,4.77,5.41,2.06,11.25,9.24,3.46,5.48,-,-,-
EV/Sales Ratio,2.19,0.91,1.36,0.84,2.12,0.84,0.69,0.91,3.98,-,-
EV/EBITDA Ratio,39.57,7.58,6.27,2.47,9.07,59.69,3.18,5.61,-,-,-
EV/EBIT Ratio,-,47.49,9.93,3.16,15.23,-,5.34,8.62,-,-,-
EV/FCF Ratio,-,14.29,12.28,9.14,-,-,-,-,-,-,-
Debt / Equity Ratio,0.26,0.29,0.27,0.45,0.24,0.10,0.08,0.07,-,0.13,-
Debt / EBITDA Ratio,4.15,1.29,0.67,0.72,0.77,7.06,0.26,0.26,-,-,-
Debt / FCF Ratio,-,2.45,1.31,2.67,-,-,-,-,-,-,-
Asset Turnover,0.78,0.99,1.10,1.22,1.02,0.74,1.11,1.35,0.46,0.08,-
Inventory Turnover,7.17,13.25,12.02,10.96,14.09,10.70,11.04,14.57,10.46,-,-
Quick Ratio,2.15,0.87,0.82,0.56,1.42,0.88,0.94,0.59,0.82,4.00,1.09
Current Ratio,2.97,1.37,1.12,0.91,1.86,1.46,1.68,1.17,1.31,4.12,1.37
Return on Equity (ROE),-7.40%,3.06%,24.25%,44.61%,20.92%,-2.89%,16.02%,19.70%,-15.64%,-16.62%,-82.12%
Return on Assets (ROA),-3.17%,1.19%,9.43%,20.31%,8.86%,-5.24%,8.89%,8.96%,-7.43%,-6.74%,-9.05%
Return on Capital (ROIC),-4.25%,1.70%,12.96%,26.46%,11.00%,-6.45%,11.06%,11.41%,-9.54%,-9.27%,-51.28%
Return on Capital Employed (ROCE),-5.10%,2.30%,19.20%,34.70%,14.00%,-9.60%,14.70%,15.20%,-12.60%,-7.30%,-12.00%
Earnings Yield,-2.45%,2.08%,9.45%,29.92%,6.63%,-3.99%,17.02%,12.64%,-5.67%,-,-
FCF Yield,-2.22%,7.87%,8.84%,13.42%,-1.05%,-9.30%,-2.28%,-6.02%,-30.68%,-,-
Dividend Yield,-,5.48%,3.10%,7.07%,-,-,-,-,-,-,-
Payout Ratio,-,219.82%,31.37%,17.27%,-,-,-,-,-,-,-
Buyback Yield / Dilution,-11.78%,-10.51%,-8.60%,-1.00%,-4.23%,-3.97%,-1.43%,-7.14%,3.80%,-,-
Total Shareholder Return,-11.78%,-5.02%,-5.50%,6.06%,-4.23%,-3.97%,-1.43%,-7.14%,3.80%,-,-
