Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2015 - 2019
Revenue,579.5,666.3,693.52,565.69,283.39,168.92,Upgrade
Revenue Growth (YoY),-16.99%,-3.93%,22.60%,99.61%,67.77%,-26.63%,Upgrade
Cost of Revenue,482.41,533.29,493.79,332.96,195.41,145.5,Upgrade
Gross Profit,97.1,133,199.73,232.73,87.98,23.41,Upgrade
"Selling, General & Admin",65.01,53.19,48.83,40.03,21.63,21.02,Upgrade
Other Operating Expenses,1.61,1.47,1.4,1.12,0.62,0.57,Upgrade
Operating Expenses,135,120.27,104.49,82.34,48.45,42.51,Upgrade
Operating Income,-37.9,12.74,95.25,150.39,39.53,-19.09,Upgrade
Interest Expense,-8.91,-6.12,-8.9,-6.83,-2.56,-1.22,Upgrade
Other Non Operating Income (Expenses),2.62,4.41,1.32,0.52,2.02,3.48,Upgrade
EBT Excluding Unusual Items,-44.19,11.02,87.66,144.08,39,-16.84,Upgrade
Gain (Loss) on Sale of Assets,-,-,-,2.11,-,-,Upgrade
Legal Settlements,3.9,3.9,-,-,-,-,Upgrade
Other Unusual Items,-,-,-,-,5.41,8.44,Upgrade
Pretax Income,-40.29,14.92,104.66,146.2,44.41,-8.39,Upgrade
Income Tax Expense,-7.41,3.73,22.35,30.15,4.65,-3.48,Upgrade
Net Income,-32.88,11.19,82.31,116.04,39.76,-4.91,Upgrade
Preferred Dividends & Other Adjustments,-0.37,-,2.77,-,-,-,Upgrade
Net Income to Common,-32.51,11.19,79.54,116.04,39.76,-4.91,Upgrade
Net Income Growth,-,-86.40%,-29.07%,191.86%,-,-,Upgrade
Shares Outstanding (Basic),55,52,48,44,44,42,Upgrade
Shares Outstanding (Diluted),55,54,49,45,44,42,Upgrade
Shares Change (YoY),11.78%,10.51%,8.60%,1.00%,4.23%,3.97%,Upgrade
EPS (Basic),-0.60,0.22,1.67,2.63,0.90,-0.12,Upgrade
EPS (Diluted),-0.60,0.21,1.64,2.60,0.90,-0.12,Upgrade
EPS Growth,-,-87.27%,-36.98%,188.89%,-,-,Upgrade
Free Cash Flow,-29.43,42.33,77,52.06,-6.27,-11.44,Upgrade
Free Cash Flow Per Share,-0.54,0.79,1.59,1.17,-0.14,-0.27,Upgrade
Dividend Per Share,0.344,0.550,0.500,0.453,-,-,Upgrade
Dividend Growth,-36.05%,10.00%,10.38%,-,-,-,Upgrade
Gross Margin,16.75%,19.96%,28.80%,41.14%,31.05%,13.86%,Upgrade
Operating Margin,-6.54%,1.91%,13.73%,26.58%,13.95%,-11.30%,Upgrade
Profit Margin,-5.61%,1.68%,11.47%,20.51%,14.03%,-2.90%,Upgrade
Free Cash Flow Margin,-5.08%,6.35%,11.10%,9.20%,-2.21%,-6.77%,Upgrade
EBITDA,32.09,79.82,150.9,192.7,66.35,2.39,Upgrade
EBITDA Margin,5.54%,11.98%,21.76%,34.06%,23.41%,1.41%,Upgrade
D&A For EBITDA,69.99,67.08,55.66,42.31,26.82,21.48,Upgrade
EBIT,-37.9,12.74,95.25,150.39,39.53,-19.09,Upgrade
EBIT Margin,-6.54%,1.91%,13.73%,26.58%,13.95%,-11.30%,Upgrade
Effective Tax Rate,-,24.99%,21.35%,20.63%,10.46%,-,Upgrade
