Period Ending,"Nov '25Nov 18, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018","Mar '17Mar 31, 2017","Mar '16Mar 31, 2016"
Market Capitalization,"2,721","2,136","2,238","2,178","3,295",432,-,-,-,-,-
Market Cap Growth,32.56%,-4.57%,2.79%,-33.91%,662.43%,-,-,-,-,-,-
Enterprise Value,"10,276","10,032","8,999","7,882","8,398","4,640",-,-,-,-,-
PE Ratio,28.67,46.10,51.32,-,-,-,-,-,-,-,-
PS Ratio,1.96,1.88,2.29,2.29,4.21,0.66,-,-,-,-,-
PB Ratio,1.97,1.39,1.53,1.51,1.98,0.49,-,-,-,-,-
P/FCF Ratio,-,-,-,-,-,4.16,-,-,-,-,-
P/OCF Ratio,3.09,2.70,2.71,2.73,5.90,0.99,-,-,-,-,-
EV/Sales Ratio,7.43,8.83,9.22,8.28,10.74,7.05,-,-,-,-,-
EV/EBITDA Ratio,10.96,11.77,12.14,11.10,12.78,8.06,-,-,-,-,-
EV/EBIT Ratio,15.08,16.39,16.74,15.09,17.50,11.18,-,-,-,-,-
EV/FCF Ratio,-,-,-,-,-,44.68,-,-,-,-,-
Debt / Equity Ratio,5.45,5.63,5.41,4.56,3.54,5.84,4.53,3.80,3.19,2.13,1.59
Debt / EBITDA Ratio,9.19,10.12,10.58,9.19,8.93,8.93,8.16,7.24,11.19,10.49,10.53
Debt / FCF Ratio,-,-,-,-,-,49.79,-,-,-,-,-
Quick Ratio,0.60,0.36,0.48,0.76,1.24,1.41,1.38,0.80,0.86,0.96,1.00
Current Ratio,0.77,0.60,0.74,0.95,1.34,1.52,1.61,0.88,0.92,1.02,1.04
Asset Turnover,0.13,0.11,0.10,0.11,0.11,0.10,0.11,0.12,0.09,0.09,0.07
Return on Equity (ROE),6.70%,3.63%,3.45%,-4.11%,-16.88%,-11.19%,-3.58%,4.15%,0.79%,1.09%,3.13%
Return on Assets (ROA),3.89%,3.56%,3.46%,3.86%,4.01%,3.91%,4.64%,5.13%,3.24%,3.12%,2.57%
Return on Capital (ROIC),4.33%,3.96%,3.89%,4.35%,4.47%,4.32%,5.08%,5.62%,3.62%,3.53%,2.90%
Return on Capital Employed (ROCE),7.40%,6.90%,6.10%,6.80%,6.70%,7.00%,7.60%,9.00%,4.90%,4.80%,3.90%
Earnings Yield,3.49%,2.09%,1.82%,-2.69%,-6.43%,-24.73%,-,-,-,-,-
FCF Yield,-1.28%,-14.30%,-45.53%,-11.63%,-18.97%,24.04%,-,-,-,-,-
Buyback Yield / Dilution,-1.18%,0.07%,4.22%,-3.48%,7.85%,-5.38%,1.34%,-11.48%,-15.17%,-25.82%,-23.44%
