Period Ending,"Sep '25Sep 30, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018","Mar '17Mar 31, 2017","Mar '16Mar 31, 2016"
Cash & Equivalents,"82,134","40,419","27,021","38,182","28,379","20,679","13,089","10,115","13,914","27,139","3,631"
Short-Term Investments,"13,286","12,547","23,378","24,253","50,741","26,506","31,203","15,385","10,353","4,507","9,908"
Trading Asset Securities,-,264,"1,502",460,-,-,-,-,"9,269",6.18,-
Accounts Receivable,"22,195","16,848","13,985","22,187","44,819","34,802","25,939","19,277","9,651","6,724","3,879"
Other Receivables,-,"1,410","1,535","2,419","1,877","3,491","2,371","1,838","2,687",658.71,515.62
Inventory,"6,399","4,164","1,689","1,194",815,833,609,719,153,13.64,-
Prepaid Expenses,-,"1,585","1,589","1,311",970,592,849,659,492,210.29,54.16
Loans Receivable Current,-,284,110,-,623,56,10,20,34,0.12,3.53
Other Current Assets,"27,891","40,860","33,628","19,861","6,988","5,361","10,848","3,154","2,677","2,131",580.27
Total Current Assets,"151,905","118,381","104,437","109,867","135,212","92,320","84,918","51,167","49,230","41,390","18,571"
"Property, Plant & Equipment","779,050","761,572","691,498","548,973","445,088","346,300","345,300","282,512","245,886","146,672","75,240"
Goodwill,-,"11,596","11,596","11,596","11,596","11,596","11,381","11,381","10,953",292.72,22.66
Other Intangible Assets,"35,449","24,621","26,287","26,999","28,128","24,814","24,589","25,683","26,632","1,175",41.85
Long-Term Investments,"1,681","3,892","6,573","4,476","1,318","2,999","1,290",989,"4,176",30.73,"2,393"
Long-Term Loans Receivable,-,-,121,55,164,140,126,77,62,21.87,27.08
Long-Term Deferred Tax Assets,"8,107","7,073","5,556","4,645","1,062","1,611","1,465","1,652","1,523","1,342",746.77
Long-Term Deferred Charges,-,-,-,-,-,-,-,18,25,8.19,8.4
Long-Term Accounts Receivable,"11,022","10,252","9,587","16,211","1,006","1,178",-,-,-,-,-
Other Long-Term Assets,"27,499","22,412","18,280","23,672","17,769","11,096","10,487","24,543","7,281","10,332","10,073"
Total Assets,"1,014,713","959,799","873,935","746,494","641,343","492,054","479,556","398,022","345,768","201,265","107,123"
Accounts Payable,"12,176","8,173","9,094","6,118","5,609","3,245","3,733","3,029","2,735","2,396",330.33
Accrued Expenses,-,"4,745","4,659","4,324","4,514","3,536","2,499","2,311","1,811","1,355",213.19
Short-Term Debt,-,"80,327","51,652","42,523","14,485","10,643","12,148","20,657","19,365","16,576","4,881"
Current Portion of Long-Term Debt,"145,137","65,789","32,760","23,803","56,046","30,454","22,926","15,542","9,797","1,745","1,277"
Current Unearned Revenue,-,11,11,11,11,100,39,43,12,0.09,-
Current Portion of Leases,"1,017",977,868,698,455,330,259,-,-,-,-
Current Income Taxes Payable,958,378,429,284,504,264,108,147,145,49.65,10.3
Other Current Liabilities,"37,660","36,035","42,571","38,165","19,655","12,220","11,018","16,330","19,421","18,493","11,175"
Total Current Liabilities,"196,948","196,435","142,044","115,926","101,279","60,792","52,730","58,059","53,286","40,614","17,887"
Long-Term Debt,"611,312","582,307","565,861","467,293","373,729","335,136","320,610","253,785","209,288","102,446","51,904"
Long-Term Leases,"8,942","8,282","7,477","5,471","2,999","1,782","1,387",-,-,-,-
Long-Term Unearned Revenue,-,181,192,203,214,"2,083",810,852,287,11.7,-
Pension & Post-Retirement Benefits,-,265,266,207,169,143,103,72,47,24.68,12.44
Long-Term Deferred Tax Liabilities,"27,802","24,481","18,705","15,454","12,468","10,808","10,166","5,945","5,907",359.51,166.88
Other Long-Term Liabilities,"28,963","16,736","17,693","23,540","24,112","16,565","14,902","2,974","2,274",967.88,600.03
Total Liabilities,"873,967","828,687","752,238","628,094","514,970","427,309","400,708","321,687","271,089","144,423","70,570"
Common Stock,"4,808","4,808","4,808","4,808","4,808","3,799","3,799","3,799","3,772","3,384","2,608"
Additional Paid-In Capital,"154,842","154,204","154,153","154,136","154,051","67,165","67,165","67,165","66,376","50,711","31,244"
Retained Earnings,"-37,517","-53,755","-56,433","-53,610","-42,536","-4,828","3,486","-3,120","-2,175","-1,117",-747.61
Comprehensive Income & Other,-,"7,345","2,689","1,518","2,116","-4,059",75,"4,863","3,292",737.27,"1,784"
