Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Revenue,"1,240","1,214","1,240","1,098",747.2,476.2,293.3,144.3
Revenue Growth (YoY),1.47%,-2.03%,12.89%,46.95%,56.91%,62.36%,103.26%,-
Cost of Revenue,156.6,143.4,139,140,99.3,83.8,43.2,29.9
Gross Profit,"1,083","1,071","1,101",958,647.9,392.4,250.1,114.4
"Selling, General & Admin",586.1,624.3,579.9,501.6,325,243.1,114.1,60.3
Research & Development,185.7,187.8,189.8,203,113.9,47.3,26.2,6
Amortization of Goodwill & Intangibles,58.9,59.8,61,70.2,55.6,42,42.6,14.7
Operating Expenses,830.7,871.9,830.7,774.8,494.5,332.4,182.9,81
Operating Income,252.2,199,269.8,183.2,153.4,60,67.2,33.4
Interest Expense,-41.8,-39.3,-45.2,-47.6,-43.9,-69.3,-102.4,-58.2
Interest & Investment Income,0.2,9.5,22,-,-,-,-,-
Currency Exchange Gain (Loss),-2.3,-,-3.9,-,-0.2,-0.3,-,0.1
Other Non Operating Income (Expenses),-14,-35.6,160.7,66.4,39.5,15.7,-,-
EBT Excluding Unusual Items,194.3,133.6,403.4,202,148.8,6.1,-35.2,-24.7
Merger & Restructuring Charges,-49.8,-101.6,-10.3,-7.4,-40.1,-22.9,-31.1,-6.8
Other Unusual Items,-,-0.7,-4.3,-,-7.7,-14.9,-18.2,-
Pretax Income,144.5,31.3,388.8,194.6,101,-31.7,-84.5,-31.5
Income Tax Expense,40.4,2.2,281.5,131.4,6.1,4.7,-6.5,-2.9
Earnings From Continuing Operations,104.1,29.1,107.3,63.2,94.9,-36.4,-78,-28.6
Minority Interest in Earnings,-,-,-,-,21.9,27.3,-,-
Net Income,104.1,29.1,107.3,63.2,116.8,-9.1,-78,-28.6
Net Income to Common,104.1,29.1,107.3,63.2,116.8,-9.1,-78,-28.6
Net Income Growth,1056.67%,-72.88%,69.78%,-45.89%,-,-,-,-
Shares Outstanding (Basic),332,362,397,401,256,157,-,-
Shares Outstanding (Diluted),332,362,397,403,394,175,-,-
Shares Change (YoY),-11.08%,-8.88%,-1.47%,2.39%,125.50%,-,-,-
EPS (Basic),0.31,0.08,0.27,0.16,0.46,-0.06,-,-
EPS (Diluted),0.31,0.08,0.27,0.16,0.43,-0.11,-,-
EPS Growth,1184.47%,-70.37%,71.52%,-63.26%,-,-,-,-
Free Cash Flow,347.8,304.5,408.4,388.1,275.8,152.8,30.8,39.2
Free Cash Flow Per Share,1.05,0.84,1.03,0.96,0.70,0.88,-,-
Gross Margin,87.37%,88.19%,88.79%,87.25%,86.71%,82.40%,85.27%,79.28%
Operating Margin,20.35%,16.39%,21.77%,16.68%,20.53%,12.60%,22.91%,23.15%
Profit Margin,8.40%,2.40%,8.66%,5.76%,15.63%,-1.91%,-26.59%,-19.82%
Free Cash Flow Margin,28.06%,25.08%,32.95%,35.35%,36.91%,32.09%,10.50%,27.17%
EBITDA,302.9,246.5,311.3,222.8,187.4,87.5,90.9,43
EBITDA Margin,24.44%,20.30%,25.11%,20.29%,25.08%,18.38%,30.99%,29.80%
D&A For EBITDA,50.7,47.5,41.5,39.6,34,27.5,23.7,9.6
EBIT,252.2,199,269.8,183.2,153.4,60,67.2,33.4
EBIT Margin,20.35%,16.39%,21.77%,16.68%,20.53%,12.60%,22.91%,23.15%
Effective Tax Rate,27.96%,7.03%,72.40%,67.52%,6.04%,-,-,-
Advertising Expenses,-,36,31.3,28.8,22.7,13.2,9.8,2.5
