Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Market Capitalization,"2,955","3,609","7,207","12,154","25,887","8,130",-,-
Market Cap Growth,-26.78%,-49.93%,-40.70%,-53.05%,218.39%,-,-,-
Enterprise Value,"4,375","4,820","7,944","13,011","27,012","9,071",-,-
Last Close Price,9.62,10.51,18.49,30.11,64.20,48.23,-,-
PE Ratio,30.70,124.01,67.17,192.31,221.63,-,-,-
Forward PE,8.66,11.45,18.85,32.18,103.68,111.10,-,-
PS Ratio,2.58,2.97,5.82,11.07,34.65,17.07,-,-
PB Ratio,1.97,2.13,3.40,5.35,12.96,8.65,-,-
P/TBV Ratio,-,-,78.34,66.24,-,-,-,-
P/FCF Ratio,8.49,11.85,17.65,31.32,93.86,53.21,-,-
P/OCF Ratio,6.86,9.77,16.57,29.15,86.46,47.94,-,-
PEG Ratio,1.07,1.08,1.64,1.27,3.19,2.53,-,-
EV/Sales Ratio,3.53,3.97,6.41,11.85,36.15,19.05,-,-
EV/EBITDA Ratio,14.44,19.55,25.52,58.40,144.14,103.67,-,-
EV/EBIT Ratio,17.35,24.22,29.45,71.02,176.09,151.18,-,-
EV/FCF Ratio,12.58,15.83,19.45,33.52,97.94,59.37,-,-
Debt / Equity Ratio,1.02,0.82,0.63,0.58,0.66,0.85,-92.21,-5.32
Debt / EBITDA Ratio,4.77,5.09,4.05,5.56,6.59,8.36,12.87,14.74
Debt / FCF Ratio,4.49,4.56,3.27,3.39,4.74,5.20,40.71,16.17
Asset Turnover,0.19,0.18,0.18,0.16,0.16,0.25,0.27,-
Quick Ratio,0.60,0.64,1.30,1.40,1.03,1.33,0.55,0.63
Current Ratio,0.67,0.69,1.35,1.45,1.08,1.37,0.61,0.69
Return on Equity (ROE),6.51%,1.53%,4.89%,2.96%,6.46%,-7.86%,-,-
Return on Assets (ROA),2.47%,1.86%,2.41%,1.64%,2.09%,1.93%,3.90%,-
Return on Capital (ROIC),5.14%,3.81%,4.79%,3.32%,3.80%,2.52%,4.79%,-
Return on Capital Employed (ROCE),4.30%,3.40%,4.30%,2.80%,2.40%,3.00%,5.10%,6.40%
Earnings Yield,3.52%,0.81%,1.49%,0.52%,0.45%,-0.11%,-,-
FCF Yield,11.77%,8.44%,5.67%,3.19%,1.06%,1.88%,-,-
Payout Ratio,-,-,-,-,17.04%,-,-,-
Buyback Yield / Dilution,11.08%,8.88%,1.47%,-2.39%,-125.50%,-,-,-
