Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Market Capitalization,"4,101","4,742","2,377",985,"1,340",465,608,721,-,-
Market Cap Growth,-18.60%,99.50%,141.36%,-26.50%,188.40%,-23.56%,-15.69%,-,-,-
Enterprise Value,"3,087","3,932","1,874",620,"1,151",283,482,551,-,-
Last Close Price,43.52,51.13,35.58,18.30,28.41,14.11,25.09,29.99,-,-
PS Ratio,2690.35,4563.69,592.26,207.88,1242.80,6542.73,509.42,296.90,-,-
PB Ratio,3.84,3.58,4.41,3.11,4.04,2.75,5.19,4.50,-,-
P/TBV Ratio,3.85,3.58,4.41,3.11,4.04,2.75,5.19,4.50,-,-
EV/Sales Ratio,2010.78,3783.97,467.04,130.82,1067.39,3982.45,403.86,227.02,-,-
Debt / Equity Ratio,0.05,0.04,0.10,0.01,0.01,0.03,0.05,-,-,0.02
Asset Turnover,0.00,0.00,0.01,0.01,0.00,0,0.01,0.03,0.14,-
Quick Ratio,14.73,22.83,12.92,12.17,20.96,16.47,14.33,20.92,16.64,13.74
Current Ratio,15.12,23.05,13.07,12.45,21.55,16.92,14.79,21.03,16.91,13.89
Return on Equity (ROE),-44.42%,-32.02%,-50.16%,-50.57%,-42.98%,-51.61%,-36.36%,-31.01%,-69.86%,-
Return on Assets (ROA),-28.00%,-20.46%,-28.18%,-29.84%,-25.19%,-29.85%,-22.30%,-19.19%,-40.46%,-
Return on Capital (ROIC),-29.76%,-21.53%,-30.57%,-32.02%,-26.41%,-31.60%,-23.78%,-20.52%,-43.17%,-
Earnings Yield,-10.25%,-6.29%,-9.03%,-16.65%,-8.04%,-15.89%,-8.30%,-3.76%,-,-
FCF Yield,-8.57%,-4.85%,-7.20%,-11.87%,-6.64%,-13.39%,-7.71%,-2.85%,-,-
Buyback Yield / Dilution,-24.75%,-39.11%,-11.71%,-35.24%,-26.24%,-25.95%,-99.10%,-785.63%,-35.61%,-
