Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"1,619","1,486","1,362","1,132",905.64,844.13,876.76,795.13,732.57,726.27,699.01
Revenue Growth (YoY),12.67%,9.11%,20.28%,25.05%,7.29%,-3.72%,10.27%,8.54%,0.87%,3.90%,11.36%
Cost of Revenue,"1,096","1,010",942.7,785.88,636.78,592.43,575.6,521.54,454.81,437.56,401.92
Gross Profit,522.78,476.01,419.36,346.57,268.86,251.7,301.16,273.59,277.76,288.72,297.1
"Selling, General & Admin",310.76,283.79,253.58,207.52,176.3,169.4,200.39,180.98,173.66,160.2,156.7
Amortization of Goodwill & Intangibles,-,-,-,-,-,-,5.38,4.25,10.93,15.14,16.79
Other Operating Expenses,-0,0.8,-0.37,-0.03,0.05,0.03,-0.02,0.15,0.26,0.04,-0.06
Operating Expenses,340.06,309.42,278.11,234.86,201.84,199.08,234.11,219.95,223.07,206.88,198.57
Operating Income,182.73,166.59,141.26,111.72,67.02,52.62,67.05,53.63,54.69,81.84,98.53
Interest Expense,-31.39,-25.35,-19.57,-11.88,-8.15,-9.29,-15.65,-19.01,-18.61,-16.27,-18.14
Currency Exchange Gain (Loss),2.18,2.14,-0.48,0.66,-0.42,0.03,-0.16,-0.48,0.43,0.01,-1.64
Other Non Operating Income (Expenses),4.9,4.81,4.86,-6.92,4.26,4.18,4.59,-1.58,2.5,1.19,-0.16
EBT Excluding Unusual Items,158.42,148.19,126.06,93.57,62.71,47.54,55.83,32.57,39.02,66.76,78.59
Merger & Restructuring Charges,-10.66,-12.77,-11.91,-9.96,-14.18,-21.66,-4.54,-3.66,-7.95,-9.59,-4.53
Impairment of Goodwill,-,-,-,-,-,-59.82,-,-,-253.09,-,-
Gain (Loss) on Sale of Investments,-16.14,-,-26.26,26.96,-,1.67,-,-,-,-,-
Gain (Loss) on Sale of Assets,3.6,3.6,-,-,31.51,-1.6,-,-5.81,0.93,-,-
Legal Settlements,3.3,15,-4,-2,-,-,-0.31,2.5,-,-,9.2
Other Unusual Items,0.07,-,-,-,-,-,1.51,-0.38,-1.41,1.99,0.3
Pretax Income,138.59,154.02,83.9,108.58,80.04,-33.87,52.49,25.22,-222.5,59.16,83.57
Income Tax Expense,30.21,37.39,21.42,33.03,17.05,-10.16,10.51,11.28,-52,19.68,21.67
Earnings From Continuing Operations,108.38,116.63,62.48,75.55,62.99,-23.72,41.98,13.94,-170.51,39.48,61.9
Earnings From Discontinued Operations,-,-,-,-,-,-0.12,-0.24,-0.3,0.39,-1.86,-2.84
Net Income,108.38,116.63,62.48,75.55,62.99,-23.84,41.74,13.65,-170.12,37.62,59.05
Net Income to Common,108.38,116.63,62.48,75.55,62.99,-23.84,41.74,13.65,-170.12,37.62,59.05
Net Income Growth,26.80%,86.66%,-17.30%,19.95%,-,-,205.90%,-,-,-36.30%,-25.30%
Shares Outstanding (Basic),18,18,19,20,21,22,22,22,21,21,22
Shares Outstanding (Diluted),18,19,20,21,22,22,23,22,21,21,23
Shares Change (YoY),-4.20%,-5.04%,-5.52%,-4.87%,-0.33%,-2.78%,2.04%,2.89%,0.07%,-5.20%,-1.42%
EPS (Basic),6.17,6.52,3.32,3.73,2.94,-1.09,1.90,0.63,-7.93,1.78,2.67
EPS (Diluted),5.98,6.27,3.19,3.64,2.89,-1.09,1.86,0.62,-7.93,1.75,2.61
EPS Growth,32.32%,96.55%,-12.36%,25.95%,-,-,201.63%,-,-,-32.94%,-24.18%
Free Cash Flow,196.12,192.67,125.82,72.85,7.12,128.61,118.98,92.72,75.39,115.31,149.28
Free Cash Flow Per Share,10.82,10.35,6.42,3.51,0.33,5.88,5.29,4.20,3.52,5.38,6.61
Gross Margin,32.29%,32.03%,30.79%,30.60%,29.69%,29.82%,34.35%,34.41%,37.92%,39.75%,42.50%
Operating Margin,11.29%,11.21%,10.37%,9.87%,7.40%,6.23%,7.65%,6.74%,7.47%,11.27%,14.09%
Profit Margin,6.69%,7.85%,4.59%,6.67%,6.96%,-2.82%,4.76%,1.72%,-23.22%,5.18%,8.45%
Free Cash Flow Margin,12.11%,12.96%,9.24%,6.43%,0.79%,15.24%,13.57%,11.66%,10.29%,15.88%,21.36%
EBITDA,205.57,184.29,159.69,133.18,87.8,78.14,98.25,91.55,103.98,127.55,139.61
EBITDA Margin,12.70%,12.40%,11.72%,11.76%,9.70%,9.26%,11.21%,11.51%,14.19%,17.56%,19.97%
D&A For EBITDA,22.84,17.7,18.44,21.46,20.78,25.52,31.21,37.91,49.29,45.72,41.08
EBIT,182.73,166.59,141.26,111.72,67.02,52.62,67.05,53.63,54.69,81.84,98.53
EBIT Margin,11.29%,11.21%,10.37%,9.87%,7.40%,6.23%,7.65%,6.74%,7.47%,11.27%,14.09%
Effective Tax Rate,21.80%,24.28%,25.53%,30.42%,21.30%,-,20.03%,44.71%,-,33.26%,25.93%
Revenue as Reported,"1,656","1,522","1,399","1,159",926.96,871.01,965.47,878,807.75,797.98,769.02
