Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,23.89,21.91,12.15,11.83,20.78,67.18,11.6,33.11,16.91,17.03,58.44
Trading Asset Securities,0.41,1.6,6.66,7.11,-,-,-,0.3,-,-,-
Cash & Short-Term Investments,24.3,23.51,18.8,18.94,20.78,67.18,11.6,33.41,16.91,17.03,58.44
Cash Growth,16.02%,25.03%,-0.73%,-8.85%,-69.06%,478.91%,-65.27%,97.58%,-0.69%,-70.86%,-77.25%
Accounts Receivable,397.12,357.79,353.44,289.63,213.6,141.65,196.51,179.29,159.4,145.54,141.82
Other Receivables,17.79,1.36,6.39,0.96,8.07,5.12,2.38,6.61,4.04,4.21,0.41
Receivables,414.91,359.14,359.82,290.59,221.67,146.77,198.88,185.9,163.44,149.75,142.23
Prepaid Expenses,35.84,26.46,21.84,18.95,15.23,16.57,14.25,13.62,10.95,13.31,27.72
Total Current Assets,475.05,409.12,400.46,328.48,257.68,230.51,224.74,232.93,191.3,180.08,228.39
"Property, Plant & Equipment",43.02,40.85,47.86,56.41,66.32,68.45,93.37,40.37,45.54,32.43,28.89
Long-Term Investments,35.3,71.09,76.31,96.33,73.79,71.03,54.54,50.88,40.49,34.68,34.92
Goodwill,781.76,678.74,625.71,624.97,620.88,594.24,646.68,645.26,645.75,799.86,751.4
Other Intangible Assets,71.96,86.58,63.57,49.59,49.89,38.38,47.23,55.16,74.31,82.75,96.39
Long-Term Deferred Tax Assets,2.71,2.55,2.29,1.55,1.8,4.19,1.15,2.15,16.75,-,-
Other Long-Term Assets,134.4,54.69,45.95,41.71,48.98,44.17,36.58,22.77,22.79,23.41,19.56
Total Assets,"1,544","1,344","1,262","1,199","1,119","1,051","1,104","1,050","1,037","1,153","1,160"
Accounts Payable,11.78,11.54,10.07,14.25,13.62,0.65,7.94,10.02,9.19,7.27,7.22
Accrued Expenses,243.51,273.37,258.94,198.87,160.05,146.6,160,127.03,93.29,102.4,104.87
Current Portion of Long-Term Debt,20.65,13.75,-,-,2.16,2.6,0.69,243.13,0.55,0.05,0.24
Current Portion of Leases,14.13,12.32,11.03,10.53,10.14,8.77,7.47,-,-,-,-
Current Unearned Revenue,30.91,26.87,22.46,21.91,19.21,28.25,28.44,28.13,27.92,24.05,19.09
Other Current Liabilities,9.08,0.98,0.07,0.12,-,-,-,9.99,8.52,1.99,-
Total Current Liabilities,330.05,338.82,302.58,245.68,205.18,186.87,204.54,418.31,139.47,135.77,131.42
Long-Term Debt,593.09,342.86,324.31,290,232.37,206.08,208.71,53.85,342.51,292.07,307.38
Long-Term Leases,27.17,29.69,38.85,45.56,54.31,61.83,69.23,-,-,-,-
Long-Term Deferred Tax Liabilities,34.15,28.45,28.16,32.15,12.27,0.43,8.07,0.73,1.1,35.63,34.69
Other Long-Term Liabilities,59.95,42.48,35.36,33.61,43.31,43.83,28.25,36.02,50.54,41.72,33.73
Total Liabilities,"1,044",782.29,729.25,647,547.45,499.03,518.81,508.91,533.61,505.18,507.22
Common Stock,0.21,0.21,0.21,0.22,0.24,0.25,0.25,0.24,0.24,0.24,0.24
Additional Paid-In Capital,90.63,177.67,236.96,318.71,413.79,454.51,460.78,452.57,434.26,405.9,438.37
Retained Earnings,606.04,531.65,415.03,352.55,277,214.01,237.85,196.11,180.44,351.48,313.87
Treasury Stock,-189.6,-160.09,-142.14,-137.56,-135.97,-129.89,-128.35,-124.79,-121.99,-113.2,-103.73
Comprehensive Income & Other,-7.5,11.89,22.83,18.12,16.84,13.06,14.94,16.5,10.37,3.62,3.59
Shareholders' Equity,499.78,561.33,532.89,552.04,571.9,551.94,585.47,540.62,503.32,648.03,652.33
Total Liabilities & Equity,"1,544","1,344","1,262","1,199","1,119","1,051","1,104","1,050","1,037","1,153","1,160"
Total Debt,655.03,398.61,374.19,346.09,298.99,279.27,286.1,296.99,343.06,292.12,307.62
Net Cash (Debt),-630.73,-375.1,-355.39,-327.14,-278.21,-212.1,-274.5,-263.58,-326.15,-275.09,-249.18
Net Cash Per Share,-34.79,-20.15,-18.13,-15.77,-12.76,-9.69,-12.20,-11.95,-15.21,-12.84,-11.03
Filing Date Shares Outstanding,15.98,16.42,16.8,17.86,20.25,21.35,21.22,21.36,21.25,20.87,20.65
Total Common Shares Outstanding,15.98,16.46,17.07,18.33,20.55,21.34,21.43,21.35,21.19,20.84,21.61
Working Capital,144.99,70.3,97.89,82.8,52.5,43.64,20.19,-185.37,51.83,44.31,96.97
Book Value Per Share,31.28,34.11,31.22,30.12,27.83,25.86,27.32,25.32,23.75,31.09,30.18
Tangible Book Value,-353.94,-203.99,-156.39,-122.52,-98.87,-80.68,-108.44,-159.8,-216.75,-234.58,-195.47
Tangible Book Value Per Share,-22.15,-12.39,-9.16,-6.68,-4.81,-3.78,-5.06,-7.48,-10.23,-11.25,-9.04
Machinery,-,41.05,50.24,46.68,52.51,49.74,74.19,78.07,70.19,61.15,60.92
Construction In Progress,-,1.62,0.87,0.29,1.11,0.5,0.25,0.25,0.25,0.29,0.26
Leasehold Improvements,-,32.25,33.29,37.2,40.34,39.95,44.32,45.05,45.24,38.5,32.16
